Data,latitude,longitude,probabilidade
2024-10-25,-3.1033,-48.3144,49.0
2024-10-25,-20.4472,-49.2306,0.0
2024-10-25,2.8169,-42.8013,0.0
2024-10-25,-1.4112,-40.3058,79.0
2024-10-25,-9.6797,-49.0289,0.0
2024-10-25,-3.1033,-40.3058,84.0
2024-10-25,-3.8158,-43.1906,49.0
2024-10-25,-2.5267,-48.6201,64.0
2024-10-25,-8.0593,-49.2203,62.0
2024-10-25,-22.3581,-44.2136,26.0
2024-10-25,-3.1036,-34.8156,68.0
2024-10-25,-9.6797,-34.8156,72.0
2024-10-25,-10.9524,-60.6908,72.0
2024-10-25,-3.1033,-34.8156,77.0
2024-10-25,-3.8158,-43.1906,78.0
2024-10-25,-16.6428,-35.2081,0.0
2024-10-25,-9.5511,-43.9694,27.0
2024-10-25,-2.5267,-34.9592,68.0
2024-10-25,-10.9524,-63.8458,82.0
2024-10-25,-7.1653,-63.8458,77.0
2024-10-25,-2.5268,-35.7703,62.0
2024-10-25,-8.0593,-44.2136,82.0
2024-10-25,-5.0347,-48.4395,32.0
2024-10-25,-9.5511,-56.063,82.0
2024-10-25,-30.0535,-38.5378,37.0
2024-10-25,-20.4472,-48.4395,62.0
2024-10-25,-22.9883,-43.1906,0.0
2024-10-25,-20.4472,-37.0544,0.0
2024-10-25,-15.5593,-42.8014,0.0
2024-10-25,-3.8158,-48.4395,78.0
2024-10-25,0.035,-37.0543,63.0
2024-10-25,-19.8839,-60.6908,49.0
2024-10-25,-7.1653,-49.2306,0.0
2024-10-25,-9.5511,-47.9258,32.0
2024-10-25,-22.9883,-48.4395,32.0
2024-10-25,-15.5593,-49.2306,44.0
2024-10-25,-8.7936,-43.1906,68.0
2024-10-25,-25.4486,-48.6201,0.0
2024-10-25,-20.4472,-38.5378,49.0
2024-10-25,-20.2708,-37.0544,26.0
2024-10-25,-2.5268,-42.8014,26.0
2024-10-25,-1.4112,-38.5378,68.0
2024-10-25,-5.8372,-49.0289,72.0
2024-10-25,-5.0347,-43.1906,77.0
2024-10-25,-2.5267,-68.1653,77.0
2024-10-25,-30.0536,-43.9587,64.0
2024-10-25,-15.7894,-51.1748,0.0
2024-10-25,-1.4112,-44.2136,0.0
2024-10-25,-22.9883,-56.063,49.0
2024-10-25,-10.9524,-47.9258,44.0
2024-10-25,-7.1654,-56.063,0.0
2024-10-25,-30.0536,-54.7226,0.0
2024-10-25,-10.9525,-43.1906,80.0
2024-10-25,-9.5511,-43.1906,63.0
2024-10-25,-25.4486,-40.3058,0.0
2024-10-25,2.8169,-48.6201,63.0
2024-10-25,-16.6428,-63.8458,63.0
2024-10-25,-10.9525,-49.2306,0.0
2024-10-25,-7.1653,-49.2306,79.0
2024-10-25,-10.1478,-60.0164,26.0
2024-10-25,-10.9525,-34.8156,49.0
2024-10-25,-7.1654,-47.9258,0.0
2024-10-25,-25.4487,-44.2136,0.0
2024-10-25,-22.3581,-35.2081,65.0
2024-10-25,-2.5268,-48.6201,77.0
2024-10-25,-16.6428,-60.6908,64.0
2024-10-25,-3.1033,-48.3018,62.0
2024-10-25,-30.0536,-49.2203,82.0
2024-10-25,-15.7893,-60.0164,77.0
2024-10-25,-9.9592,-51.1747,0.0
2024-10-25,-19.98,-56.063,0.0
2024-10-25,-5.0347,-34.9592,68.0
2024-10-25,-3.8157,-43.1906,62.0
2024-10-25,-27.6025,-51.0889,44.0
2024-10-25,-7.1653,-51.0889,0.0
2024-10-25,2.8169,-43.9586,0.0
2024-10-25,-9.5511,-34.9592,62.0
2024-10-25,-16.6428,-49.2202,78.0
2024-10-25,2.8169,-37.0543,63.0
2024-10-25,-1.4112,-44.2136,0.0
2024-10-25,2.8169,-43.9694,78.0
2024-10-25,2.8169,-42.8014,0.0
2024-10-25,2.8169,-37.0544,71.0
2024-10-25,-27.6025,-35.7703,68.0
2024-10-25,-27.6025,-63.8459,75.0
2024-10-25,0.035,-68.1653,27.0
2024-10-25,-15.5593,-47.9258,0.0
2024-10-25,-15.5593,-60.0164,26.0
2024-10-25,-10.9524,-44.2136,44.0
2024-10-25,-19.8839,-34.9592,44.0
2024-10-25,-3.8158,-49.2203,77.0
2024-10-25,-10.9525,-49.2306,63.0
2024-10-25,-2.5267,-60.0156,44.0
2024-10-25,2.8169,-40.3058,37.0
2024-10-25,-20.4472,-48.3018,82.0
2024-10-25,-2.5268,-43.9586,32.0
2024-10-25,-3.1033,-38.5378,75.0
2024-10-25,-8.0592,-51.1747,62.0
2024-10-25,-30.0536,-35.7703,80.0
2024-10-25,-20.2711,-43.1906,64.0
2024-10-25,-15.7894,-34.8156,80.0
2024-10-25,-3.8158,-37.0543,64.0
2024-10-25,-22.9883,-51.0889,26.0
2024-10-25,-15.7894,-44.2136,62.0
2024-10-25,-20.2708,-48.4395,0.0
2024-10-25,-8.0593,-43.1906,0.0
2024-10-25,-8.7936,-51.1747,69.0
2024-10-25,2.8169,-49.2306,32.0
2024-10-25,-25.4487,-38.5378,49.0
2024-10-25,-25.4486,-49.2202,0.0
2024-10-25,-30.0536,-48.3018,68.0
2024-10-25,-7.1654,-56.063,82.0
2024-10-25,-9.6797,-48.4395,82.0
2024-10-25,-10.1907,-35.2081,82.0
2024-10-25,-25.4487,-51.0888,80.0
2024-10-25,-22.9883,-43.1906,79.0
2024-10-25,-20.4472,-43.9586,82.0
2024-10-25,-3.8158,-51.0889,0.0
2024-10-25,-10.1908,-48.6201,80.0
2024-10-25,2.8169,-48.3018,0.0
2024-10-25,-7.1654,-56.063,44.0
2024-10-25,-7.1653,-63.8458,37.0
2024-10-25,0.035,-48.6201,0.0
2024-10-25,-22.3581,-48.62,27.0
2024-10-25,-5.0347,-35.2081,64.0
2024-10-25,-27.6025,-40.3058,79.0
2024-10-25,-20.4472,-34.9592,82.0
2024-10-25,-8.0593,-68.1653,62.0
2024-10-25,-1.4112,-43.9586,78.0
2024-10-25,-3.8158,-43.1906,82.0
2024-10-25,-22.3581,-60.0156,84.0
2024-10-25,-19.98,-35.7703,50.0
2024-10-25,-3.8158,-40.3058,86.0
2024-10-25,-8.7937,-51.1747,63.0
2024-10-25,-19.98,-49.0289,78.0
2024-10-25,-1.4112,-38.5378,78.0
2024-10-25,-8.7936,-60.0164,78.0
2024-10-25,-10.1908,-48.62,27.0
2024-10-25,-3.8158,-35.7703,86.0
2024-10-25,-1.4112,-51.0889,64.0
2024-10-25,-19.98,-49.2306,27.0
2024-10-25,-9.6797,-60.0156,0.0
2024-10-25,-10.9525,-34.8156,0.0
2024-10-25,-5.8372,-35.2081,39.0
2024-10-25,-8.0593,-56.063,63.0
2024-10-25,-20.2708,-42.8014,26.0
2024-10-25,-19.8839,-47.9258,63.0
2024-10-25,-27.6025,-34.8156,37.0
2024-10-25,-15.7894,-37.0543,63.0
2024-10-25,-15.7893,-48.6201,32.0
2024-10-25,-10.1907,-42.8014,84.0
2024-10-25,0.035,-43.1906,84.0
2024-10-25,-15.7894,-40.3058,37.0
2024-10-25,-3.1033,-38.5378,82.0
2024-10-25,-20.4472,-48.6201,0.0
2024-10-25,-3.8158,-48.6201,37.0
2024-10-25,2.8169,-44.2136,44.0
2024-10-25,-16.6428,-38.5378,63.0
2024-10-25,-10.9525,-35.2081,78.0
2024-10-25,-9.5511,-38.5378,86.0
2024-10-25,-15.5593,-63.8458,79.0
2024-10-25,-5.0348,-43.1906,44.0
2024-10-25,-1.4112,-48.3144,50.0
2024-10-25,-27.6025,-51.0888,72.0
2024-10-25,-1.4112,-48.6201,26.0
2024-10-25,-1.4112,-37.0544,37.0
2024-10-25,-27.6025,-51.0888,0.0
2024-10-25,-27.6025,-48.6201,0.0
2024-10-25,-25.4486,-48.62,68.0
2024-10-25,-20.4472,-60.6908,0.0
2024-10-25,-5.8372,-42.8014,49.0
2024-10-25,-9.5512,-44.2136,77.0
2024-10-25,-7.1653,-43.9586,63.0
2024-10-25,0.035,-51.0889,82.0
2024-10-25,-3.1036,-44.2136,71.0
2024-10-25,-1.4112,-47.9258,64.0
2024-10-25,-3.1033,-44.2136,82.0
2024-10-25,-3.8158,-34.8156,77.0
2024-10-25,-10.1907,-43.9586,62.0
2024-10-25,2.8169,-44.2136,77.0
2024-10-25,-2.5267,-60.0164,80.0
2024-10-25,-22.3581,-68.1653,0.0
2024-10-25,-10.9525,-35.7703,78.0
2024-10-25,-3.8158,-49.0289,63.0
