Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-15,559295","-56,062951",0.8,984.5,509.63,24.16,87.82,4.53
2019-01-02,"-15,559295","-56,062951",0.0,985.44,1444.69,26.91,74.96,3.68
2019-01-03,"-15,559295","-56,062951",0.0,984.15,1479.39,28.81,66.0,4.18
2019-01-04,"-15,559295","-56,062951",5.4,984.57,886.71,27.46,73.58,4.75
2019-01-05,"-15,559295","-56,062951",4.4,985.09,510.89,25.19,82.58,3.98
2019-01-06,"-15,559295","-56,062951",0.2,983.4,1350.36,27.02,74.17,5.06
2019-01-07,"-15,559295","-56,062951",2.8,983.64,604.24,25.97,79.79,5.69
2019-01-08,"-15,559295","-56,062951",0.2,985.19,1290.53,27.01,73.08,3.94
2019-01-09,"-15,559295","-56,062951",0.0,983.45,1114.34,27.25,70.29,3.78
2019-01-10,"-15,559295","-56,062951",0.0,983.24,1248.18,26.36,72.58,4.17
2019-01-11,"-15,559295","-56,062951",1.4,985.22,1266.5,26.08,72.08,4.78
2019-01-12,"-15,559295","-56,062951",24.0,985.31,1158.42,25.66,77.92,3.46
2019-01-13,"-15,559295","-56,062951",0.2,985.37,1280.17,27.29,71.21,3.6
2019-01-14,"-15,559295","-56,062951",0.2,985.65,852.64,25.68,77.17,4.12
2019-01-15,"-15,559295","-56,062951",0.0,985.83,1186.14,26.03,74.75,3.42
2019-01-16,"-15,559295","-56,062951",0.0,986.21,1184.6,27.47,68.5,4.07
2019-01-17,"-15,559295","-56,062951",0.0,985.53,1185.64,28.53,68.21,3.08
2019-01-18,"-15,559295","-56,062951",2.4,985.28,1179.46,28.41,69.0,3.84
2019-01-19,"-15,559295","-56,062951",25.4,986.19,865.01,24.85,81.71,4.27
2019-01-20,"-15,559295","-56,062951",0.2,986.1,1050.09,26.15,76.92,3.17
2019-01-21,"-15,559295","-56,062951",0.0,985.75,1396.9,27.39,69.32,3.55
2019-01-22,"-15,559295","-56,062951",0.0,985.87,1275.03,28.15,67.39,3.24
2019-01-23,"-15,559295","-56,062951",0.0,985.19,383.29,27.21,75.21,3.42
2019-01-24,"-15,559295","-56,062951",0.0,984.03,1262.18,28.09,73.42,3.69
2019-01-25,"-15,559295","-56,062951",0.6,984.47,1135.99,26.43,75.38,4.88
2019-01-26,"-15,559295","-56,062951",0.0,983.82,827.34,27.38,72.96,4.23
2019-01-27,"-15,559295","-56,062951",23.2,983.13,822.32,24.48,81.75,6.33
2019-01-28,"-15,559295","-56,062951",1.8,984.93,572.28,25.07,74.96,6.01
2019-01-29,"-15,559295","-56,062951",13.0,987.67,1018.18,25.05,77.79,4.23
