Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-3,815701","-38,537792",0.2,1009.6,1541.01,28.23,70.71,6.33
2019-01-02,"-3,815701","-38,537792",0.0,1010.21,1551.25,28.7,67.96,8.72
2019-01-03,"-3,815701","-38,537792",0.0,1009.69,1440.11,28.43,69.92,8.1
2019-01-04,"-3,815701","-38,537792",1.2,1009.73,1662.8,28.53,70.75,8.01
2019-01-05,"-3,815701","-38,537792",0.2,1009.3,1297.28,28.73,72.54,8.57
2019-01-06,"-3,815701","-38,537792",0.2,1009.41,994.79,27.7,73.87,6.03
2019-01-07,"-3,815701","-38,537792",0.0,1008.98,882.38,27.36,74.35,5.16
2019-01-08,"-3,815701","-38,537792",2.4,1009.03,465.84,26.29,80.45,4.3
2019-01-09,"-3,815701","-38,537792",24.6,1008.4,691.41,26.17,80.86,5.42
2019-01-10,"-3,815701","-38,537792",0.0,1007.82,1589.26,28.54,65.67,7.44
2019-01-11,"-3,815701","-38,537792",0.0,1008.54,1356.82,27.82,71.92,5.26
2019-01-12,"-3,815701","-38,537792",8.0,1009.13,753.78,26.85,77.64,4.07
2019-01-13,"-3,815701","-38,537792",5.2,1009.27,999.01,26.72,80.35,3.28
2019-01-14,"-3,815701","-38,537792",33.8,1009.47,649.08,26.04,84.04,3.75
2019-01-15,"-3,815701","-38,537792",9.0,1010.23,392.52,25.95,84.48,3.63
2019-01-16,"-3,815701","-38,537792",1.2,1010.68,1051.34,26.83,78.58,3.78
2019-01-17,"-3,815701","-38,537792",6.8,1009.85,1122.51,27.02,79.17,4.03
2019-01-18,"-3,815701","-38,537792",27.0,1009.55,435.72,25.85,84.82,3.72
2019-01-19,"-3,815701","-38,537792",42.4,1009.65,315.88,25.28,88.58,4.21
2019-01-20,"-3,815701","-38,537792",0.2,1010.14,822.28,26.53,82.12,4.12
2019-01-21,"-3,815701","-38,537792",1.4,1009.77,1322.55,28.36,71.94,8.02
2019-01-22,"-3,815701","-38,537792",0.0,1009.92,1676.8,28.09,64.7,6.83
2019-01-23,"-3,815701","-38,537792",1.0,1010.18,1262.64,26.9,75.33,4.18
2019-01-24,"-3,815701","-38,537792",2.2,1009.35,1282.86,27.55,75.26,4.96
2019-01-25,"-3,815701","-38,537792",2.4,1009.2,1213.39,27.53,73.7,5.47
2019-01-26,"-3,815701","-38,537792",0.0,1010.12,613.22,27.39,74.1,4.21
2019-01-27,"-3,815701","-38,537792",1.8,1009.84,973.5,26.91,79.4,5.0
2019-01-28,"-3,815701","-38,537792",0.0,1008.81,2257.17,30.66,59.57,7.54
2019-01-29,"-3,815701","-38,537792",0.0,1008.2,2230.07,31.33,53.67,6.93
2019-01-30,"-3,815701","-38,537792",0.0,1008.48,2093.02,30.95,54.38,7.19
2019-01-31,"-3,815701","-38,537792",0.0,1008.56,1386.37,29.35,68.36,7.31
2019-02-01,"-3,815701","-38,537792",0.4,1009.7,,27.74,78.6,5.16
2019-02-02,"-3,815701","-38,537792",0.0,1009.7,2081.0,30.3,64.0,8.0
2019-02-04,"-3,815701","-38,537792",0.0,1007.8,1282.87,28.2,75.33,5.97
2019-02-05,"-3,815701","-38,537792",0.0,1007.87,1474.01,29.36,69.18,5.1
2019-02-06,"-3,815701","-38,537792",4.6,1007.48,1271.98,28.56,74.83,4.56
2019-02-07,"-3,815701","-38,537792",0.0,1008.4,,26.7,83.0,3.6
2019-02-08,"-3,815701","-38,537792",0.0,1007.0,1962.53,29.63,66.33,7.57
2019-02-09,"-3,815701","-38,537792",0.0,1007.7,2267.6,30.65,62.0,7.45
2019-02-10,"-3,815701","-38,537792",0.0,1006.85,2749.25,31.3,60.0,10.35
2019-02-11,"-3,815701","-38,537792",0.2,1008.27,2244.47,30.83,60.29,8.65
2019-02-12,"-3,815701","-38,537792",0.0,1007.84,1947.9,31.24,54.5,8.37
2019-02-13,"-3,815701","-38,537792",0.0,1009.3,2075.5,30.3,66.0,7.0
2019-02-14,"-3,815701","-38,537792",0.0,1008.24,1693.37,30.31,59.14,4.65
2019-02-15,"-3,815701","-38,537792",0.2,1008.1,2119.02,31.18,60.75,5.42
2019-02-16,"-3,815701","-38,537792",0.0,1010.4,1661.3,28.95,74.0,5.45
2019-02-17,"-3,815701","-38,537792",0.0,1009.95,2395.25,31.28,64.25,6.92
2019-02-18,"-3,815701","-38,537792",0.0,1009.45,2566.6,31.45,62.5,8.8
2019-02-19,"-3,815701","-38,537792",0.0,1010.13,2200.3,30.83,66.33,6.0
2019-02-20,"-3,815701","-38,537792",0.0,1010.1,1761.1,30.5,66.0,3.5
2019-02-21,"-3,815701","-38,537792",5.6,1009.35,1732.88,29.85,72.0,5.8
2019-02-23,"-3,815701","-38,537792",0.0,1009.2,1098.9,28.1,74.5,8.4
2019-02-24,"-3,815701","-38,537792",0.0,1007.3,1562.3,28.3,65.0,3.7
2019-02-25,"-3,815701","-38,537792",0.0,1009.65,2680.3,30.9,62.5,6.9
2019-02-26,"-3,815701","-38,537792",0.0,1008.18,1264.36,29.11,69.3,4.98
2019-02-27,"-3,815701","-38,537792",3.4,1009.18,801.22,26.43,80.12,3.65
