Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-8,05928","-34,959239",0.0,1013.32,1977.82,27.48,72.0,5.25
2019-01-02,"-8,05928","-34,959239",0.8,1014.26,1846.64,27.99,69.88,6.38
2019-01-03,"-8,05928","-34,959239",0.0,1013.42,2221.99,27.1,68.0,5.33
2019-01-04,"-8,05928","-34,959239",0.0,1013.51,2072.84,26.9,71.0,4.68
2019-01-05,"-8,05928","-34,959239",0.0,1012.95,1675.59,27.57,71.12,5.59
2019-01-06,"-8,05928","-34,959239",10.0,1012.57,2180.01,26.47,75.71,4.33
2019-01-07,"-8,05928","-34,959239",9.6,1012.46,1829.25,25.53,82.17,4.35
2019-01-08,"-8,05928","-34,959239",2.6,1012.12,1752.09,26.4,79.33,4.88
2019-01-09,"-8,05928","-34,959239",3.2,1011.65,2108.89,26.98,73.88,6.24
2019-01-10,"-8,05928","-34,959239",0.0,1011.57,1948.23,27.16,70.17,5.52
2019-01-11,"-8,05928","-34,959239",2.8,1011.89,1952.72,26.2,75.08,5.48
2019-01-12,"-8,05928","-34,959239",29.6,1011.72,834.09,23.99,88.58,3.42
2019-01-13,"-8,05928","-34,959239",0.6,1012.37,1799.66,26.05,80.29,3.38
2019-01-14,"-8,05928","-34,959239",1.8,1012.42,1871.51,26.87,77.21,5.12
2019-01-15,"-8,05928","-34,959239",0.0,1013.02,1859.34,25.95,76.54,4.53
2019-01-16,"-8,05928","-34,959239",0.0,1013.34,2044.9,26.48,76.67,4.44
2019-01-17,"-8,05928","-34,959239",0.2,1012.51,2037.65,26.7,78.71,4.08
2019-01-18,"-8,05928","-34,959239",0.6,1012.11,2135.2,27.77,70.79,5.73
2019-01-19,"-8,05928","-34,959239",0.4,1012.4,1899.15,27.01,76.38,4.55
2019-01-20,"-8,05928","-34,959239",2.4,1013.36,1926.4,27.72,75.5,6.19
2019-01-21,"-8,05928","-34,959239",0.0,1013.76,1884.99,28.15,66.62,6.66
2019-01-22,"-8,05928","-34,959239",13.0,1013.05,1810.82,25.4,79.71,3.6
2019-01-23,"-8,05928","-34,959239",0.2,1013.07,1644.28,26.33,76.79,3.6
2019-01-24,"-8,05928","-34,959239",0.8,1012.76,1844.28,27.23,72.54,4.9
2019-01-25,"-8,05928","-34,959239",0.0,1012.2,1853.72,27.93,68.21,5.78
2019-01-26,"-8,05928","-34,959239",1.0,1013.08,1743.08,26.97,75.25,4.9
2019-01-27,"-8,05928","-34,959239",0.0,1013.17,1962.92,28.23,65.88,5.95
2019-01-28,"-8,05928","-34,959239",16.0,1013.06,801.22,24.52,86.12,3.03
2019-01-29,"-8,05928","-34,959239",9.6,1012.68,1788.25,26.17,77.67,5.18
2019-01-30,"-8,05928","-34,959239",0.6,1012.11,2047.64,26.51,76.21,4.62
2019-01-31,"-8,05928","-34,959239",1.8,1011.68,1666.65,27.34,72.38,5.24
2019-02-01,"-8,05928","-34,959239",1.0,1012.06,2167.82,27.37,74.5,4.77
2019-02-02,"-8,05928","-34,959239",5.4,1012.1,2432.1,26.48,79.29,4.87
2019-02-03,"-8,05928","-34,959239",5.8,1011.36,1486.89,25.59,86.92,3.7
2019-02-04,"-8,05928","-34,959239",7.6,1010.86,1245.02,25.85,87.46,2.98
2019-02-05,"-8,05928","-34,959239",7.2,1010.64,1516.23,26.78,83.46,3.41
2019-02-06,"-8,05928","-34,959239",46.4,1010.91,1220.16,25.78,87.25,3.2
2019-02-07,"-8,05928","-34,959239",0.2,1010.38,1857.02,26.71,73.83,4.72
2019-02-08,"-8,05928","-34,959239",0.0,1010.03,1860.22,25.82,76.75,3.74
2019-02-09,"-8,05928","-34,959239",0.2,1010.26,1927.28,27.17,74.21,4.89
2019-02-10,"-8,05928","-34,959239",0.2,1010.76,2269.45,27.91,70.42,6.7
2019-02-11,"-8,05928","-34,959239",1.0,1011.85,2039.05,27.64,72.67,5.97
2019-02-12,"-8,05928","-34,959239",1.0,1011.32,1810.66,27.29,75.54,5.16
