Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-1,411228","-48,439512",7.0,1009.25,629.88,26.34,84.12,2.46
2019-01-02,"-1,411228","-48,439512",8.8,1009.56,660.46,26.52,83.71,3.48
2019-01-03,"-1,411228","-48,439512",2.2,1008.91,719.48,27.44,79.67,3.95
2019-01-04,"-1,411228","-48,439512",0.0,1009.0,718.25,27.93,77.25,3.94
2019-01-05,"-1,411228","-48,439512",50.8,1008.96,630.42,26.78,83.75,4.26
2019-01-06,"-1,411228","-48,439512",2.0,1009.01,487.06,26.54,85.83,2.85
2019-01-07,"-1,411228","-48,439512",4.6,1009.0,295.57,25.74,86.46,2.92
2019-01-08,"-1,411228","-48,439512",16.0,1009.06,478.5,24.83,88.33,3.1
2019-01-09,"-1,411228","-48,439512",1.2,1008.1,607.94,26.44,80.08,3.39
2019-01-10,"-1,411228","-48,439512",4.2,1008.59,409.99,25.62,82.83,4.21
2019-01-11,"-1,411228","-48,439512",41.0,1010.29,349.71,24.59,86.92,2.86
2019-01-12,"-1,411228","-48,439512",4.8,1010.2,580.79,24.53,86.0,3.1
2019-01-13,"-1,411228","-48,439512",0.4,1009.24,638.09,26.48,81.12,3.24
2019-01-14,"-1,411228","-48,439512",5.4,1009.83,521.55,26.05,84.33,3.4
2019-01-15,"-1,411228","-48,439512",11.4,1010.8,291.94,24.59,88.88,3.05
2019-01-16,"-1,411228","-48,439512",3.8,1010.68,597.69,25.75,84.08,2.88
2019-01-17,"-1,411228","-48,439512",25.8,1009.98,535.8,26.42,83.54,3.23
2019-01-18,"-1,411228","-48,439512",10.0,1009.28,582.05,26.73,84.12,3.31
2019-01-19,"-1,411228","-48,439512",30.6,1009.46,267.59,25.45,88.96,2.55
2019-01-20,"-1,411228","-48,439512",7.4,1009.7,649.9,26.03,86.08,2.94
2019-01-21,"-1,411228","-48,439512",31.6,1009.86,518.55,25.8,88.25,3.1
2019-01-22,"-1,411228","-48,439512",1.8,1010.13,407.4,26.14,85.12,3.43
2019-01-23,"-1,411228","-48,439512",1.4,1010.21,535.22,26.89,82.25,3.6
2019-01-24,"-1,411228","-48,439512",14.4,1009.82,537.44,26.25,84.96,3.35
2019-01-25,"-1,411228","-48,439512",3.8,1009.97,501.17,26.27,84.83,3.48
2019-01-26,"-1,411228","-48,439512",3.2,1010.38,540.98,26.0,83.79,3.09
2019-01-27,"-1,411228","-48,439512",11.0,1009.37,639.43,27.19,78.62,3.43
2019-01-28,"-1,411228","-48,439512",32.0,1008.74,490.61,26.67,86.0,3.12
2019-01-29,"-1,411228","-48,439512",15.4,1008.67,695.6,26.71,84.92,2.79
2019-01-30,"-1,411228","-48,439512",18.6,1008.67,679.39,26.9,83.5,3.55
2019-01-31,"-1,411228","-48,439512",0.2,1008.48,615.02,27.5,81.75,3.4
2019-02-01,"-1,411228","-48,439512",0.6,1008.93,535.71,27.45,79.75,4.09
