Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-20,271094","-40,306069",0.0,1014.92,1100.05,27.78,72.46,7.26
2019-01-02,"-20,271094","-40,306069",0.0,1015.5,1192.21,28.35,68.71,6.4
2019-01-03,"-20,271094","-40,306069",0.0,1013.28,1274.41,28.28,67.54,8.41
2019-01-04,"-20,271094","-40,306069",0.0,1012.15,1143.63,27.84,70.92,6.75
2019-01-05,"-20,271094","-40,306069",0.0,1013.19,1262.19,27.77,70.42,6.86
2019-01-06,"-20,271094","-40,306069",0.0,1014.52,1276.05,27.27,69.29,7.35
2019-01-07,"-20,271094","-40,306069",0.0,1015.77,1154.94,27.64,70.08,7.23
2019-01-08,"-20,271094","-40,306069",0.0,1016.37,1233.66,27.47,70.12,6.39
2019-01-09,"-20,271094","-40,306069",0.0,1016.37,1134.4,26.52,72.25,4.74
2019-01-10,"-20,271094","-40,306069",2.6,1016.02,768.48,26.29,76.33,4.07
2019-01-11,"-20,271094","-40,306069",0.0,1016.11,1071.08,26.51,75.88,4.5
2019-01-12,"-20,271094","-40,306069",0.2,1015.6,1040.52,26.32,77.08,3.9
2019-01-13,"-20,271094","-40,306069",0.0,1016.26,1123.57,26.61,75.12,4.35
2019-01-14,"-20,271094","-40,306069",0.0,1016.07,1178.24,26.7,74.42,4.73
2019-01-15,"-20,271094","-40,306069",0.0,1015.46,1286.19,27.55,72.29,5.73
2019-01-16,"-20,271094","-40,306069",0.0,1015.48,1213.12,28.97,66.96,7.13
2019-01-17,"-20,271094","-40,306069",0.0,1014.74,1020.81,28.6,66.67,6.65
2019-01-18,"-20,271094","-40,306069",0.0,1014.16,1272.5,28.04,65.96,6.82
2019-01-19,"-20,271094","-40,306069",0.0,1013.59,1286.26,28.18,67.5,7.23
2019-01-20,"-20,271094","-40,306069",0.0,1014.28,1290.73,28.67,61.33,8.27
2019-01-21,"-20,271094","-40,306069",0.0,1015.91,1248.79,28.37,64.42,7.43
2019-01-22,"-20,271094","-40,306069",0.0,1015.87,1273.1,28.45,63.67,6.92
2019-01-23,"-20,271094","-40,306069",0.0,1015.86,1275.84,27.48,68.96,5.98
2019-01-24,"-20,271094","-40,306069",0.0,1015.46,1117.28,27.37,71.58,5.4
2019-01-25,"-20,271094","-40,306069",0.0,1014.8,1129.64,27.32,72.38,5.64
2019-01-26,"-20,271094","-40,306069",0.0,1016.25,1180.85,27.6,72.79,4.77
2019-01-27,"-20,271094","-40,306069",0.0,1017.44,1061.71,27.39,74.79,4.58
2019-01-28,"-20,271094","-40,306069",0.0,1018.28,999.69,27.81,74.71,4.12
2019-01-29,"-20,271094","-40,306069",0.0,1017.47,1031.47,27.59,73.22,4.19
2019-01-30,"-20,271094","-40,306069",0.0,1015.46,1300.43,28.3,68.61,5.3
2019-01-31,"-20,271094","-40,306069",0.0,1014.01,1208.19,28.23,68.29,6.18
2019-02-01,"-20,271094","-40,306069",0.0,1014.46,1281.82,28.39,67.08,6.5
2019-02-02,"-20,271094","-40,306069",0.0,1014.56,1200.27,28.08,66.92,6.44
2019-02-03,"-20,271094","-40,306069",0.0,1011.81,1238.29,28.83,64.46,6.98
2019-02-04,"-20,271094","-40,306069",0.0,1011.79,1149.18,27.72,71.62,4.05
2019-02-05,"-20,271094","-40,306069",5.0,1013.35,554.5,26.18,76.83,5.04
2019-02-06,"-20,271094","-40,306069",0.0,1013.63,1125.14,26.18,75.48,4.2
2019-02-07,"-20,271094","-40,306069",49.0,1011.63,598.73,26.18,81.33,4.32
2019-02-08,"-20,271094","-40,306069",6.6,1011.4,954.38,26.89,76.33,4.47
2019-02-09,"-20,271094","-40,306069",0.0,1012.46,819.08,27.91,73.42,4.18
2019-02-10,"-20,271094","-40,306069",0.0,1013.4,1063.01,27.44,75.04,5.49
2019-02-11,"-20,271094","-40,306069",0.0,1014.86,1221.37,29.05,65.79,7.3
2019-02-12,"-20,271094","-40,306069",0.0,1012.88,1200.17,28.61,67.33,5.62
2019-02-13,"-20,271094","-40,306069",6.8,1011.71,813.93,26.3,78.29,5.02
2019-02-14,"-20,271094","-40,306069",0.2,1014.63,565.92,25.57,67.58,6.6
2019-02-15,"-20,271094","-40,306069",0.0,1012.73,970.12,25.89,72.62,4.01
2019-02-16,"-20,271094","-40,306069",0.0,1009.28,663.03,28.69,71.29,4.82
2019-02-17,"-20,271094","-40,306069",5.0,1010.19,522.07,27.35,79.46,3.9
2019-02-18,"-20,271094","-40,306069",0.2,1011.47,768.05,29.0,75.88,4.25
2019-02-19,"-20,271094","-40,306069",9.6,1011.51,864.76,27.95,77.75,4.82
2019-02-20,"-20,271094","-40,306069",27.2,1010.53,835.55,27.6,82.12,4.35
2019-02-21,"-20,271094","-40,306069",20.4,1013.31,939.53,27.05,83.88,3.47
2019-02-22,"-20,271094","-40,306069",0.0,1014.88,1044.23,28.19,77.04,3.84
2019-02-23,"-20,271094","-40,306069",0.0,1012.88,1112.77,29.5,74.42,4.02
2019-02-24,"-20,271094","-40,306069",0.0,1010.04,1175.22,29.14,70.83,4.8
2019-02-25,"-20,271094","-40,306069",0.0,1009.05,1095.83,29.74,70.38,4.68
2019-02-26,"-20,271094","-40,306069",0.0,1010.29,1072.47,29.77,69.04,5.6
2019-02-27,"-20,271094","-40,306069",0.0,1012.24,978.77,28.39,74.67,4.78
2019-02-28,"-20,271094","-40,306069",0.0,1012.25,1121.52,29.59,67.12,6.6
2019-03-01,"-20,271094","-40,306069",0.0,1013.52,1042.19,29.53,66.92,6.5
2019-03-02,"-20,271094","-40,306069",0.0,1015.09,601.3,28.32,70.25,5.53
2019-03-03,"-20,271094","-40,306069",0.0,1014.5,1115.43,28.13,72.38,4.65
2019-03-04,"-20,271094","-40,306069",0.0,1015.7,1078.64,27.83,73.5,4.25
2019-03-05,"-20,271094","-40,306069",0.0,1016.7,417.98,26.85,81.79,3.07
2019-03-06,"-20,271094","-40,306069",6.2,1017.18,951.85,27.35,79.12,3.83
2019-03-07,"-20,271094","-40,306069",4.4,1017.23,1004.04,27.52,79.12,3.6
2019-03-08,"-20,271094","-40,306069",0.8,1015.54,773.68,26.97,81.58,3.28
