Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-30,053536","-51,174766",0.0,1006.22,1972.91,28.73,72.92,5.86
2019-01-02,"-30,053536","-51,174766",0.0,1003.46,1840.77,30.53,66.67,5.38
2019-01-03,"-30,053536","-51,174766",11.0,1001.24,541.97,26.92,83.62,4.67
2019-01-04,"-30,053536","-51,174766",3.0,1007.61,671.69,21.95,88.54,4.48
2019-01-05,"-30,053536","-51,174766",0.0,1008.58,1384.67,23.09,78.29,7.02
2019-01-06,"-30,053536","-51,174766",0.0,1004.48,1781.45,26.61,72.08,5.46
2019-01-07,"-30,053536","-51,174766",3.8,998.33,1024.74,27.93,76.0,7.38
2019-01-08,"-30,053536","-51,174766",0.0,1006.09,1226.41,26.85,70.92,5.56
2019-01-09,"-30,053536","-51,174766",0.2,1005.48,1094.58,26.18,75.92,6.11
2019-01-10,"-30,053536","-51,174766",0.2,1004.25,851.26,26.65,78.25,4.25
2019-01-11,"-30,053536","-51,174766",0.0,1010.25,446.87,24.3,83.5,5.42
2019-01-12,"-30,053536","-51,174766",0.0,1011.15,681.38,23.63,84.79,6.66
2019-01-13,"-30,053536","-51,174766",0.2,1008.05,1854.9,27.19,78.04,4.45
2019-01-14,"-30,053536","-51,174766",0.4,1006.82,1723.86,27.58,77.88,4.95
2019-01-15,"-30,053536","-51,174766",2.6,1005.24,1649.05,28.07,77.75,4.53
2019-01-16,"-30,053536","-51,174766",33.6,1004.02,1274.44,27.1,83.29,8.17
2019-01-17,"-30,053536","-51,174766",18.2,1008.01,702.06,25.5,88.17,4.7
2019-01-18,"-30,053536","-51,174766",5.8,1007.52,877.84,24.08,90.88,5.74
2019-01-19,"-30,053536","-51,174766",15.2,1007.93,757.12,22.05,94.5,6.81
2019-01-20,"-30,053536","-51,174766",1.0,1010.71,1521.97,22.57,85.08,6.2
2019-01-21,"-30,053536","-51,174766",0.0,1008.31,1328.8,24.05,84.25,4.8
2019-01-22,"-30,053536","-51,174766",0.0,1009.12,1769.67,26.19,75.83,4.15
2019-01-23,"-30,053536","-51,174766",0.0,1007.99,1617.07,27.7,76.0,4.17
2019-01-24,"-30,053536","-51,174766",6.4,1009.72,1213.68,26.45,86.67,6.93
2019-01-25,"-30,053536","-51,174766",0.0,1010.08,2036.42,26.37,75.25,8.09
2019-01-26,"-30,053536","-51,174766",0.0,1008.23,1913.02,28.38,71.33,4.77
2019-01-27,"-30,053536","-51,174766",0.0,1007.68,1783.21,28.28,70.83,4.9
2019-01-28,"-30,053536","-51,174766",0.0,1007.68,1885.04,29.82,66.42,4.97
2019-01-29,"-30,053536","-51,174766",0.0,1008.15,1858.46,30.51,65.33,4.48
2019-01-30,"-30,053536","-51,174766",0.0,1005.38,1921.47,31.53,61.92,5.48
2019-01-31,"-30,053536","-51,174766",16.0,1005.9,1595.24,29.58,72.54,4.37
2019-02-01,"-30,053536","-51,174766",2.2,1007.0,1286.11,26.58,84.25,3.46
2019-02-02,"-30,053536","-51,174766",19.8,1008.18,857.31,25.45,87.17,4.46
2019-02-03,"-30,053536","-51,174766",1.0,1013.51,930.03,22.71,76.54,6.87
2019-02-04,"-30,053536","-51,174766",0.0,1014.38,1318.23,21.96,72.12,5.22
2019-02-05,"-30,053536","-51,174766",0.0,1013.37,1757.08,22.58,66.88,5.56
2019-02-06,"-30,053536","-51,174766",0.0,1009.88,1760.51,23.48,75.17,4.22
2019-02-07,"-30,053536","-51,174766",0.0,1005.78,1757.38,24.91,73.88,4.27
2019-02-08,"-30,053536","-51,174766",0.0,1004.22,2053.81,26.42,68.29,4.29
2019-02-09,"-30,053536","-51,174766",0.0,1003.7,2124.74,28.7,62.54,4.27
2019-02-10,"-30,053536","-51,174766",4.6,1002.16,664.79,26.82,77.67,4.82
2019-02-11,"-30,053536","-51,174766",15.6,1001.0,1445.88,27.11,78.79,4.61
2019-02-12,"-30,053536","-51,174766",0.8,1009.46,821.53,22.66,83.46,8.09
2019-02-13,"-30,053536","-51,174766",0.8,1013.63,1707.9,21.15,76.75,5.01
2019-02-14,"-30,053536","-51,174766",0.0,1009.6,1937.09,23.81,69.04,6.12
2019-02-15,"-30,053536","-51,174766",7.4,1005.56,818.33,22.55,90.92,4.81
2019-02-16,"-30,053536","-51,174766",4.2,1007.28,1468.15,23.86,82.83,7.02
2019-02-17,"-30,053536","-51,174766",0.0,1008.73,1749.72,24.25,74.71,6.97
2019-02-18,"-30,053536","-51,174766",0.0,1006.47,1791.85,25.59,76.33,7.08
2019-02-19,"-30,053536","-51,174766",0.0,1002.68,2097.05,26.01,76.33,4.85
2019-02-20,"-30,053536","-51,174766",0.0,1004.4,1790.81,27.56,71.58,3.6
2019-02-21,"-30,053536","-51,174766",0.0,1007.92,2108.78,26.95,70.04,4.31
2019-02-22,"-30,053536","-51,174766",0.0,1007.56,2110.28,27.06,68.29,4.86
2019-02-23,"-30,053536","-51,174766",0.0,1003.06,2076.61,28.65,65.0,4.11
2019-02-24,"-30,053536","-51,174766",27.8,998.72,655.52,26.71,77.33,4.73
2019-02-25,"-30,053536","-51,174766",11.2,1003.52,195.38,21.43,95.33,5.37
2019-02-26,"-30,053536","-51,174766",0.4,1008.74,894.04,20.53,87.96,3.21
2019-02-27,"-30,053536","-51,174766",0.0,1010.14,1381.98,21.1,75.25,5.37
2019-02-28,"-30,053536","-51,174766",0.0,1009.67,1889.48,21.63,75.92,3.66
2019-03-01,"-30,053536","-51,174766",0.0,1008.55,2004.8,23.6,72.25,3.62
2019-03-02,"-30,053536","-51,174766",0.0,1006.62,2054.68,25.08,71.08,4.78
2019-03-03,"-30,053536","-51,174766",0.0,1009.39,1562.75,24.61,73.67,5.19
2019-03-04,"-30,053536","-51,174766",0.0,1007.18,1892.92,26.63,72.42,4.82
2019-03-05,"-30,053536","-51,174766",14.8,1008.08,1630.59,27.02,75.79,5.42
2019-03-06,"-30,053536","-51,174766",0.8,1008.7,874.43,24.53,84.71,2.75
2019-03-07,"-30,053536","-51,174766",0.2,1005.63,1620.72,26.76,72.5,3.5
2019-03-08,"-30,053536","-51,174766",2.8,1005.3,1371.06,25.44,80.92,5.58
2019-03-09,"-30,053536","-51,174766",46.0,1010.46,510.2,21.54,97.12,8.38
2019-03-10,"-30,053536","-51,174766",0.0,1015.22,1305.15,21.4,76.62,6.7
2019-03-11,"-30,053536","-51,174766",0.0,1013.34,1442.75,21.54,76.04,6.57
2019-03-12,"-30,053536","-51,174766",0.0,1008.19,1327.17,23.32,77.12,4.38
2019-03-13,"-30,053536","-51,174766",1.2,1004.48,1001.59,24.02,82.67,4.26
2019-03-14,"-30,053536","-51,174766",0.0,1006.01,1888.77,23.72,74.33,5.14
2019-03-15,"-30,053536","-51,174766",0.0,1009.25,1251.36,23.58,80.83,4.14
2019-03-16,"-30,053536","-51,174766",0.0,1010.06,1510.91,24.76,79.29,6.51
2019-03-17,"-30,053536","-51,174766",8.4,1006.98,323.67,22.88,86.79,5.55
2019-03-18,"-30,053536","-51,174766",2.6,1002.61,775.31,23.33,90.67,3.5
2019-03-19,"-30,053536","-51,174766",0.0,1004.28,1193.65,23.4,86.5,4.36
2019-03-20,"-30,053536","-51,174766",0.6,1009.52,744.78,20.93,80.38,4.28
2019-03-21,"-30,053536","-51,174766",0.2,1013.61,1675.52,19.08,70.54,5.33
2019-03-22,"-30,053536","-51,174766",0.0,1012.98,1465.52,19.16,76.04,4.91
2019-03-23,"-30,053536","-51,174766",0.0,1011.22,1223.22,20.52,80.83,2.78
2019-03-24,"-30,053536","-51,174766",0.0,1008.73,1747.04,22.31,74.04,4.25
2019-03-25,"-30,053536","-51,174766",0.0,1009.16,1796.72,21.24,61.38,6.07
2019-03-26,"-30,053536","-51,174766",0.0,1012.99,1457.33,19.78,78.79,3.54
2019-03-27,"-30,053536","-51,174766",2.4,1017.33,842.84,19.44,89.83,4.19
2019-03-28,"-30,053536","-51,174766",0.0,1018.95,1634.63,21.53,82.67,8.05
2019-03-29,"-30,053536","-51,174766",0.0,1016.25,1350.31,23.05,78.54,6.83
2019-03-30,"-30,053536","-51,174766",0.2,1011.67,1645.82,23.92,73.29,3.79
2019-03-31,"-30,053536","-51,174766",0.0,1009.29,1336.86,24.65,80.62,3.08
2019-04-01,"-30,053536","-51,174766",0.0,1009.19,1401.34,24.47,83.67,4.14
2019-04-02,"-30,053536","-51,174766",0.0,1006.93,1551.82,25.13,78.79,4.09
2019-04-03,"-30,053536","-51,174766",0.0,1004.49,1480.34,26.44,77.17,4.5
2019-04-04,"-30,053536","-51,174766",0.4,1000.4,1354.77,26.26,81.38,4.3
2019-04-05,"-30,053536","-51,174766",49.2,1001.46,357.38,22.04,92.71,6.25
2019-04-06,"-30,053536","-51,174766",5.8,1011.23,462.99,20.55,92.71,3.7
2019-04-07,"-30,053536","-51,174766",1.4,1012.06,712.77,21.34,90.42,5.29
2019-04-08,"-30,053536","-51,174766",0.0,1012.91,1396.44,21.33,77.38,4.42
2019-04-09,"-30,053536","-51,174766",0.0,1013.36,1685.44,20.01,75.96,4.71
2019-04-10,"-30,053536","-51,174766",0.0,1011.85,1651.85,21.75,72.96,3.76
2019-04-11,"-30,053536","-51,174766",21.6,1008.87,1544.55,22.68,80.83,3.82
