Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2020-01-01,"-5,03472221","-42,80138888",0.0,1002.2,1104.78,27.78,68.83,3.93
2020-01-02,"-5,03472221","-42,80138888",12.8,1002.44,745.45,26.05,80.71,2.9
2020-01-03,"-5,03472221","-42,80138888",1.0,1003.08,890.31,27.27,74.83,3.9
2020-01-04,"-5,03472221","-42,80138888",2.2,1003.94,599.31,25.9,83.08,3.38
2020-01-05,"-5,03472221","-42,80138888",0.6,1003.17,1080.11,26.35,75.62,3.67
2020-01-06,"-5,03472221","-42,80138888",0.2,1002.6,760.41,26.67,75.38,4.08
2020-01-07,"-5,03472221","-42,80138888",34.0,1003.98,846.6,25.94,80.33,3.95
2020-01-08,"-5,03472221","-42,80138888",0.2,1003.4,1046.69,27.61,75.12,3.77
2020-01-09,"-5,03472221","-42,80138888",11.6,1003.18,1034.14,26.41,81.29,4.29
2020-01-10,"-5,03472221","-42,80138888",0.0,1003.38,1160.25,26.5,78.92,3.51
2020-01-11,"-5,03472221","-42,80138888",0.2,1002.4,1093.86,27.48,73.92,4.63
2020-01-12,"-5,03472221","-42,80138888",0.6,1002.82,1207.39,27.85,72.54,3.25
2020-01-13,"-5,03472221","-42,80138888",0.0,1002.46,978.19,27.79,70.79,3.48
2020-01-14,"-5,03472221","-42,80138888",0.0,1002.02,1050.34,28.0,72.83,3.53
2020-01-15,"-5,03472221","-42,80138888",15.2,1002.28,982.81,26.9,77.62,4.0
2020-01-16,"-5,03472221","-42,80138888",0.2,1003.2,1152.42,27.3,75.54,2.95
2020-01-17,"-5,03472221","-42,80138888",1.4,1003.58,827.08,27.08,78.88,3.5
2020-01-18,"-5,03472221","-42,80138888",2.0,1003.44,1039.16,26.33,78.29,3.81
2020-01-19,"-5,03472221","-42,80138888",9.6,1003.4,454.03,24.48,88.33,3.08
2020-01-20,"-5,03472221","-42,80138888",0.2,1002.1,1291.58,26.83,76.42,3.46
2020-01-21,"-5,03472221","-42,80138888",0.0,1001.07,1315.79,27.28,75.42,4.33
2020-01-22,"-5,03472221","-42,80138888",4.8,1001.3,1030.16,27.76,76.79,3.35
2020-01-23,"-5,03472221","-42,80138888",10.6,1001.75,817.94,26.42,79.12,4.29
2020-01-24,"-5,03472221","-42,80138888",5.4,1002.41,1249.04,26.58,79.33,2.92
2020-01-25,"-5,03472221","-42,80138888",0.0,1001.78,1268.74,28.62,74.33,2.52
