Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2020-01-01,"-10,190744","-48,301811",2.0,978.03,1226.47,26.38,77.05,4.6
2020-01-02,"-10,190744","-48,301811",13.8,978.27,874.78,25.19,84.5,3.35
2020-01-03,"-10,190744","-48,301811",3.8,979.47,1024.99,24.83,85.14,3.13
2020-01-04,"-10,190744","-48,301811",21.0,979.85,950.99,24.42,86.91,3.67
2020-01-05,"-10,190744","-48,301811",3.0,979.13,1004.13,24.79,83.77,3.47
2020-01-06,"-10,190744","-48,301811",20.4,979.68,759.59,24.88,85.73,3.58
2020-01-07,"-10,190744","-48,301811",0.8,980.1,1690.48,26.15,76.18,2.74
2020-01-08,"-10,190744","-48,301811",8.0,979.39,1027.43,26.15,81.23,3.39
2020-01-09,"-10,190744","-48,301811",50.4,979.81,524.66,24.41,89.55,2.9
2020-01-10,"-10,190744","-48,301811",4.4,978.82,1591.9,26.14,80.59,3.41
2020-01-11,"-10,190744","-48,301811",14.0,977.68,1222.85,26.38,81.5,4.04
2020-01-12,"-10,190744","-48,301811",2.4,979.06,1310.05,26.5,80.59,3.05
2020-01-13,"-10,190744","-48,301811",0.4,979.2,1474.03,26.58,77.41,2.8
2020-01-14,"-10,190744","-48,301811",2.2,978.63,1645.97,26.87,73.41,3.99
2020-01-15,"-10,190744","-48,301811",11.6,977.45,1326.45,26.47,76.55,3.23
2020-01-16,"-10,190744","-48,301811",0.8,978.71,1693.0,28.22,72.68,3.33
2020-01-17,"-10,190744","-48,301811",8.8,979.9,1485.61,28.25,73.18,3.5
2020-01-18,"-10,190744","-48,301811",0.0,978.99,1792.68,28.81,72.59,2.9
2020-01-19,"-10,190744","-48,301811",4.4,978.68,1632.03,27.06,70.95,5.6
2020-01-20,"-10,190744","-48,301811",3.4,978.05,1474.31,26.53,73.86,3.61
2020-01-21,"-10,190744","-48,301811",0.0,976.6,1939.81,27.87,70.86,3.75
2020-01-22,"-10,190744","-48,301811",31.6,976.82,673.49,25.93,80.23,4.29
2020-01-23,"-10,190744","-48,301811",41.2,977.61,1089.19,24.59,87.45,4.21
2020-01-24,"-10,190744","-48,301811",22.8,978.35,594.06,24.14,89.55,3.75
2020-01-25,"-10,190744","-48,301811",9.8,978.35,1203.39,26.69,80.82,3.98
2020-01-26,"-10,190744","-48,301811",0.0,979.21,1945.26,27.22,76.86,4.07
2020-01-27,"-10,190744","-48,301811",84.2,979.95,795.61,24.8,87.32,4.13
2020-01-28,"-10,190744","-48,301811",0.4,980.37,1244.2,25.54,78.23,3.35
2020-01-29,"-10,190744","-48,301811",5.8,979.95,1335.86,26.54,79.45,2.85
2020-01-30,"-10,190744","-48,301811",0.2,980.13,1857.69,27.52,76.05,4.15
2020-01-31,"-10,190744","-48,301811",6.6,979.5,1838.96,28.76,71.5,3.41
2020-02-01,"-10,190744","-48,301811",0.4,979.84,1408.28,27.93,73.14,3.55
2020-02-02,"-10,190744","-48,301811",2.8,979.3,957.9,26.7,78.59,3.06
2020-02-03,"-10,190744","-48,301811",10.4,979.74,1085.5,25.53,76.23,4.35
2020-02-04,"-10,190744","-48,301811",35.6,980.29,1342.12,26.01,77.36,3.99
2020-02-05,"-10,190744","-48,301811",10.2,980.17,1008.79,25.35,80.82,3.75
2020-02-06,"-10,190744","-48,301811",0.0,980.21,1957.51,25.74,78.82,3.72
2020-02-07,"-10,190744","-48,301811",22.0,978.5,670.08,24.77,82.86,3.5
2020-02-08,"-10,190744","-48,301811",0.6,979.2,783.38,24.89,81.73,3.39
2020-02-09,"-10,190744","-48,301811",5.6,981.71,1446.78,24.61,81.0,3.28
2020-02-10,"-10,190744","-48,301811",0.0,981.19,1977.89,27.16,66.59,5.23
2020-02-11,"-10,190744","-48,301811",0.0,979.04,1773.03,28.88,67.82,3.02
2020-02-12,"-10,190744","-48,301811",6.6,978.42,1269.84,26.73,77.27,4.02
2020-02-13,"-10,190744","-48,301811",10.8,978.82,1668.05,27.55,75.5,3.35
2020-02-14,"-10,190744","-48,301811",0.0,977.9,1766.25,29.05,68.36,2.75
2020-02-15,"-10,190744","-48,301811",1.6,978.53,1123.68,27.0,72.14,4.49
2020-02-16,"-10,190744","-48,301811",0.2,978.71,1546.52,26.68,71.32,3.11
2020-02-17,"-10,190744","-48,301811",24.0,978.27,1266.89,26.94,75.5,3.87
2020-02-18,"-10,190744","-48,301811",1.0,978.31,1025.78,26.48,80.82,3.84
2020-02-19,"-10,190744","-48,301811",27.2,977.32,1080.05,25.43,82.82,3.86
2020-02-20,"-10,190744","-48,301811",15.8,977.99,453.91,24.24,84.82,2.74
