Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2020-01-01,"-20,27083332","-40,30583333",0.0,1010.36,1229.08,26.5,74.88,5.95
2020-01-02,"-20,27083332","-40,30583333",14.6,1008.29,936.73,28.03,70.17,7.1
2020-01-03,"-20,27083332","-40,30583333",67.6,1009.38,740.83,25.52,87.21,4.2
2020-01-04,"-20,27083332","-40,30583333",9.0,1008.92,688.88,25.39,86.96,3.8
2020-01-05,"-20,27083332","-40,30583333",0.6,1008.05,918.8,27.67,75.67,5.91
2020-01-06,"-20,27083332","-40,30583333",5.8,1009.43,865.38,27.35,83.62,5.95
2020-01-07,"-20,27083332","-40,30583333",0.0,1010.51,1266.1,28.32,74.71,7.47
2020-01-08,"-20,27083332","-40,30583333",0.0,1011.28,1173.98,28.42,69.67,7.87
2020-01-09,"-20,27083332","-40,30583333",0.0,1011.68,1204.92,27.6,64.29,7.42
2020-01-10,"-20,27083332","-40,30583333",0.0,1012.12,1322.32,27.68,65.58,7.5
2020-01-11,"-20,27083332","-40,30583333",0.0,1011.72,1273.27,28.32,62.0,8.07
2020-01-12,"-20,27083332","-40,30583333",0.0,1011.26,1260.16,28.77,63.46,6.56
2020-01-13,"-20,27083332","-40,30583333",0.0,1012.62,1051.17,27.49,76.62,3.89
2020-01-14,"-20,27083332","-40,30583333",0.0,1014.4,734.05,26.64,71.71,6.04
2020-01-15,"-20,27083332","-40,30583333",0.0,1014.4,939.61,25.71,71.62,3.73
2020-01-16,"-20,27083332","-40,30583333",0.0,1013.2,1187.38,28.12,70.5,5.3
2020-01-17,"-20,27083332","-40,30583333",0.0,1013.87,831.46,28.39,65.79,5.16
2020-01-18,"-20,27083332","-40,30583333",10.0,1016.91,575.77,25.57,74.21,6.28
2020-01-19,"-20,27083332","-40,30583333",0.0,1015.12,1039.01,26.35,66.67,6.36
2020-01-20,"-20,27083332","-40,30583333",1.0,1012.46,738.76,25.25,70.21,4.69
2020-01-21,"-20,27083332","-40,30583333",23.0,1010.1,372.75,23.18,89.67,3.18
2020-01-22,"-20,27083332","-40,30583333",21.0,1008.9,625.17,24.58,83.83,4.15
2020-01-23,"-20,27083332","-40,30583333",51.2,1008.19,486.35,24.69,87.38,4.35
