Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2020-01-01,"-22,358052","-49,028877",0.2,937.41,1400.93,25.94,71.21,5.35
2020-01-02,"-22,358052","-49,028877",2.8,937.29,1056.01,24.75,80.62,3.99
2020-01-03,"-22,358052","-49,028877",0.2,939.2,608.96,22.52,86.0,4.78
2020-01-04,"-22,358052","-49,028877",1.0,938.17,931.65,23.36,74.75,5.3
2020-01-05,"-22,358052","-49,028877",9.6,937.0,809.07,21.45,87.58,5.32
2020-01-06,"-22,358052","-49,028877",0.2,937.77,1516.19,23.61,82.96,3.85
2020-01-07,"-22,358052","-49,028877",0.0,939.42,1216.71,25.52,78.54,4.38
2020-01-08,"-22,358052","-49,028877",0.8,940.28,1138.1,24.67,85.08,4.66
2020-01-09,"-22,358052","-49,028877",1.4,941.31,1202.22,24.71,86.5,3.92
2020-01-10,"-22,358052","-49,028877",11.0,941.35,1060.87,23.85,88.33,3.48
2020-01-11,"-22,358052","-49,028877",16.8,940.49,990.46,24.35,89.08,2.82
2020-01-12,"-22,358052","-49,028877",11.6,941.72,782.09,24.64,88.21,2.61
2020-01-13,"-22,358052","-49,028877",14.6,943.06,856.41,23.6,87.42,4.08
2020-01-14,"-22,358052","-49,028877",0.0,942.68,1267.91,24.45,76.83,4.8
2020-01-15,"-22,358052","-49,028877",4.6,941.1,1822.14,26.12,73.71,4.58
2020-01-16,"-22,358052","-49,028877",0.2,942.15,1474.91,26.29,75.62,4.11
2020-01-17,"-22,358052","-49,028877",6.4,944.56,869.38,23.59,83.42,6.85
2020-01-18,"-22,358052","-49,028877",0.0,945.05,1522.16,23.34,72.71,7.18
2020-01-19,"-22,358052","-49,028877",0.0,942.98,1602.12,24.49,74.46,5.24
2020-01-20,"-22,358052","-49,028877",0.0,940.4,1649.86,25.44,71.08,6.1
2020-01-21,"-22,358052","-49,028877",0.0,937.83,1711.85,24.12,69.33,6.2
2020-01-22,"-22,358052","-49,028877",0.0,936.64,1294.55,23.51,72.12,6.58
2020-01-23,"-22,358052","-49,028877",54.8,936.07,290.52,20.47,92.67,6.27
2020-01-24,"-22,358052","-49,028877",0.0,935.0,1391.81,22.88,79.29,5.51
2020-01-25,"-22,358052","-49,028877",0.0,938.47,1823.46,22.46,71.79,5.4
2020-01-26,"-22,358052","-49,028877",0.0,939.97,1813.1,24.68,61.71,2.7
2020-01-27,"-22,358052","-49,028877",0.0,940.16,2013.08,25.76,48.21,3.16
2020-01-28,"-22,358052","-49,028877",0.0,940.05,1859.58,26.49,49.62,3.49
2020-01-29,"-22,358052","-49,028877",0.0,941.26,1240.55,25.59,72.92,4.51
2020-01-30,"-22,358052","-49,028877",25.2,942.31,474.11,23.45,88.08,5.88
2020-01-31,"-22,358052","-49,028877",25.8,943.21,657.84,23.29,90.12,5.67
2020-02-01,"-22,358052","-49,028877",2.6,943.16,711.2,23.45,92.21,2.62
2020-02-02,"-22,358052","-49,028877",36.0,943.15,842.52,23.01,92.0,3.68
2020-02-03,"-22,358052","-49,028877",11.4,942.25,740.05,22.17,93.21,4.29
2020-02-04,"-22,358052","-49,028877",2.0,942.21,852.09,22.84,86.42,5.33
2020-02-05,"-22,358052","-49,028877",0.2,941.89,972.86,23.68,87.21,3.78
2020-02-06,"-22,358052","-49,028877",0.0,941.84,1150.31,23.85,83.83,3.12
2020-02-07,"-22,358052","-49,028877",15.0,940.74,669.88,21.87,92.12,5.55
2020-02-08,"-22,358052","-49,028877",0.6,940.52,1258.79,23.26,83.21,5.08
2020-02-09,"-22,358052","-49,028877",8.4,940.92,1012.12,23.19,87.46,5.64
2020-02-10,"-22,358052","-49,028877",95.8,941.82,325.62,21.8,97.0,4.12
2020-02-11,"-22,358052","-49,028877",9.4,942.88,640.29,20.5,89.54,7.11
2020-02-12,"-22,358052","-49,028877",0.0,942.75,1161.21,20.91,80.25,6.65
2020-02-13,"-22,358052","-49,028877",0.0,942.57,1585.05,22.19,75.21,5.38
2020-02-14,"-22,358052","-49,028877",0.0,942.31,1774.98,23.38,74.83,4.87
2020-02-15,"-22,358052","-49,028877",0.0,941.4,1521.09,24.92,73.04,4.58
2020-02-16,"-22,358052","-49,028877",7.0,940.7,1388.13,25.19,74.42,4.42
2020-02-17,"-22,358052","-49,028877",0.6,940.76,1522.52,25.58,79.96,3.88
2020-02-18,"-22,358052","-49,028877",0.0,941.48,1563.18,25.9,76.88,4.0
2020-02-19,"-22,358052","-49,028877",0.0,940.11,818.85,25.01,83.38,4.13
2020-02-20,"-22,358052","-49,028877",35.2,939.75,1035.95,24.06,88.62,3.63
2020-02-21,"-22,358052","-49,028877",37.6,940.88,275.63,22.6,95.33,2.54
2020-02-22,"-22,358052","-49,028877",0.2,942.07,1341.32,23.28,86.04,4.73
2020-02-23,"-22,358052","-49,028877",0.0,944.05,1658.43,21.91,73.25,7.75
2020-02-24,"-22,358052","-49,028877",1.0,942.32,814.4,22.09,81.17,5.47
2020-02-25,"-22,358052","-49,028877",29.2,941.2,1043.75,23.84,88.29,5.11
2020-02-26,"-22,358052","-49,028877",24.4,939.03,418.45,22.04,95.88,3.88
2020-02-27,"-22,358052","-49,028877",3.4,940.46,915.36,21.06,86.25,5.46
2020-02-28,"-22,358052","-49,028877",0.0,943.18,1523.39,20.6,80.96,6.03
2020-02-29,"-22,358052","-49,028877",0.0,944.0,1035.75,21.42,80.75,4.16
2020-03-01,"-22,358052","-49,028877",0.0,944.02,1190.85,21.15,78.08,7.42
2020-03-02,"-22,358052","-49,028877",0.0,943.5,1752.33,22.32,72.83,7.26
2020-03-03,"-22,358052","-49,028877",0.0,942.67,1474.89,21.61,74.17,6.03
2020-03-04,"-22,358052","-49,028877",0.0,942.48,1830.15,21.76,73.0,5.13
2020-03-05,"-22,358052","-49,028877",0.0,943.43,1798.18,22.63,69.54,5.45
