Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-15,78944444","-47,92583332",1.4,887.22,1604.98,22.13,69.5,4.65
2021-01-02,"-15,78944444","-47,92583332",4.6,885.87,1562.08,21.15,72.17,5.25
2021-01-03,"-15,78944444","-47,92583332",33.8,883.96,1685.22,21.83,78.46,5.22
2021-01-04,"-15,78944444","-47,92583332",11.6,885.76,1042.64,20.1,81.92,5.62
2021-01-05,"-15,78944444","-47,92583332",0.2,886.76,1877.59,22.05,74.29,3.62
2021-01-06,"-15,78944444","-47,92583332",0.0,886.29,2210.22,24.26,65.42,4.36
2021-01-07,"-15,78944444","-47,92583332",9.6,886.36,1695.02,23.38,73.0,4.59
2021-01-08,"-15,78944444","-47,92583332",0.0,886.31,1965.65,22.59,71.58,5.04
2021-01-09,"-15,78944444","-47,92583332",27.8,885.17,1910.22,22.87,75.96,4.72
2021-01-10,"-15,78944444","-47,92583332",11.0,885.82,1206.97,21.85,79.08,4.05
2021-01-11,"-15,78944444","-47,92583332",0.6,885.74,1595.5,22.26,79.12,5.02
2021-01-12,"-15,78944444","-47,92583332",12.8,885.97,996.94,21.42,84.21,3.39
2021-01-13,"-15,78944444","-47,92583332",0.0,885.42,1973.96,22.92,76.25,3.97
2021-01-14,"-15,78944444","-47,92583332",2.8,885.13,1191.95,21.97,79.42,4.45
2021-01-15,"-15,78944444","-47,92583332",0.2,885.32,1246.9,20.79,80.46,4.7
2021-01-16,"-15,78944444","-47,92583332",12.8,885.44,604.82,19.53,89.33,3.77
2021-01-17,"-15,78944444","-47,92583332",0.0,885.3,1278.68,20.65,76.79,3.39
2021-01-18,"-15,78944444","-47,92583332",0.0,885.34,1729.47,22.38,74.12,4.7
2021-01-19,"-15,78944444","-47,92583332",0.0,885.75,2231.95,23.23,65.29,4.83
2021-01-20,"-15,78944444","-47,92583332",0.0,886.16,2264.98,22.48,63.08,4.91
2021-01-21,"-15,78944444","-47,92583332",0.0,886.4,2063.4,23.6,54.71,5.97
2021-01-22,"-15,78944444","-47,92583332",0.0,887.92,2078.68,23.38,56.58,5.75
2021-01-23,"-15,78944444","-47,92583332",0.0,887.97,2308.76,23.15,60.42,5.4
2021-01-24,"-15,78944444","-47,92583332",0.0,886.6,2275.12,23.45,56.54,5.64
2021-01-25,"-15,78944444","-47,92583332",78.0,885.78,1725.47,22.1,63.42,6.39
2021-01-26,"-15,78944444","-47,92583332",53.6,885.87,1752.08,20.56,76.54,5.86
2021-01-27,"-15,78944444","-47,92583332",0.8,886.25,1841.86,21.89,74.33,5.65
2021-01-28,"-15,78944444","-47,92583332",0.0,885.63,2091.22,22.28,60.92,4.43
2021-01-29,"-15,78944444","-47,92583332",0.0,885.62,1885.52,22.29,62.04,3.55
2021-01-30,"-15,78944444","-47,92583332",0.0,886.43,2098.43,23.56,60.75,4.55
2021-01-31,"-15,78944444","-47,92583332",0.0,886.45,2307.85,24.37,57.75,4.43
2021-02-01,"-15,78944444","-47,92583332",26.4,885.58,1921.63,22.37,73.58,5.7
2021-02-02,"-15,78944444","-47,92583332",0.2,885.87,1565.03,23.0,70.46,6.17
2021-02-03,"-15,78944444","-47,92583332",0.8,886.77,1634.75,23.0,71.33,5.47
2021-02-04,"-15,78944444","-47,92583332",40.8,886.37,1489.44,22.2,75.04,4.98
2021-02-05,"-15,78944444","-47,92583332",52.8,884.02,1648.7,22.59,80.67,5.56
2021-02-06,"-15,78944444","-47,92583332",33.6,884.25,412.41,20.11,90.71,6.8
2021-02-07,"-15,78944444","-47,92583332",5.8,884.26,980.48,19.75,90.71,6.88
2021-02-08,"-15,78944444","-47,92583332",50.8,883.82,1248.6,19.88,87.62,5.98
2021-02-09,"-15,78944444","-47,92583332",0.2,884.67,1081.71,19.8,83.04,4.02
2021-02-10,"-15,78944444","-47,92583332",0.0,885.28,1821.23,21.47,75.88,3.48
2021-02-11,"-15,78944444","-47,92583332",1.2,885.57,1457.32,21.92,78.79,5.0
2021-02-12,"-15,78944444","-47,92583332",32.0,886.26,526.79,19.8,90.21,4.69
2021-02-13,"-15,78944444","-47,92583332",27.4,886.48,828.51,19.22,90.79,3.73
2021-02-14,"-15,78944444","-47,92583332",11.0,885.33,1238.23,20.28,88.79,3.04
2021-02-15,"-15,78944444","-47,92583332",20.6,885.07,1515.8,21.15,83.17,4.93
