Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-16,642841","-49,220222",32.2,932.45,1346.91,23.65,79.0,4.14
2021-01-02,"-16,642841","-49,220222",0.0,930.43,1584.89,24.7,70.17,2.84
2021-01-03,"-16,642841","-49,220222",0.6,928.51,1244.48,24.16,70.21,4.21
2021-01-04,"-16,642841","-49,220222",0.0,930.63,867.66,22.77,71.92,4.35
2021-01-05,"-16,642841","-49,220222",0.0,931.41,1665.64,24.87,67.54,2.28
2021-01-06,"-16,642841","-49,220222",0.2,930.9,1579.58,26.58,65.12,2.91
2021-01-07,"-16,642841","-49,220222",33.8,931.57,816.41,23.36,78.92,3.86
2021-01-08,"-16,642841","-49,220222",0.0,931.05,1782.04,25.05,65.92,3.48
2021-01-09,"-16,642841","-49,220222",38.6,930.0,1657.55,25.14,71.58,4.46
2021-01-10,"-16,642841","-49,220222",1.4,930.63,1261.03,23.72,79.21,2.76
2021-01-11,"-16,642841","-49,220222",28.2,930.44,1647.21,24.55,77.46,4.09
2021-01-12,"-16,642841","-49,220222",0.0,930.68,1131.85,24.96,75.92,2.69
2021-01-13,"-16,642841","-49,220222",0.8,929.88,1504.74,25.64,70.46,2.98
2021-01-14,"-16,642841","-49,220222",42.8,930.07,790.59,23.14,80.75,3.09
2021-01-15,"-16,642841","-49,220222",10.6,930.12,806.94,22.84,83.54,2.65
2021-01-16,"-16,642841","-49,220222",1.6,930.03,696.76,23.08,81.88,2.54
2021-01-17,"-16,642841","-49,220222",0.0,930.02,1408.37,24.14,71.17,2.75
2021-01-18,"-16,642841","-49,220222",6.2,929.89,1216.13,24.72,74.62,3.03
2021-01-19,"-16,642841","-49,220222",5.4,930.89,1389.11,24.46,76.25,2.87
2021-01-20,"-16,642841","-49,220222",0.0,930.99,1956.34,25.8,62.92,3.96
2021-01-21,"-16,642841","-49,220222",0.0,930.88,1339.31,25.58,60.96,3.06
2021-01-22,"-16,642841","-49,220222",0.0,932.61,1697.64,25.44,59.38,3.32
2021-01-23,"-16,642841","-49,220222",0.0,932.6,1635.39,25.76,58.54,3.2
2021-01-24,"-16,642841","-49,220222",0.0,931.06,1862.63,26.39,55.21,3.51
2021-01-25,"-16,642841","-49,220222",2.0,930.16,1422.29,25.6,59.96,3.66
2021-01-26,"-16,642841","-49,220222",5.4,930.64,1354.69,23.92,69.79,3.82
2021-01-27,"-16,642841","-49,220222",0.2,931.07,1124.66,23.97,69.58,3.18
2021-01-28,"-16,642841","-49,220222",0.0,930.42,1305.81,24.63,71.12,2.7
2021-01-29,"-16,642841","-49,220222",0.0,930.19,1567.84,25.09,63.33,2.73
2021-01-30,"-16,642841","-49,220222",0.0,930.96,1690.62,26.5,59.33,2.9
2021-01-31,"-16,642841","-49,220222",0.4,931.09,1405.3,26.03,65.79,3.09
2021-02-01,"-16,642841","-49,220222",7.4,930.52,1523.25,24.12,71.38,4.72
2021-02-02,"-16,642841","-49,220222",0.0,930.71,1424.6,24.56,69.12,4.61
2021-02-03,"-16,642841","-49,220222",1.4,931.69,1465.24,24.92,70.79,3.8
2021-02-04,"-16,642841","-49,220222",1.4,931.05,1623.69,25.38,68.04,4.16
2021-02-05,"-16,642841","-49,220222",32.8,928.46,1228.94,25.01,77.83,3.92
2021-02-06,"-16,642841","-49,220222",29.6,928.69,443.75,22.92,86.38,4.05
2021-02-07,"-16,642841","-49,220222",23.8,929.08,883.14,22.23,89.0,3.75
2021-02-08,"-16,642841","-49,220222",0.0,928.55,1718.85,24.13,72.0,2.38
2021-02-09,"-16,642841","-49,220222",0.4,929.52,1282.59,23.24,75.25,3.27
2021-02-10,"-16,642841","-49,220222",15.4,930.14,1091.61,23.12,78.46,3.33
2021-02-11,"-16,642841","-49,220222",13.0,930.1,1495.66,24.46,71.04,3.35
2021-02-12,"-16,642841","-49,220222",149.8,931.57,300.72,20.73,91.08,4.02
2021-02-13,"-16,642841","-49,220222",0.4,931.33,1030.45,22.61,79.88,2.1
2021-02-14,"-16,642841","-49,220222",2.2,930.09,1387.94,24.02,77.21,3.11
2021-02-15,"-16,642841","-49,220222",0.0,929.75,1202.33,24.54,74.21,3.55
2021-02-16,"-16,642841","-49,220222",8.0,928.77,1244.64,24.13,79.25,3.53
2021-02-17,"-16,642841","-49,220222",5.8,927.63,1539.31,23.73,78.62,3.53
2021-02-18,"-16,642841","-49,220222",1.2,927.67,1140.26,24.11,80.04,3.28
2021-02-19,"-16,642841","-49,220222",0.4,928.83,1188.04,24.91,76.33,3.01
2021-02-20,"-16,642841","-49,220222",117.8,930.48,1226.13,23.88,82.58,3.66
2021-02-21,"-16,642841","-49,220222",9.0,930.9,1231.28,22.9,84.96,3.5
2021-02-22,"-16,642841","-49,220222",0.2,931.3,1631.45,24.11,74.04,3.54
2021-02-23,"-16,642841","-49,220222",7.6,931.14,1969.42,25.75,67.71,3.36
2021-02-24,"-16,642841","-49,220222",0.0,931.47,1785.34,25.13,68.54,4.06
2021-02-25,"-16,642841","-49,220222",10.6,930.22,1462.39,24.21,73.71,3.95
2021-02-26,"-16,642841","-49,220222",36.6,929.08,259.66,21.0,91.08,2.9
2021-02-27,"-16,642841","-49,220222",3.6,930.12,1107.68,22.05,82.04,2.25
2021-02-28,"-16,642841","-49,220222",4.6,929.78,1430.38,22.45,75.62,3.89
2021-03-01,"-16,642841","-49,220222",0.0,928.66,1137.09,23.9,71.29,3.34
2021-03-02,"-16,642841","-49,220222",36.6,930.24,867.05,23.05,77.67,2.89
2021-03-03,"-16,642841","-49,220222",0.8,932.3,1674.28,25.2,69.54,3.05
2021-03-04,"-16,642841","-49,220222",0.4,932.8,1266.79,24.17,74.12,3.18
2021-03-05,"-16,642841","-49,220222",3.8,931.05,1232.69,23.45,79.12,2.74
2021-03-06,"-16,642841","-49,220222",0.2,930.68,1697.02,24.41,72.67,3.34
2021-03-07,"-16,642841","-49,220222",10.6,931.84,1058.08,22.84,80.38,2.77
2021-03-08,"-16,642841","-49,220222",2.2,931.69,860.22,22.25,82.67,2.51
2021-03-09,"-16,642841","-49,220222",0.4,930.27,1473.33,23.25,77.88,3.56
2021-03-10,"-16,642841","-49,220222",11.6,929.76,829.68,22.05,84.42,3.02
2021-03-11,"-16,642841","-49,220222",0.0,930.89,1418.48,22.86,79.25,3.05
2021-03-12,"-16,642841","-49,220222",27.0,932.02,1377.0,23.19,79.58,2.98
2021-03-13,"-16,642841","-49,220222",14.2,931.6,1240.26,22.8,82.5,2.75
