Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-20,447195","-54,722615",0.0,953.43,1726.85,25.44,74.0,4.25
2021-01-02,"-20,447195","-54,722615",0.0,951.72,1746.32,26.34,68.58,3.28
2021-01-03,"-20,447195","-54,722615",1.4,948.57,1702.66,26.8,61.79,5.03
2021-01-04,"-20,447195","-54,722615",11.6,949.07,1388.23,24.65,77.0,4.67
2021-01-05,"-20,447195","-54,722615",43.6,950.82,1236.28,22.83,82.67,6.2
2021-01-06,"-20,447195","-54,722615",17.4,952.23,1470.04,24.15,81.57,4.55
2021-01-07,"-20,447195","-54,722615",12.6,953.08,967.03,23.26,84.7,3.98
2021-01-08,"-20,447195","-54,722615",10.8,952.72,1306.66,24.23,84.08,3.95
2021-01-09,"-20,447195","-54,722615",0.0,950.85,2082.94,26.4,68.05,3.27
2021-01-10,"-20,447195","-54,722615",0.0,951.39,1809.97,26.22,71.42,4.91
2021-01-11,"-20,447195","-54,722615",0.0,950.83,1718.11,26.26,74.17,2.79
2021-01-12,"-20,447195","-54,722615",0.0,950.95,1159.66,26.35,74.21,2.87
2021-01-13,"-20,447195","-54,722615",102.8,951.26,585.18,22.85,92.25,3.39
2021-01-14,"-20,447195","-54,722615",0.0,949.88,1266.51,24.25,86.67,4.69
2021-01-15,"-20,447195","-54,722615",19.2,949.31,1177.03,23.43,90.43,4.52
2021-01-16,"-20,447195","-54,722615",8.4,948.21,1093.89,23.25,92.78,5.86
2021-01-17,"-20,447195","-54,722615",5.6,948.33,793.27,23.34,90.61,7.15
2021-01-18,"-20,447195","-54,722615",6.6,949.64,464.32,22.75,91.52,4.13
2021-01-19,"-20,447195","-54,722615",13.8,950.99,735.84,23.31,91.0,2.15
2021-01-20,"-20,447195","-54,722615",23.2,952.27,805.53,22.98,83.83,1.26
2021-01-21,"-20,447195","-54,722615",0.2,952.39,1313.16,24.35,81.86,2.85
2021-01-22,"-20,447195","-54,722615",8.4,954.78,890.46,22.98,83.4,2.22
2021-01-23,"-20,447195","-54,722615",1.0,954.12,1723.29,24.9,76.09,2.29
2021-01-24,"-20,447195","-54,722615",9.6,952.5,1483.79,24.68,75.67,6.45
2021-01-25,"-20,447195","-54,722615",0.0,951.43,1202.19,24.57,78.04,3.32
2021-01-26,"-20,447195","-54,722615",4.2,950.26,1475.49,25.22,78.04,3.37
2021-01-27,"-20,447195","-54,722615",57.8,950.61,1009.45,24.2,76.47,3.99
2021-01-28,"-20,447195","-54,722615",15.6,950.26,1241.21,23.2,88.36,5.35
2021-01-29,"-20,447195","-54,722615",3.4,950.3,1165.92,23.44,87.17,3.74
2021-01-30,"-20,447195","-54,722615",6.4,951.44,1033.17,24.05,85.12,4.07
2021-01-31,"-20,447195","-54,722615",3.6,951.78,1140.76,24.33,84.21,4.55
2021-02-01,"-20,447195","-54,722615",0.0,951.07,1185.22,25.17,78.88,3.73
2021-02-02,"-20,447195","-54,722615",0.0,950.98,1280.96,26.39,71.67,3.98
2021-02-03,"-20,447195","-54,722615",0.2,952.28,1515.55,27.04,71.38,3.07
2021-02-04,"-20,447195","-54,722615",4.2,952.75,673.79,23.97,88.95,2.98
2021-02-05,"-20,447195","-54,722615",1.4,951.17,1610.62,23.12,73.37,5.72
2021-02-06,"-20,447195","-54,722615",0.0,950.82,1877.1,22.52,65.92,3.54
2021-02-07,"-20,447195","-54,722615",0.0,950.85,1896.31,23.68,58.67,2.41
2021-02-08,"-20,447195","-54,722615",0.0,950.89,1926.69,24.82,55.58,4.27
2021-02-09,"-20,447195","-54,722615",0.0,951.02,1620.79,25.17,50.08,5.07
2021-02-10,"-20,447195","-54,722615",0.0,951.33,1623.11,25.82,54.0,6.5
2021-02-11,"-20,447195","-54,722615",18.2,951.48,1334.42,23.6,75.38,4.5
2021-02-12,"-20,447195","-54,722615",2.6,951.95,1396.82,22.99,79.36,2.63
2021-02-13,"-20,447195","-54,722615",0.0,951.3,1734.75,24.78,75.18,2.18
2021-02-14,"-20,447195","-54,722615",11.4,949.77,975.32,24.37,77.62,3.62
2021-02-15,"-20,447195","-54,722615",9.8,950.01,1281.95,22.95,86.45,5.61
2021-02-16,"-20,447195","-54,722615",41.8,949.61,365.23,21.54,87.38,2.67
2021-02-17,"-20,447195","-54,722615",0.4,948.67,1466.54,22.66,79.27,1.75
2021-02-18,"-20,447195","-54,722615",0.0,949.38,1893.09,25.2,59.04,4.86
2021-02-19,"-20,447195","-54,722615",0.0,950.33,1903.39,24.54,48.58,2.86
2021-02-20,"-20,447195","-54,722615",0.0,951.62,1898.99,24.94,49.33,1.9
2021-02-21,"-20,447195","-54,722615",0.0,951.2,1870.25,25.9,49.83,3.12
2021-02-22,"-20,447195","-54,722615",0.0,951.39,1789.64,26.5,60.79,3.09
2021-02-23,"-20,447195","-54,722615",11.8,951.84,1102.99,26.32,73.96,1.79
2021-02-24,"-20,447195","-54,722615",0.2,951.44,1415.56,26.77,70.46,1.98
2021-02-25,"-20,447195","-54,722615",4.6,950.46,1653.16,26.12,77.0,5.47
2021-02-26,"-20,447195","-54,722615",5.8,949.4,1351.34,24.08,80.86,3.46
2021-02-27,"-20,447195","-54,722615",0.2,950.59,1606.29,25.26,71.33,3.38
2021-02-28,"-20,447195","-54,722615",0.0,949.2,1533.53,26.12,64.25,5.68
2021-03-01,"-20,447195","-54,722615",0.4,948.3,1467.56,24.55,75.08,6.11
2021-03-02,"-20,447195","-54,722615",0.0,949.8,1475.59,25.25,73.04,5.72
2021-03-03,"-20,447195","-54,722615",15.8,952.38,1151.08,24.01,82.52,4.4
2021-03-04,"-20,447195","-54,722615",2.0,952.42,1155.09,23.78,81.62,7.96
2021-03-05,"-20,447195","-54,722615",2.2,950.77,713.71,22.09,90.38,5.22
2021-03-06,"-20,447195","-54,722615",5.0,950.38,1464.02,23.31,72.54,3.99
2021-03-07,"-20,447195","-54,722615",0.0,951.25,1283.3,23.59,79.83,2.59
2021-03-08,"-20,447195","-54,722615",0.2,951.55,1678.61,24.93,73.5,1.9
2021-03-09,"-20,447195","-54,722615",0.0,951.03,1787.44,24.48,65.54,1.06
2021-03-10,"-20,447195","-54,722615",0.0,949.63,1900.35,25.06,55.5,2.6
2021-03-11,"-20,447195","-54,722615",0.0,950.35,1714.09,24.77,61.62,3.28
2021-03-12,"-20,447195","-54,722615",0.0,952.38,1848.81,25.88,68.79,2.16
2021-03-13,"-20,447195","-54,722615",12.4,952.72,1430.38,24.67,71.08,3.07
2021-03-14,"-20,447195","-54,722615",0.6,953.27,1368.71,24.99,73.08,2.71
2021-03-15,"-20,447195","-54,722615",8.0,952.41,1487.62,24.59,74.96,2.82
2021-03-16,"-20,447195","-54,722615",0.0,950.97,1237.53,24.8,77.33,3.21
2021-03-17,"-20,447195","-54,722615",4.2,950.52,955.58,24.4,83.88,2.56
2021-03-18,"-20,447195","-54,722615",0.4,950.81,1439.74,24.35,73.6,3.04
2021-03-19,"-20,447195","-54,722615",11.0,950.58,1561.28,24.86,76.08,5.69
2021-03-20,"-20,447195","-54,722615",0.4,952.82,1737.04,25.49,72.67,5.76
2021-03-21,"-20,447195","-54,722615",1.4,954.84,1551.01,25.92,71.46,3.14
2021-03-22,"-20,447195","-54,722615",0.0,954.1,1819.81,27.01,66.04,1.65
2021-03-23,"-20,447195","-54,722615",0.8,954.35,1573.57,24.65,74.0,2.65
2021-03-24,"-20,447195","-54,722615",0.2,954.03,1803.72,25.63,66.62,1.67
2021-03-25,"-20,447195","-54,722615",0.0,953.59,1909.52,26.62,63.29,3.05
2021-03-26,"-20,447195","-54,722615",0.0,953.05,1906.32,26.19,58.38,2.65
2021-03-27,"-20,447195","-54,722615",0.0,952.79,1704.69,25.83,61.42,2.01
2021-03-28,"-20,447195","-54,722615",0.0,953.0,1854.64,25.78,61.75,1.95
2021-03-29,"-20,447195","-54,722615",0.0,953.49,1695.33,25.3,69.5,3.05
2021-03-30,"-20,447195","-54,722615",0.0,952.9,1829.44,24.87,69.88,3.02
2021-03-31,"-20,447195","-54,722615",0.0,951.4,1388.23,23.73,67.04,3.16
2021-04-01,"-20,447195","-54,722615",0.0,950.53,1647.56,24.26,57.38,0.63
2021-04-02,"-20,447195","-54,722615",0.0,952.43,1596.53,25.75,52.92,2.97
2021-04-03,"-20,447195","-54,722615",0.0,953.66,1582.23,26.78,53.67,3.58
2021-04-04,"-20,447195","-54,722615",0.0,953.76,1667.43,27.26,43.12,6.86
2021-04-05,"-20,447195","-54,722615",0.0,952.95,1167.9,25.68,51.12,4.2
2021-04-06,"-20,447195","-54,722615",0.0,952.42,1351.43,27.3,46.96,2.78
2021-04-07,"-20,447195","-54,722615",0.0,953.22,902.54,25.1,65.42,1.91
2021-04-08,"-20,447195","-54,722615",0.0,953.54,1759.19,26.82,60.0,8.09
2021-04-09,"-20,447195","-54,722615",0.0,954.57,1722.97,26.81,57.25,7.45
2021-04-10,"-20,447195","-54,722615",0.0,953.48,1622.13,26.85,52.21,5.74
2021-04-11,"-20,447195","-54,722615",0.0,952.88,1503.83,26.61,55.46,3.92
2021-04-12,"-20,447195","-54,722615",5.8,954.25,1113.23,25.02,76.38,2.09
2021-04-13,"-20,447195","-54,722615",4.8,955.62,1515.09,23.78,78.0,3.54
2021-04-14,"-20,447195","-54,722615",0.6,954.18,1000.9,24.76,74.88,2.61
2021-04-15,"-20,447195","-54,722615",31.0,953.05,1389.59,26.12,58.42,7.45
2021-04-16,"-20,447195","-54,722615",10.2,952.32,1309.39,23.74,70.25,6.6
2021-04-17,"-20,447195","-54,722615",0.6,952.39,1476.11,22.06,77.5,4.18
2021-04-18,"-20,447195","-54,722615",0.2,952.53,1680.88,22.84,73.38,1.4
2021-04-19,"-20,447195","-54,722615",0.0,953.33,1557.42,23.73,64.96,1.14
2021-04-20,"-20,447195","-54,722615",0.0,953.95,1655.49,23.99,57.54,3.59
2021-04-21,"-20,447195","-54,722615",0.0,953.66,1596.72,23.68,54.62,6.47
2021-04-22,"-20,447195","-54,722615",0.0,953.39,1707.46,23.42,50.08,4.71
2021-04-23,"-20,447195","-54,722615",0.0,953.08,1380.88,23.75,50.12,5.03
2021-04-24,"-20,447195","-54,722615",0.0,952.53,1534.76,24.61,50.33,3.71
2021-04-25,"-20,447195","-54,722615",0.4,953.68,934.96,21.22,77.0,4.48
2021-04-26,"-20,447195","-54,722615",0.0,954.18,1305.03,21.12,74.67,4.05
2021-04-27,"-20,447195","-54,722615",0.0,954.88,1649.11,19.91,66.04,3.01
2021-04-28,"-20,447195","-54,722615",0.0,955.34,1627.22,20.22,53.42,3.07
2021-04-29,"-20,447195","-54,722615",0.0,956.68,1573.44,21.15,45.42,4.1
2021-04-30,"-20,447195","-54,722615",0.0,956.72,1548.78,21.81,45.79,5.68
2021-05-01,"-20,447195","-54,722615",0.0,955.38,1476.67,22.88,55.75,2.27
2021-05-02,"-20,447195","-54,722615",2.6,955.12,1343.37,24.46,65.0,3.56
2021-05-03,"-20,447195","-54,722615",0.0,954.67,1453.16,25.19,55.0,5.0
2021-05-04,"-20,447195","-54,722615",0.0,954.78,1512.06,25.8,44.75,4.66
2021-05-05,"-20,447195","-54,722615",0.0,955.23,1538.72,24.69,48.0,2.77
2021-05-06,"-20,447195","-54,722615",0.8,957.18,431.16,17.4,87.69,3.97
2021-05-07,"-20,447195","-54,722615",0.2,958.98,597.9,15.9,84.32,1.5
2021-05-08,"-20,447195","-54,722615",0.0,958.95,1486.08,19.9,63.25,3.26
2021-05-09,"-20,447195","-54,722615",0.0,957.68,1520.13,23.37,49.42,5.32
2021-05-10,"-20,447195","-54,722615",0.0,957.33,1505.84,23.2,46.75,2.22
2021-05-11,"-20,447195","-54,722615",0.0,955.05,1475.47,23.64,47.29,1.82
2021-05-12,"-20,447195","-54,722615",0.0,955.82,846.53,20.69,73.67,1.72
2021-05-13,"-20,447195","-54,722615",0.0,956.92,726.42,19.71,78.79,3.21
