Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-5,83722221","-35,20805555",0.0,1007.09,2147.08,28.61,69.92,9.72
2021-01-02,"-5,83722221","-35,20805555",0.0,1005.84,2172.96,28.51,71.38,8.32
2021-01-03,"-5,83722221","-35,20805555",1.8,1004.98,1711.92,27.99,77.85,8.89
2021-01-04,"-5,83722221","-35,20805555",0.0,1005.62,2056.42,28.78,72.69,8.93
2021-01-05,"-5,83722221","-35,20805555",0.0,1006.5,2169.63,28.69,69.23,10.18
2021-01-06,"-5,83722221","-35,20805555",0.0,1005.98,2109.62,28.76,69.38,9.3
2021-01-07,"-5,83722221","-35,20805555",0.0,1006.69,1999.21,28.69,71.38,9.67
2021-01-08,"-5,83722221","-35,20805555",0.0,1006.52,1936.78,28.54,71.36,8.61
2021-01-09,"-5,83722221","-35,20805555",0.0,1005.75,1963.02,28.74,69.07,7.79
2021-01-10,"-5,83722221","-35,20805555",0.0,1006.4,1841.72,28.78,70.23,7.23
2021-01-11,"-5,83722221","-35,20805555",0.0,1006.38,1712.2,28.73,68.83,7.71
2021-01-12,"-5,83722221","-35,20805555",3.6,1006.25,1150.22,27.27,79.0,6.55
2021-01-13,"-5,83722221","-35,20805555",2.0,1006.38,1988.01,28.31,71.15,7.42
2021-01-14,"-5,83722221","-35,20805555",1.6,1006.32,2081.85,28.62,70.42,8.36
2021-01-15,"-5,83722221","-35,20805555",0.0,1005.18,1665.76,27.92,74.67,8.71
2021-01-16,"-5,83722221","-35,20805555",0.2,1004.2,2224.27,28.41,65.69,10.26
2021-01-17,"-5,83722221","-35,20805555",0.0,1004.18,1657.14,28.41,67.15,10.12
2021-01-18,"-5,83722221","-35,20805555",0.0,1005.16,1910.8,28.27,68.69,8.25
2021-01-19,"-5,83722221","-35,20805555",0.0,1006.0,1090.24,28.1,73.38,7.74
2021-01-20,"-5,83722221","-35,20805555",0.8,1005.62,1835.79,28.41,75.0,8.86
2021-01-21,"-5,83722221","-35,20805555",2.2,1006.64,1945.56,28.25,72.91,9.3
2021-01-22,"-5,83722221","-35,20805555",0.0,1007.4,1984.75,28.75,69.18,9.99
2021-01-23,"-5,83722221","-35,20805555",0.4,1006.42,1773.28,28.41,72.17,10.76
2021-01-24,"-5,83722221","-35,20805555",2.0,1005.46,1680.28,27.12,80.58,8.68
2021-01-25,"-5,83722221","-35,20805555",0.6,1004.77,1744.88,28.46,75.17,9.17
2021-01-26,"-5,83722221","-35,20805555",0.0,1005.34,2169.42,28.49,70.42,8.47
2021-01-27,"-5,83722221","-35,20805555",0.0,1005.02,2175.61,29.04,70.75,9.31
2021-01-28,"-5,83722221","-35,20805555",0.0,1005.49,1961.98,28.84,69.08,9.48
2021-01-29,"-5,83722221","-35,20805555",0.0,1006.34,1986.74,28.98,69.42,9.36
2021-01-30,"-5,83722221","-35,20805555",1.0,1006.93,1668.44,28.21,74.5,10.12
2021-01-31,"-5,83722221","-35,20805555",0.0,1006.34,1859.31,28.95,70.27,10.42
2021-02-01,"-5,83722221","-35,20805555",0.0,1006.22,1889.68,28.92,69.0,10.12
2021-02-02,"-5,83722221","-35,20805555",0.2,1006.81,1716.27,28.73,70.33,9.28
2021-02-03,"-5,83722221","-35,20805555",0.0,1007.18,2197.68,28.96,67.17,10.07
2021-02-04,"-5,83722221","-35,20805555",0.0,1007.07,1731.04,28.45,69.67,8.17
2021-02-05,"-5,83722221","-35,20805555",0.0,1006.35,2441.75,29.16,68.91,8.18
2021-02-06,"-5,83722221","-35,20805555",0.0,1006.04,2128.98,29.32,69.0,6.75
2021-02-07,"-5,83722221","-35,20805555",0.0,1005.44,2306.16,29.55,71.0,8.5
2021-02-08,"-5,83722221","-35,20805555",0.0,1004.85,2308.38,29.43,70.55,8.12
2021-02-09,"-5,83722221","-35,20805555",0.0,1005.48,2264.8,29.49,71.0,8.41
2021-02-10,"-5,83722221","-35,20805555",0.0,1005.15,2076.39,29.53,71.18,8.89
2021-02-11,"-5,83722221","-35,20805555",0.2,1005.49,2222.36,29.55,72.55,10.72
2021-02-12,"-5,83722221","-35,20805555",0.2,1005.45,2163.63,29.46,72.55,9.27
2021-02-13,"-5,83722221","-35,20805555",0.0,1004.7,1912.9,28.77,74.69,8.81
2021-02-14,"-5,83722221","-35,20805555",0.0,1004.36,2180.7,29.29,71.83,8.05
2021-02-15,"-5,83722221","-35,20805555",0.0,1003.89,2023.52,29.11,72.64,8.66
2021-02-16,"-5,83722221","-35,20805555",0.0,1004.87,1498.86,28.82,75.8,7.11
2021-02-17,"-5,83722221","-35,20805555",0.0,1005.25,2047.11,29.15,67.3,7.56
2021-02-18,"-5,83722221","-35,20805555",0.0,1006.16,2102.28,29.08,66.42,7.11
2021-02-19,"-5,83722221","-35,20805555",0.0,1006.79,2014.76,29.26,69.67,7.22
2021-02-20,"-5,83722221","-35,20805555",0.0,1007.49,2108.53,29.41,69.85,8.61
2021-02-21,"-5,83722221","-35,20805555",0.0,1006.34,2137.31,29.47,70.15,10.02
2021-02-22,"-5,83722221","-35,20805555",0.0,1005.46,2284.98,29.41,66.38,9.66
2021-02-23,"-5,83722221","-35,20805555",0.0,1006.72,2113.82,29.51,71.54,8.32
2021-02-24,"-5,83722221","-35,20805555",0.0,1006.58,2136.83,29.44,72.0,8.34
2021-02-25,"-5,83722221","-35,20805555",0.0,1004.86,1700.93,29.43,71.77,7.76
2021-02-26,"-5,83722221","-35,20805555",0.0,1004.21,665.78,26.04,85.3,6.6
2021-02-27,"-5,83722221","-35,20805555",0.0,1004.5,1935.97,28.48,75.77,6.95
2021-02-28,"-5,83722221","-35,20805555",0.0,1002.81,1923.6,28.31,75.75,8.42
2021-03-01,"-5,83722221","-35,20805555",0.2,1002.14,1551.68,27.73,79.67,7.58
2021-03-02,"-5,83722221","-35,20805555",0.0,1004.8,1816.64,28.58,73.5,9.15
2021-03-03,"-5,83722221","-35,20805555",0.2,1006.77,1904.09,28.98,73.25,10.16
2021-03-04,"-5,83722221","-35,20805555",0.0,1006.12,1690.98,27.98,79.46,10.66
2021-03-05,"-5,83722221","-35,20805555",0.2,1005.58,1816.58,28.32,79.08,9.79
2021-03-06,"-5,83722221","-35,20805555",0.2,1005.88,1885.12,28.98,69.75,9.79
2021-03-07,"-5,83722221","-35,20805555",0.2,1006.5,1744.17,28.74,75.64,7.78
2021-03-08,"-5,83722221","-35,20805555",0.0,1005.72,2129.3,29.24,71.58,8.25
2021-03-09,"-5,83722221","-35,20805555",0.2,1004.52,2047.7,29.17,72.25,8.31
2021-03-10,"-5,83722221","-35,20805555",0.4,1004.89,2093.17,29.27,70.75,9.28
2021-03-11,"-5,83722221","-35,20805555",0.0,1005.52,2148.1,29.58,68.08,10.03
2021-03-12,"-5,83722221","-35,20805555",0.0,1005.79,2146.28,29.21,68.67,9.51
2021-03-13,"-5,83722221","-35,20805555",0.0,1006.43,2047.47,29.22,66.92,8.48
2021-03-14,"-5,83722221","-35,20805555",0.0,1006.77,2183.58,29.16,66.0,8.67
2021-03-15,"-5,83722221","-35,20805555",1.0,1005.99,2149.65,28.74,72.58,8.21
2021-03-16,"-5,83722221","-35,20805555",0.0,1005.26,1784.76,27.61,77.25,7.87
2021-03-17,"-5,83722221","-35,20805555",0.0,1004.74,2015.95,28.38,71.92,7.68
2021-03-18,"-5,83722221","-35,20805555",0.0,1004.78,1496.38,27.41,82.42,6.68
2021-03-19,"-5,83722221","-35,20805555",0.0,1005.38,1965.56,28.88,72.92,8.62
2021-03-20,"-5,83722221","-35,20805555",0.2,1006.39,2143.35,29.27,67.67,9.2
2021-03-21,"-5,83722221","-35,20805555",0.0,1006.38,2230.91,28.7,70.67,7.68
2021-03-22,"-5,83722221","-35,20805555",0.6,1005.9,1450.59,27.18,81.42,6.52
2021-03-23,"-5,83722221","-35,20805555",0.2,1006.26,2013.86,28.27,73.83,7.2
2021-03-24,"-5,83722221","-35,20805555",0.4,1006.05,2139.52,28.4,76.58,7.51
