Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-19,97999999","-43,95861111",57.4,881.58,1366.91,22.52,75.96,8.98
2021-01-02,"-19,97999999","-43,95861111",9.4,880.68,1122.02,20.75,79.12,6.86
2021-01-03,"-19,97999999","-43,95861111",27.4,879.09,1097.34,20.15,83.58,7.99
2021-01-04,"-19,97999999","-43,95861111",21.2,880.65,1264.85,19.68,83.58,8.61
2021-01-05,"-19,97999999","-43,95861111",6.6,881.97,1491.15,22.29,78.0,5.42
2021-01-06,"-19,97999999","-43,95861111",21.6,881.38,1209.72,22.19,83.92,8.73
2021-01-07,"-19,97999999","-43,95861111",21.0,880.95,1392.94,,78.58,7.53
2021-01-08,"-19,97999999","-43,95861111",9.6,880.53,1616.89,,78.46,9.0
2021-01-09,"-19,97999999","-43,95861111",20.4,879.67,1326.94,,83.5,5.95
2021-01-10,"-19,97999999","-43,95861111",1.2,880.15,1335.71,,86.0,7.97
2021-01-11,"-19,97999999","-43,95861111",0.0,880.51,1399.57,,82.29,8.17
2021-01-12,"-19,97999999","-43,95861111",0.0,880.7,800.89,24.66,80.87,8.33
2021-01-13,"-19,97999999","-43,95861111",0.0,880.81,835.62,21.99,75.62,8.86
2021-01-14,"-19,97999999","-43,95861111",0.0,880.95,1134.69,21.79,67.96,9.96
2021-01-15,"-19,97999999","-43,95861111",15.8,881.14,791.05,20.85,74.54,9.19
2021-01-16,"-19,97999999","-43,95861111",0.2,880.93,496.04,19.85,80.96,8.42
2021-01-17,"-19,97999999","-43,95861111",0.0,880.85,969.39,20.71,73.04,9.92
2021-01-18,"-19,97999999","-43,95861111",0.0,881.11,1126.5,21.66,59.92,7.93
2021-01-19,"-19,97999999","-43,95861111",0.0,881.68,1355.27,22.49,50.92,9.22
2021-01-20,"-19,97999999","-43,95861111",0.0,882.03,1286.56,22.46,55.75,9.64
2021-01-21,"-19,97999999","-43,95861111",0.0,882.64,1278.59,21.52,55.12,10.28
2021-01-22,"-19,97999999","-43,95861111",0.0,884.41,1209.6,21.47,58.79,9.59
2021-01-23,"-19,97999999","-43,95861111",2.6,884.57,1062.82,20.38,69.88,9.03
2021-01-24,"-19,97999999","-43,95861111",0.0,882.78,1086.48,20.96,65.12,9.6
2021-01-25,"-19,97999999","-43,95861111",0.0,881.6,1158.5,21.79,63.0,9.76
2021-01-26,"-19,97999999","-43,95861111",0.0,881.83,998.21,22.02,66.08,10.12
2021-01-27,"-19,97999999","-43,95861111",0.0,882.25,1075.28,22.0,56.5,8.83
2021-01-28,"-19,97999999","-43,95861111",0.0,881.15,1281.89,22.69,50.58,8.21
2021-01-29,"-19,97999999","-43,95861111",0.0,881.33,1269.71,22.72,54.67,8.95
2021-01-30,"-19,97999999","-43,95861111",0.0,882.21,1265.23,23.33,58.46,9.68
2021-01-31,"-19,97999999","-43,95861111",0.0,881.9,1190.57,22.89,58.5,9.48
2021-02-01,"-19,97999999","-43,95861111",0.0,881.11,986.22,22.13,60.67,9.44
2021-02-02,"-19,97999999","-43,95861111",0.0,881.32,905.61,22.45,63.04,6.8
2021-02-03,"-19,97999999","-43,95861111",0.0,881.96,997.8,23.01,62.08,8.97
2021-02-04,"-19,97999999","-43,95861111",0.0,880.67,837.61,23.36,60.88,7.76
2021-02-05,"-19,97999999","-43,95861111",86.6,878.15,229.9,19.65,89.95,7.85
2021-02-06,"-19,97999999","-43,95861111",12.4,878.12,198.68,19.02,92.25,8.86
2021-02-07,"-19,97999999","-43,95861111",138.2,878.58,105.88,17.5,93.67,7.94
2021-02-08,"-19,97999999","-43,95861111",11.4,879.14,831.52,18.37,77.25,8.69
2021-02-09,"-19,97999999","-43,95861111",1.4,880.02,747.45,18.7,78.33,8.24
2021-02-10,"-19,97999999","-43,95861111",0.4,880.88,860.42,19.95,77.17,9.73
2021-02-11,"-19,97999999","-43,95861111",5.4,881.47,747.57,20.61,76.21,8.79
2021-02-12,"-19,97999999","-43,95861111",17.2,882.04,428.06,19.45,87.25,7.54
2021-02-13,"-19,97999999","-43,95861111",0.2,881.45,575.13,20.41,79.54,6.4
2021-02-14,"-19,97999999","-43,95861111",39.0,879.88,591.68,19.92,84.08,5.77
2021-02-15,"-19,97999999","-43,95861111",0.0,878.64,517.26,20.98,79.29,5.44
2021-02-16,"-19,97999999","-43,95861111",11.8,877.53,662.14,21.8,77.38,4.85
2021-02-17,"-19,97999999","-43,95861111",9.4,877.35,817.47,21.51,74.83,6.46
2021-02-18,"-19,97999999","-43,95861111",26.8,877.62,516.95,19.78,87.38,7.77
2021-02-19,"-19,97999999","-43,95861111",13.6,878.37,569.29,20.57,87.25,7.31
2021-02-20,"-19,97999999","-43,95861111",0.2,880.87,770.53,21.15,80.58,6.76
2021-02-21,"-19,97999999","-43,95861111",49.4,881.52,683.71,20.5,81.33,9.4
2021-02-22,"-19,97999999","-43,95861111",45.8,881.82,914.9,20.6,78.67,5.97
2021-02-23,"-19,97999999","-43,95861111",8.6,881.56,1027.59,20.41,74.25,9.82
2021-02-24,"-19,97999999","-43,95861111",0.0,881.8,928.05,21.78,63.04,6.43
2021-02-25,"-19,97999999","-43,95861111",0.0,880.43,1080.64,22.41,59.96,7.06
2021-02-26,"-19,97999999","-43,95861111",5.4,879.72,529.0,19.88,81.67,9.51
2021-02-27,"-19,97999999","-43,95861111",5.4,881.49,392.7,18.62,84.25,8.92
2021-02-28,"-19,97999999","-43,95861111",1.4,881.4,636.72,18.53,80.46,10.29
2021-03-01,"-19,97999999","-43,95861111",0.6,880.81,718.88,19.22,76.75,9.94
2021-03-02,"-19,97999999","-43,95861111",0.0,882.06,679.62,19.5,73.21,10.49
2021-03-03,"-19,97999999","-43,95861111",0.0,883.85,1021.22,21.14,65.71,9.28
2021-03-04,"-19,97999999","-43,95861111",0.0,882.92,913.92,21.48,62.62,7.48
2021-03-05,"-19,97999999","-43,95861111",0.0,880.11,934.46,22.65,57.08,6.87
2021-03-06,"-19,97999999","-43,95861111",5.8,879.63,663.4,21.76,69.88,8.52
2021-03-07,"-19,97999999","-43,95861111",12.4,880.7,497.99,19.12,84.5,7.48
2021-03-08,"-19,97999999","-43,95861111",38.2,880.6,567.19,19.72,81.79,6.82
2021-03-09,"-19,97999999","-43,95861111",47.4,879.51,384.45,18.99,85.92,5.4
2021-03-10,"-19,97999999","-43,95861111",8.8,878.9,539.93,19.28,85.5,4.51
2021-03-11,"-19,97999999","-43,95861111",0.0,880.52,562.28,21.16,76.96,5.33
2021-03-12,"-19,97999999","-43,95861111",11.2,881.75,822.5,21.7,70.92,5.85
2021-03-13,"-19,97999999","-43,95861111",0.0,882.09,881.6,21.59,72.62,9.12
2021-03-14,"-19,97999999","-43,95861111",0.0,883.12,1095.96,20.9,62.62,9.01
2021-03-15,"-19,97999999","-43,95861111",0.0,882.49,1001.23,20.92,64.42,8.08
2021-03-16,"-19,97999999","-43,95861111",0.0,881.48,962.02,21.23,64.04,8.05
2021-03-17,"-19,97999999","-43,95861111",0.0,880.79,939.55,20.98,66.04,8.03
2021-03-18,"-19,97999999","-43,95861111",0.0,880.58,973.93,21.25,68.0,8.53
2021-03-19,"-19,97999999","-43,95861111",0.0,881.81,821.38,21.1,70.38,9.82
2021-03-20,"-19,97999999","-43,95861111",0.0,884.42,889.56,20.8,67.38,9.24
2021-03-21,"-19,97999999","-43,95861111",0.0,885.22,782.58,19.97,69.08,9.44
2021-03-22,"-19,97999999","-43,95861111",0.0,884.01,678.82,20.93,67.42,7.39
2021-03-23,"-19,97999999","-43,95861111",0.0,883.35,959.55,22.4,64.33,6.84
2021-03-24,"-19,97999999","-43,95861111",0.0,883.14,915.77,23.15,60.75,7.56
2021-03-25,"-19,97999999","-43,95861111",0.0,883.43,1012.32,22.73,64.12,7.85
2021-03-26,"-19,97999999","-43,95861111",0.0,883.17,783.35,22.41,64.58,7.32
2021-03-27,"-19,97999999","-43,95861111",1.2,882.22,881.15,22.77,65.75,7.24
