Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2022-01-01,"-15,78944444","-47,92583332",25.8,883.64,691.73,19.32,91.33,6.59
2022-01-02,"-15,78944444","-47,92583332",3.8,884.74,1144.53,19.97,88.25,6.45
2022-01-03,"-15,78944444","-47,92583332",12.2,884.82,1474.74,21.17,82.75,5.62
2022-01-04,"-15,78944444","-47,92583332",3.2,883.65,1367.91,20.92,84.42,5.91
2022-01-05,"-15,78944444","-47,92583332",0.0,883.42,1886.39,22.14,76.21,5.88
2022-01-06,"-15,78944444","-47,92583332",3.6,883.45,1496.36,21.19,83.29,6.86
2022-01-07,"-15,78944444","-47,92583332",16.8,883.69,559.27,19.77,91.33,6.68
2022-01-08,"-15,78944444","-47,92583332",17.2,883.65,925.22,19.77,91.5,6.58
2022-01-09,"-15,78944444","-47,92583332",11.6,884.11,515.86,19.33,92.46,8.32
2022-01-10,"-15,78944444","-47,92583332",3.8,884.23,863.19,19.75,89.88,6.98
2022-01-11,"-15,78944444","-47,92583332",20.6,884.47,810.69,19.12,91.5,6.36
2022-01-12,"-15,78944444","-47,92583332",3.8,886.17,1072.41,19.53,88.17,5.43
2022-01-13,"-15,78944444","-47,92583332",0.2,888.53,1401.17,20.45,82.08,5.5
2022-01-14,"-15,78944444","-47,92583332",0.0,889.92,2051.94,22.5,73.5,4.72
2022-01-15,"-15,78944444","-47,92583332",0.0,889.69,2396.19,22.82,54.96,6.21
2022-01-16,"-15,78944444","-47,92583332",0.0,888.0,1991.39,22.87,56.83,4.84
2022-01-17,"-15,78944444","-47,92583332",0.0,887.3,1995.84,23.13,64.38,5.14
2022-01-18,"-15,78944444","-47,92583332",0.0,887.72,1934.91,23.32,63.12,4.76
2022-01-19,"-15,78944444","-47,92583332",2.0,888.88,2030.78,23.0,67.04,4.73
2022-01-20,"-15,78944444","-47,92583332",0.0,888.27,2363.38,23.64,56.58,4.66
2022-01-21,"-15,78944444","-47,92583332",5.0,886.9,1547.15,22.08,65.46,4.59
2022-01-22,"-15,78944444","-47,92583332",0.0,886.34,2048.15,22.33,72.58,4.04
2022-01-23,"-15,78944444","-47,92583332",0.0,885.85,2316.52,24.3,60.42,5.58
2022-01-24,"-15,78944444","-47,92583332",0.0,885.49,2101.15,24.58,59.96,4.77
2022-01-25,"-15,78944444","-47,92583332",0.0,885.44,1353.88,22.45,69.21,4.82
2022-01-26,"-15,78944444","-47,92583332",0.0,885.91,1279.41,20.47,77.62,4.3
2022-01-27,"-15,78944444","-47,92583332",1.2,885.42,1506.84,20.52,79.17,4.75
2022-01-28,"-15,78944444","-47,92583332",2.0,884.24,1758.85,20.69,76.42,5.95
2022-01-29,"-15,78944444","-47,92583332",0.0,884.22,1878.12,21.54,73.71,7.08
2022-01-30,"-15,78944444","-47,92583332",0.0,885.38,1744.69,21.68,75.04,7.03
2022-01-31,"-15,78944444","-47,92583332",0.8,886.02,1350.84,20.78,79.17,5.79
2022-02-01,"-15,78944444","-47,92583332",0.0,886.22,1847.65,21.65,72.96,6.2
2022-02-02,"-15,78944444","-47,92583332",0.0,887.0,1298.67,21.98,77.96,3.73
2022-02-03,"-15,78944444","-47,92583332",49.0,887.25,1364.25,21.23,78.62,4.53
2022-02-04,"-15,78944444","-47,92583332",13.4,886.87,1175.94,21.39,82.38,4.4
2022-02-05,"-15,78944444","-47,92583332",0.2,885.62,1332.84,22.24,80.04,2.94
