Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2022-01-01,"-9,55111111","-35,77027777",0.0,1003.19,1584.82,26.89,,5.7
2022-01-02,"-9,55111111","-35,77027777",0.0,1003.68,1861.12,26.68,,5.25
2022-01-03,"-9,55111111","-35,77027777",0.0,1003.88,1378.25,25.64,,5.32
2022-01-04,"-9,55111111","-35,77027777",0.0,1002.57,1005.41,24.77,,5.49
2022-01-05,"-9,55111111","-35,77027777",0.0,1002.3,1582.72,26.19,,5.72
2022-01-06,"-9,55111111","-35,77027777",0.0,1002.25,1630.32,26.56,,5.7
2022-01-07,"-9,55111111","-35,77027777",0.0,1002.42,1871.96,27.02,,6.58
2022-01-08,"-9,55111111","-35,77027777",0.0,1002.3,1918.68,26.77,,6.24
2022-01-09,"-9,55111111","-35,77027777",0.0,1003.37,1994.15,26.76,,5.46
2022-01-10,"-9,55111111","-35,77027777",0.0,1003.13,1937.06,27.1,,5.02
2022-01-11,"-9,55111111","-35,77027777",0.0,1003.21,1754.63,26.98,,5.21
2022-01-12,"-9,55111111","-35,77027777",0.0,1003.79,1805.18,26.38,,4.66
2022-01-13,"-9,55111111","-35,77027777",0.0,1005.28,1675.38,27.15,,5.25
2022-01-14,"-9,55111111","-35,77027777",0.0,1006.1,765.01,26.29,,6.72
2022-01-15,"-9,55111111","-35,77027777",0.0,1005.34,1826.82,26.15,,4.56
2022-01-16,"-9,55111111","-35,77027777",0.0,1004.68,1180.95,25.93,,4.55
2022-01-17,"-9,55111111","-35,77027777",0.0,1004.95,1954.58,26.82,,4.59
2022-01-18,"-9,55111111","-35,77027777",0.0,1004.84,2144.92,27.09,,4.98
2022-01-19,"-9,55111111","-35,77027777",0.0,1005.78,1905.02,27.24,,4.89
2022-01-20,"-9,55111111","-35,77027777",0.0,1004.74,1924.61,27.49,,4.65
2022-01-21,"-9,55111111","-35,77027777",1.0,1002.55,2016.63,27.46,,5.15
2022-01-22,"-9,55111111","-35,77027777",0.0,1002.37,2068.86,27.21,,4.59
2022-01-23,"-9,55111111","-35,77027777",0.4,1002.28,1199.22,26.62,,4.32
2022-01-24,"-9,55111111","-35,77027777",0.0,1002.62,1995.36,27.21,,5.52
2022-01-25,"-9,55111111","-35,77027777",0.0,1002.98,1876.9,27.41,,5.19
2022-01-26,"-9,55111111","-35,77027777",4.4,1002.73,1858.15,27.36,,5.67
2022-01-27,"-9,55111111","-35,77027777",5.2,1001.6,1536.77,26.76,,4.61
2022-01-28,"-9,55111111","-35,77027777",0.2,1001.0,1346.02,26.86,,4.55
2022-01-29,"-9,55111111","-35,77027777",1.0,1003.19,1093.44,26.04,,5.31
2022-01-30,"-9,55111111","-35,77027777",2.4,1004.18,1691.38,26.77,,4.89
2022-01-31,"-9,55111111","-35,77027777",0.4,1003.61,1891.48,27.38,,4.76
2022-02-01,"-9,55111111","-35,77027777",0.4,1003.49,2037.49,27.36,,5.1
2022-02-02,"-9,55111111","-35,77027777",0.0,1003.61,1953.19,27.27,,5.27
2022-02-03,"-9,55111111","-35,77027777",0.0,1003.42,1607.18,27.05,,4.76
2022-02-04,"-9,55111111","-35,77027777",0.0,1003.13,1997.31,27.28,,5.52
2022-02-05,"-9,55111111","-35,77027777",0.0,1002.53,1896.42,27.28,,4.93
2022-02-06,"-9,55111111","-35,77027777",0.0,1002.78,2077.69,27.32,,5.12
2022-02-07,"-9,55111111","-35,77027777",0.0,1002.9,2037.15,27.55,,5.62
2022-02-08,"-9,55111111","-35,77027777",0.0,1002.19,1949.85,27.67,,5.29
2022-02-09,"-9,55111111","-35,77027777",0.0,1000.86,1981.86,27.95,,5.58
2022-02-10,"-9,55111111","-35,77027777",0.0,1001.12,2035.79,28.01,,6.78
2022-02-11,"-9,55111111","-35,77027777",0.0,1001.39,1890.57,27.8,,6.25
2022-02-12,"-9,55111111","-35,77027777",0.2,1001.43,1836.42,28.21,,6.82
2022-02-13,"-9,55111111","-35,77027777",0.0,1001.89,1895.45,27.93,,6.8
2022-02-14,"-9,55111111","-35,77027777",0.0,1002.52,1713.84,27.44,,6.19
2022-02-15,"-9,55111111","-35,77027777",0.2,1002.93,2061.24,27.6,,5.2
2022-02-16,"-9,55111111","-35,77027777",0.2,1003.08,1911.42,27.38,,5.68
2022-02-17,"-9,55111111","-35,77027777",0.0,1002.93,1816.97,27.47,,5.54
2022-02-18,"-9,55111111","-35,77027777",1.0,1001.29,1887.95,27.1,,6.1
2022-02-19,"-9,55111111","-35,77027777",0.0,1001.31,1829.15,27.88,,7.31
2022-02-20,"-9,55111111","-35,77027777",1.6,1003.56,1347.52,26.67,,6.82
2022-02-21,"-9,55111111","-35,77027777",6.4,1004.32,1835.68,27.17,,5.48
2022-02-22,"-9,55111111","-35,77027777",0.0,1003.82,1995.95,27.42,,4.74
2022-02-23,"-9,55111111","-35,77027777",1.4,1003.11,1500.34,26.47,,5.65
2022-02-24,"-9,55111111","-35,77027777",0.0,1003.2,1963.39,27.77,,5.8
2022-02-25,"-9,55111111","-35,77027777",0.0,1004.07,2012.71,27.65,,5.3
2022-02-26,"-9,55111111","-35,77027777",11.2,1004.55,1452.14,26.71,,5.42
2022-02-27,"-9,55111111","-35,77027777",3.6,1003.22,1928.55,27.72,,5.94
2022-02-28,"-9,55111111","-35,77027777",13.4,1003.08,1474.68,26.94,,5.42
2022-03-01,"-9,55111111","-35,77027777",0.0,1003.81,1717.83,27.48,,5.5
2022-03-02,"-9,55111111","-35,77027777",5.6,1003.39,1683.82,27.21,,4.44
2022-03-03,"-9,55111111","-35,77027777",0.8,1002.69,1283.85,27.3,,4.47
2022-03-04,"-9,55111111","-35,77027777",15.2,1002.14,1064.01,25.29,,5.4
2022-03-05,"-9,55111111","-35,77027777",20.2,1002.26,1072.28,24.91,,4.28
2022-03-06,"-9,55111111","-35,77027777",17.4,1002.05,1292.25,25.48,,5.13
2022-03-07,"-9,55111111","-35,77027777",0.6,1001.62,1658.98,26.58,,4.47
2022-03-08,"-9,55111111","-35,77027777",7.8,1002.18,1543.08,26.01,,4.41
2022-03-09,"-9,55111111","-35,77027777",7.2,1002.22,1834.58,26.89,,4.67
2022-03-10,"-9,55111111","-35,77027777",0.2,1002.21,1550.83,27.18,,4.96
2022-03-11,"-9,55111111","-35,77027777",0.6,1002.16,1816.98,27.13,,4.59
2022-03-12,"-9,55111111","-35,77027777",0.0,1002.44,1879.56,27.38,,4.16
2022-03-13,"-9,55111111","-35,77027777",0.0,1002.94,1507.66,27.56,,4.57
2022-03-14,"-9,55111111","-35,77027777",4.0,1001.78,1432.77,26.92,,4.47
