Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2022-01-01,"-7,16527777","-34,81555555",0.0,1006.7,1321.68,28.27,68.26,5.17
2022-01-02,"-7,16527777","-34,81555555",0.2,1007.19,1477.02,28.35,69.62,4.91
2022-01-03,"-7,16527777","-34,81555555",5.4,1007.37,1320.43,27.61,73.62,5.2
2022-01-04,"-7,16527777","-34,81555555",0.0,1005.77,1679.81,28.45,66.96,5.1
2022-01-05,"-7,16527777","-34,81555555",18.8,1005.98,1273.26,26.63,81.12,4.92
2022-01-06,"-7,16527777","-34,81555555",0.8,1006.3,1882.22,27.57,75.13,4.43
2022-01-07,"-7,16527777","-34,81555555",0.0,1006.73,1804.1,28.04,70.04,4.73
2022-01-08,"-7,16527777","-34,81555555",0.0,1006.44,1864.32,28.08,66.62,4.54
2022-01-09,"-7,16527777","-34,81555555",0.0,1007.02,1846.84,28.28,68.75,4.02
2022-01-10,"-7,16527777","-34,81555555",4.6,1006.51,1807.27,28.35,70.92,4.12
2022-01-11,"-7,16527777","-34,81555555",0.8,1006.8,1493.4,27.16,79.58,3.8
2022-01-12,"-7,16527777","-34,81555555",11.0,1007.38,1844.73,27.1,78.48,3.35
2022-01-13,"-7,16527777","-34,81555555",5.6,1008.74,1977.02,27.64,76.08,3.42
2022-01-14,"-7,16527777","-34,81555555",5.8,1009.41,849.78,25.77,83.0,3.27
2022-01-15,"-7,16527777","-34,81555555",11.6,1008.9,846.69,25.11,87.25,3.27
2022-01-16,"-7,16527777","-34,81555555",0.0,1008.29,1888.05,26.77,74.78,3.59
2022-01-17,"-7,16527777","-34,81555555",0.4,1008.14,1317.15,27.73,71.43,4.33
2022-01-18,"-7,16527777","-34,81555555",1.0,1008.2,1749.48,28.3,70.52,4.2
2022-01-19,"-7,16527777","-34,81555555",0.0,1009.22,1959.95,28.49,63.92,4.1
2022-01-20,"-7,16527777","-34,81555555",0.0,1008.37,1794.22,28.01,70.0,3.48
2022-01-21,"-7,16527777","-34,81555555",86.2,1006.08,1718.55,27.12,77.55,4.18
2022-01-22,"-7,16527777","-34,81555555",0.0,1006.13,1835.82,27.4,69.74,3.42
2022-01-23,"-7,16527777","-34,81555555",0.0,1006.39,1860.71,27.55,70.29,3.56
2022-01-24,"-7,16527777","-34,81555555",0.0,1006.47,1849.93,27.99,69.0,3.93
2022-01-25,"-7,16527777","-34,81555555",0.0,1006.52,1829.36,28.7,65.57,4.07
2022-01-26,"-7,16527777","-34,81555555",0.4,1006.12,1576.23,28.12,69.96,4.45
2022-01-27,"-7,16527777","-34,81555555",42.2,1005.24,964.07,25.44,88.42,3.4
2022-01-28,"-7,16527777","-34,81555555",15.8,1004.89,1479.72,26.41,81.58,3.1
2022-01-29,"-7,16527777","-34,81555555",43.0,1007.48,1055.67,25.0,84.42,3.81
2022-01-30,"-7,16527777","-34,81555555",7.0,1007.6,1619.37,27.24,79.54,3.66
2022-01-31,"-7,16527777","-34,81555555",0.0,1006.98,1707.99,28.42,69.87,4.72
2022-02-01,"-7,16527777","-34,81555555",0.2,1007.19,1656.78,28.28,69.87,4.07
2022-02-02,"-7,16527777","-34,81555555",0.0,1007.34,1771.38,28.47,69.55,3.9
2022-02-03,"-7,16527777","-34,81555555",1.2,1006.91,1814.7,28.2,71.05,4.7
2022-02-04,"-7,16527777","-34,81555555",0.0,1006.59,1669.37,28.65,65.65,4.95
2022-02-05,"-7,16527777","-34,81555555",0.0,1006.38,1717.04,28.0,66.04,4.64
2022-02-06,"-7,16527777","-34,81555555",0.0,1006.76,2018.13,27.72,64.65,4.11
2022-02-07,"-7,16527777","-34,81555555",0.0,1006.78,1807.1,28.02,65.43,3.87
2022-02-08,"-7,16527777","-34,81555555",0.0,1005.92,1566.65,27.92,67.14,3.97
2022-02-09,"-7,16527777","-34,81555555",0.0,1005.08,2024.53,27.87,67.54,4.38
2022-02-10,"-7,16527777","-34,81555555",0.0,1005.53,2001.38,27.87,68.14,4.05
2022-02-11,"-7,16527777","-34,81555555",0.0,1005.47,1656.62,28.35,71.21,4.27
2022-02-12,"-7,16527777","-34,81555555",0.0,1005.8,1776.45,28.72,71.0,5.28
2022-02-13,"-7,16527777","-34,81555555",0.0,1006.11,1779.42,28.57,70.08,4.66
2022-02-14,"-7,16527777","-34,81555555",0.0,1006.16,1603.58,28.91,67.05,5.26
2022-02-15,"-7,16527777","-34,81555555",0.0,1006.71,1500.5,28.27,66.14,4.3
2022-02-16,"-7,16527777","-34,81555555",0.0,1006.91,1944.42,28.37,66.04,4.42
2022-02-17,"-7,16527777","-34,81555555",0.0,1006.86,1240.95,27.8,69.5,3.45
2022-02-18,"-7,16527777","-34,81555555",1.0,1005.42,1829.79,27.76,72.08,4.1
2022-02-19,"-7,16527777","-34,81555555",23.6,1005.68,1582.34,27.34,76.3,4.49
2022-02-20,"-7,16527777","-34,81555555",0.6,1007.21,1670.51,28.45,69.62,5.1
2022-02-21,"-7,16527777","-34,81555555",0.0,1007.92,1793.79,28.52,67.54,4.29
2022-02-22,"-7,16527777","-34,81555555",0.0,1007.36,1998.62,28.81,64.29,4.86
2022-02-23,"-7,16527777","-34,81555555",9.6,1006.86,1242.58,27.22,75.96,4.55
2022-02-24,"-7,16527777","-34,81555555",0.2,1006.72,1760.89,28.08,73.83,4.92
2022-02-25,"-7,16527777","-34,81555555",0.0,1007.6,1667.47,28.74,66.7,5.11
2022-02-26,"-7,16527777","-34,81555555",0.0,1007.9,1821.1,28.59,67.04,4.69
2022-02-27,"-7,16527777","-34,81555555",0.0,1006.47,1618.41,28.7,65.87,4.88
2022-02-28,"-7,16527777","-34,81555555",0.0,1006.34,1714.22,28.9,66.74,4.71
2022-03-01,"-7,16527777","-34,81555555",0.0,1006.95,1938.98,28.95,64.7,5.23
2022-03-02,"-7,16527777","-34,81555555",8.8,1006.89,1567.08,27.66,77.57,3.62
2022-03-03,"-7,16527777","-34,81555555",0.0,1006.23,1631.85,28.53,72.91,3.45
2022-03-04,"-7,16527777","-34,81555555",0.8,1005.24,1826.7,28.25,74.45,4.26
2022-03-05,"-7,16527777","-34,81555555",80.8,1005.33,638.02,25.63,88.7,4.21
2022-03-06,"-7,16527777","-34,81555555",11.2,1005.0,1102.38,26.43,81.46,5.12
2022-03-07,"-7,16527777","-34,81555555",0.4,1004.77,1588.44,27.31,73.3,4.23
2022-03-08,"-7,16527777","-34,81555555",0.0,1005.47,1873.5,27.76,72.48,3.67
2022-03-09,"-7,16527777","-34,81555555",0.0,1005.5,1517.48,28.4,72.17,3.97
2022-03-10,"-7,16527777","-34,81555555",3.4,1005.13,1942.88,28.77,69.52,5.13
2022-03-11,"-7,16527777","-34,81555555",0.0,1005.53,1714.31,28.16,68.75,4.3
