Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2022-01-13,",03499999","-51,08888888",0.0,1011.1,1177.5,29.9,67.0,
2022-04-01,",03499999","-51,08888888",0.0,1009.61,1691.03,28.7,69.36,4.66
2022-04-02,",03499999","-51,08888888",3.4,1009.54,1672.18,26.9,82.62,4.6
2022-04-03,",03499999","-51,08888888",12.2,1009.12,872.88,25.67,91.08,3.29
2022-04-04,",03499999","-51,08888888",57.8,1009.6,1320.71,25.82,86.5,3.8
2022-04-05,",03499999","-51,08888888",1.8,1009.75,1100.68,25.87,85.71,3.83
2022-04-06,",03499999","-51,08888888",0.0,1009.07,1126.72,26.05,85.21,3.55
2022-04-07,",03499999","-51,08888888",1.4,1009.28,1231.24,26.25,85.12,3.9
2022-04-08,",03499999","-51,08888888",58.0,1009.88,832.96,25.7,89.71,4.78
2022-04-09,",03499999","-51,08888888",8.2,1009.81,1374.88,26.18,86.29,4.18
2022-04-10,",03499999","-51,08888888",61.0,1009.15,812.88,25.37,90.67,4.57
2022-04-11,",03499999","-51,08888888",3.6,1008.18,1769.37,27.05,83.25,4.36
2022-04-12,",03499999","-51,08888888",22.0,1009.09,1202.41,26.18,85.21,4.38
2022-04-13,",03499999","-51,08888888",4.4,1008.9,927.86,25.56,88.04,4.75
2022-04-14,",03499999","-51,08888888",1.8,1008.12,1598.15,26.78,82.92,4.41
2022-04-15,",03499999","-51,08888888",1.0,1008.7,1353.11,27.07,81.21,5.83
2022-04-16,",03499999","-51,08888888",0.0,1008.9,1421.25,27.27,80.09,4.51
2022-04-17,",03499999","-51,08888888",27.2,1009.22,751.18,26.04,88.12,4.01
2022-04-18,",03499999","-51,08888888",4.2,1009.46,905.86,25.76,88.12,3.18
2022-04-19,",03499999","-51,08888888",0.0,1008.9,1851.58,27.13,81.88,4.1
2022-04-20,",03499999","-51,08888888",4.2,1008.92,567.45,25.66,90.42,3.85
2022-04-21,",03499999","-51,08888888",69.8,1008.88,1174.72,26.14,87.67,3.3
2022-04-22,",03499999","-51,08888888",36.8,1009.09,1425.38,25.9,86.04,3.88
2022-04-23,",03499999","-51,08888888",5.0,1009.15,1651.15,26.06,84.83,4.19
2022-04-24,",03499999","-51,08888888",1.2,1009.54,1767.4,27.34,79.46,3.45
2022-04-25,",03499999","-51,08888888",0.0,1008.45,1678.71,27.88,77.62,5.03
2022-04-26,",03499999","-51,08888888",0.4,1008.05,1759.94,27.97,79.0,5.21
2022-04-27,",03499999","-51,08888888",15.6,1008.7,1587.18,26.48,85.29,4.77
2022-04-28,",03499999","-51,08888888",11.0,1009.37,1126.38,26.58,84.0,3.52
2022-04-29,",03499999","-51,08888888",3.4,1009.79,627.03,25.33,90.52,3.91
2022-04-30,",03499999","-51,08888888",1.2,1009.82,1175.15,26.55,84.46,3.4
2022-05-01,",03499999","-51,08888888",12.0,1009.62,1051.17,26.15,86.42,4.6
2022-05-02,",03499999","-51,08888888",11.8,1010.55,952.65,26.03,84.0,3.0
2022-05-03,",03499999","-51,08888888",1.8,1010.39,911.59,26.28,86.58,3.75
2022-05-04,",03499999","-51,08888888",2.6,1010.72,930.83,26.13,86.5,3.1
2022-05-05,",03499999","-51,08888888",0.0,1010.28,1904.22,27.82,78.88,4.02
2022-05-06,",03499999","-51,08888888",10.6,1010.58,1677.87,27.48,81.29,4.77
2022-05-07,",03499999","-51,08888888",0.2,1010.94,1618.49,26.69,83.08,4.5
2022-05-08,",03499999","-51,08888888",20.8,1010.89,1154.51,26.46,86.79,3.84
2022-05-09,",03499999","-51,08888888",1.8,1011.03,866.71,25.75,88.67,3.11
2022-05-10,",03499999","-51,08888888",17.6,1011.5,350.98,24.61,93.96,3.32
2022-05-11,",03499999","-51,08888888",0.2,1010.05,1554.68,26.21,81.92,3.38
2022-05-12,",03499999","-51,08888888",9.2,1009.88,943.33,25.79,87.62,4.95
2022-05-13,",03499999","-51,08888888",0.6,1009.78,1658.32,27.13,81.17,3.82
2022-05-14,",03499999","-51,08888888",6.8,1008.98,1268.38,26.9,86.58,4.13
2022-05-15,",03499999","-51,08888888",27.6,1009.68,546.49,25.88,90.0,4.33
2022-05-16,",03499999","-51,08888888",0.4,1009.54,1581.69,27.37,83.46,4.3
2022-05-17,",03499999","-51,08888888",5.0,1010.1,1097.45,27.59,82.92,4.43
2022-05-18,",03499999","-51,08888888",5.2,1010.87,576.29,25.8,88.33,4.2
2022-05-19,",03499999","-51,08888888",0.4,1010.97,903.09,25.67,87.33,3.12
2022-05-20,",03499999","-51,08888888",27.4,1012.96,883.42,25.67,86.83,3.32
2022-05-21,",03499999","-51,08888888",8.4,1013.69,1198.03,25.79,85.71,3.18
2022-05-22,",03499999","-51,08888888",11.4,1013.68,1174.92,25.5,87.71,2.98
2022-05-23,",03499999","-51,08888888",0.0,1012.84,1327.1,26.28,83.88,3.97
2022-05-24,",03499999","-51,08888888",0.0,1011.56,1852.55,27.34,74.75,6.35
2022-05-25,",03499999","-51,08888888",9.2,1011.47,1450.72,27.17,80.88,5.25
2022-05-26,",03499999","-51,08888888",54.2,1011.7,751.09,25.45,91.71,3.9
2022-05-27,",03499999","-51,08888888",1.8,1011.52,1537.1,26.18,84.25,4.13
2022-05-28,",03499999","-51,08888888",4.4,1010.4,1396.85,26.45,84.12,4.52
2022-05-29,",03499999","-51,08888888",1.8,1009.65,891.62,25.68,87.08,3.07
2022-05-30,",03499999","-51,08888888",8.0,1008.47,1173.46,26.2,85.92,3.42
2022-05-31,",03499999","-51,08888888",43.2,1008.15,1288.31,26.33,85.54,4.05
2022-06-01,",03499999","-51,08888888",3.2,1008.55,1640.34,27.28,81.17,3.89
2022-06-02,",03499999","-51,08888888",0.0,1009.29,1638.69,27.75,77.08,3.49
2022-06-03,",03499999","-51,08888888",0.0,1010.07,1782.52,27.58,78.38,4.35
2022-06-04,",03499999","-51,08888888",0.0,1009.53,1723.84,27.97,75.46,4.58
2022-06-05,",03499999","-51,08888888",32.6,1009.77,1573.74,26.78,80.54,4.5
2022-06-06,",03499999","-51,08888888",0.0,1009.98,1177.23,26.49,83.75,3.42
2022-06-07,",03499999","-51,08888888",11.0,1010.06,1626.99,26.55,81.25,4.21
2022-06-08,",03499999","-51,08888888",0.0,1009.32,1781.16,27.73,75.75,4.71
2022-06-09,",03499999","-51,08888888",5.8,1009.68,1267.82,26.43,84.46,4.25
2022-06-10,",03499999","-51,08888888",14.8,1010.52,909.75,25.53,87.67,3.95
2022-06-11,",03499999","-51,08888888",6.0,1010.26,1745.58,26.72,80.71,4.42
2022-06-12,",03499999","-51,08888888",0.4,1010.81,1262.33,26.88,82.42,3.53
2022-06-13,",03499999","-51,08888888",0.0,1011.59,1743.24,27.55,77.0,3.79
2022-06-14,",03499999","-51,08888888",0.0,1011.08,1714.95,27.69,76.0,5.2
2022-06-15,",03499999","-51,08888888",0.0,1010.85,1704.18,27.56,75.46,4.88
2022-06-16,",03499999","-51,08888888",8.0,1010.87,1496.6,25.98,80.96,3.33
2022-06-17,",03499999","-51,08888888",0.0,1009.71,1559.84,26.79,79.33,3.2
2022-06-18,",03499999","-51,08888888",1.2,1010.69,1281.08,26.52,82.42,4.21
2022-06-19,",03499999","-51,08888888",4.6,1010.56,1263.01,25.89,84.17,3.66
2022-06-20,",03499999","-51,08888888",0.8,1010.73,1526.96,26.11,82.17,4.2
2022-06-21,",03499999","-51,08888888",18.6,1010.24,1381.25,25.72,84.17,3.82
2022-06-22,",03499999","-51,08888888",12.6,1009.93,1389.97,26.04,84.79,3.22
2022-06-23,",03499999","-51,08888888",6.0,1010.0,1334.22,26.47,83.42,3.54
2022-06-24,",03499999","-51,08888888",0.4,1009.96,1546.69,26.27,82.21,3.61
2022-06-25,",03499999","-51,08888888",12.4,1009.85,1461.96,26.96,82.08,3.89
2022-06-26,",03499999","-51,08888888",49.8,1009.94,1082.72,26.15,84.17,3.39
2022-06-27,",03499999","-51,08888888",0.0,1009.55,1532.4,26.82,78.88,4.77
2022-06-28,",03499999","-51,08888888",42.4,1010.6,900.99,26.12,85.58,3.49
2022-06-29,",03499999","-51,08888888",3.6,1012.18,917.23,25.91,87.29,2.82
2022-06-30,",03499999","-51,08888888",43.0,1011.49,1340.61,25.88,82.92,3.95
2022-07-01,",03499999","-51,08888888",1.0,1010.65,1795.19,27.36,78.38,4.52
2022-07-02,",03499999","-51,08888888",2.0,1010.88,1695.25,27.31,80.21,5.03
2022-07-03,",03499999","-51,08888888",23.0,1011.8,794.05,25.95,86.5,6.09
2022-07-04,",03499999","-51,08888888",3.2,1011.86,1484.68,26.67,82.33,3.95
2022-07-05,",03499999","-51,08888888",0.8,1010.8,1592.42,27.02,79.58,3.88
2022-07-06,",03499999","-51,08888888",18.4,1010.71,1303.5,26.57,81.92,4.31
2022-07-07,",03499999","-51,08888888",2.0,1011.02,1558.25,26.6,82.29,4.93
2022-07-08,",03499999","-51,08888888",5.2,1012.41,1044.92,26.22,85.62,5.53
2022-07-09,",03499999","-51,08888888",0.0,1011.94,1589.48,27.08,79.5,3.5
2022-07-10,",03499999","-51,08888888",29.0,1010.35,1376.91,27.2,81.08,3.69
2022-07-11,",03499999","-51,08888888",0.0,1009.63,1389.25,27.63,77.71,3.72
2022-07-12,",03499999","-51,08888888",43.4,1010.53,1169.09,26.61,83.5,4.12
2022-07-13,",03499999","-51,08888888",0.4,1010.77,1432.15,26.59,82.62,3.46
2022-07-14,",03499999","-51,08888888",0.0,1010.6,1337.5,27.03,81.0,4.42
2022-07-15,",03499999","-51,08888888",0.0,1010.19,1731.76,27.38,79.29,4.35
2022-07-16,",03499999","-51,08888888",26.4,1010.24,1441.6,27.6,76.71,4.99
2022-07-17,",03499999","-51,08888888",5.6,1010.91,1462.05,26.72,82.88,4.0
2022-07-18,",03499999","-51,08888888",22.8,1011.47,1171.42,25.89,84.75,4.31
2022-07-19,",03499999","-51,08888888",4.6,1011.82,1472.88,25.87,86.83,4.02
2022-07-20,",03499999","-51,08888888",0.0,1010.22,1376.58,26.91,83.08,3.29
2022-07-21,",03499999","-51,08888888",16.2,1009.92,1011.69,25.86,85.48,3.61
2022-07-22,",03499999","-51,08888888",0.0,1009.35,1743.62,27.59,78.75,3.62
2022-07-23,",03499999","-51,08888888",0.0,1009.06,1754.77,28.34,75.79,4.05
2022-07-24,",03499999","-51,08888888",8.8,1009.3,1514.27,28.18,76.88,4.36
2022-07-25,",03499999","-51,08888888",14.0,1010.03,1178.01,27.03,83.21,4.07
2022-07-26,",03499999","-51,08888888",16.6,1010.81,1372.98,26.0,82.79,4.34
2022-07-27,",03499999","-51,08888888",0.2,1010.51,1467.12,27.0,80.65,4.28
2022-07-28,",03499999","-51,08888888",0.0,1010.12,1377.94,26.82,80.33,4.02
2022-07-29,",03499999","-51,08888888",2.8,1010.6,1673.12,27.23,79.61,3.89
2022-07-30,",03499999","-51,08888888",1.2,1011.48,987.99,26.21,84.52,3.39
2022-07-31,",03499999","-51,08888888",0.0,1011.42,1757.38,26.91,79.65,3.9
2022-08-01,",03499999","-51,08888888",3.2,1010.52,1604.28,27.57,77.91,4.18
2022-08-02,",03499999","-51,08888888",6.8,1009.41,1360.32,27.01,83.17,4.79
2022-08-03,",03499999","-51,08888888",1.4,1009.31,1796.4,27.7,80.04,5.24
2022-08-04,",03499999","-51,08888888",0.0,1009.67,1658.08,27.53,78.65,5.46
2022-08-05,",03499999","-51,08888888",0.6,1009.27,1856.07,27.68,78.62,5.11
2022-08-06,",03499999","-51,08888888",0.0,1009.11,1781.32,27.89,75.21,5.35
2022-08-07,",03499999","-51,08888888",0.0,1009.84,1766.85,27.11,73.67,4.81
2022-08-08,",03499999","-51,08888888",4.4,1009.72,1717.09,27.94,74.75,4.55
2022-08-09,",03499999","-51,08888888",2.0,1010.62,1723.91,28.45,75.79,5.03
2022-08-10,",03499999","-51,08888888",18.0,1011.75,1814.76,27.81,77.58,5.2
2022-08-11,",03499999","-51,08888888",0.2,1011.14,1677.32,27.6,76.67,4.15
2022-08-12,",03499999","-51,08888888",0.0,1011.71,1816.78,28.02,75.83,4.68
2022-08-13,",03499999","-51,08888888",0.0,1012.17,1860.08,28.25,72.54,5.93
2022-08-14,",03499999","-51,08888888",0.0,1011.93,1864.8,28.44,71.12,5.92
2022-08-15,",03499999","-51,08888888",0.8,1010.62,1795.69,27.81,73.96,4.76
2022-08-16,",03499999","-51,08888888",0.0,1009.85,1906.15,28.32,73.92,4.37
2022-08-17,",03499999","-51,08888888",20.8,1009.36,1771.78,28.34,75.08,4.36
2022-08-18,",03499999","-51,08888888",0.0,1009.63,1775.92,29.04,71.29,6.78
2022-08-19,",03499999","-51,08888888",0.0,1011.0,1929.58,28.44,75.5,5.46
2022-08-20,",03499999","-51,08888888",0.0,1010.18,1715.81,27.56,77.33,5.01
2022-08-21,",03499999","-51,08888888",0.0,1010.32,1421.92,27.72,76.38,4.11
2022-08-22,",03499999","-51,08888888",0.6,1010.42,1127.47,27.18,77.78,4.14
2022-08-23,",03499999","-51,08888888",8.2,1010.93,1573.5,26.46,81.29,4.75
2022-08-24,",03499999","-51,08888888",0.0,1011.51,1852.85,27.94,76.17,4.91
2022-08-25,",03499999","-51,08888888",0.0,1011.87,1429.73,27.44,79.08,5.33
2022-08-26,",03499999","-51,08888888",3.2,1011.7,1789.03,27.12,78.92,5.0
2022-08-27,",03499999","-51,08888888",0.0,1010.2,1628.35,27.22,76.88,5.06
2022-08-28,",03499999","-51,08888888",0.2,1010.29,1879.48,28.16,75.5,4.97
2022-08-29,",03499999","-51,08888888",0.0,1010.24,1853.74,28.62,73.96,4.01
2022-08-30,",03499999","-51,08888888",0.0,1009.89,1831.48,29.32,72.17,4.37
2022-08-31,",03499999","-51,08888888",0.0,1010.05,1860.35,29.82,70.0,6.58
2022-09-01,",03499999","-51,08888888",0.0,1008.92,1817.64,28.93,73.29,6.41
2022-09-02,",03499999","-51,08888888",0.0,1009.36,1819.14,28.8,74.21,6.1
2022-09-03,",03499999","-51,08888888",0.0,1010.42,1913.56,28.62,74.71,5.85
2022-09-04,",03499999","-51,08888888",0.0,1010.13,1811.97,28.67,73.5,5.7
2022-09-05,",03499999","-51,08888888",1.0,1011.07,1839.74,29.18,72.71,6.74
2022-09-06,",03499999","-51,08888888",1.8,1012.04,1781.36,28.74,73.46,7.36
2022-09-07,",03499999","-51,08888888",26.0,1011.86,1316.25,26.98,80.75,6.55
2022-09-08,",03499999","-51,08888888",4.2,1010.13,1576.94,27.8,77.65,5.76
2022-09-09,",03499999","-51,08888888",0.0,1010.61,1948.99,28.55,70.17,7.12
2022-09-10,",03499999","-51,08888888",0.0,1011.59,1946.42,28.67,71.42,6.17
2022-09-11,",03499999","-51,08888888",0.0,1010.92,1843.08,28.5,73.83,4.85
2022-09-12,",03499999","-51,08888888",0.0,1009.47,1946.05,28.36,72.83,5.36
2022-09-13,",03499999","-51,08888888",0.0,1009.2,1990.88,28.73,71.83,5.95
2022-09-14,",03499999","-51,08888888",0.0,1010.3,1940.92,29.08,70.46,6.4
2022-09-15,",03499999","-51,08888888",0.0,1010.28,1986.77,28.76,72.92,6.38
2022-09-16,",03499999","-51,08888888",0.0,1010.06,1915.05,28.66,72.25,5.7
2022-09-17,",03499999","-51,08888888",0.0,1009.55,1969.35,28.69,70.96,6.63
2022-09-18,",03499999","-51,08888888",0.0,1009.23,2024.45,28.46,69.75,6.12
2022-09-19,",03499999","-51,08888888",0.0,1008.89,1963.88,28.81,69.21,5.14
2022-09-20,",03499999","-51,08888888",0.6,1008.47,1953.97,28.89,70.58,7.1
2022-09-21,",03499999","-51,08888888",17.2,1008.76,1899.06,28.0,77.71,6.38
2022-09-22,",03499999","-51,08888888",0.0,1009.63,2023.04,28.23,70.58,6.01
2022-09-23,",03499999","-51,08888888",0.0,1010.22,2035.79,28.14,67.0,4.73
2022-09-24,",03499999","-51,08888888",0.0,1009.11,1998.45,28.26,70.21,4.88
2022-09-25,",03499999","-51,08888888",0.0,1008.73,1739.34,28.75,72.38,5.81
2022-09-26,",03499999","-51,08888888",0.0,1010.01,1956.83,28.77,71.75,6.74
2022-09-27,",03499999","-51,08888888",0.0,1010.14,1976.11,28.33,71.09,5.48
2022-09-28,",03499999","-51,08888888",0.0,1009.2,1983.49,28.75,70.29,5.72
2022-09-29,",03499999","-51,08888888",0.0,1008.83,1889.98,28.84,72.38,6.34
2022-09-30,",03499999","-51,08888888",0.0,1009.41,1910.38,28.94,73.39,5.86
2022-10-01,",03499999","-51,08888888",0.0,1009.8,1995.01,29.24,68.52,7.54
2022-10-02,",03499999","-51,08888888",0.0,1010.63,1965.52,28.48,71.43,5.41
2022-10-03,",03499999","-51,08888888",0.0,1010.58,1915.75,28.78,70.75,5.64
2022-10-04,",03499999","-51,08888888",0.0,1009.41,1993.02,28.8,72.33,5.99
2022-10-05,",03499999","-51,08888888",0.0,1008.44,2019.83,28.84,70.96,6.3
2022-10-06,",03499999","-51,08888888",0.0,1008.77,1950.57,28.44,71.12,6.29
2022-10-07,",03499999","-51,08888888",0.0,1009.39,1928.85,28.36,70.33,6.15
2022-10-08,",03499999","-51,08888888",0.0,1008.1,1995.37,28.59,70.54,5.34
2022-10-09,",03499999","-51,08888888",0.0,1007.9,1705.76,28.81,73.08,6.09
2022-10-10,",03499999","-51,08888888",2.6,1009.77,1547.82,28.24,77.05,6.04
2022-10-11,",03499999","-51,08888888",0.0,1010.0,1981.08,29.12,71.88,4.87
2022-10-12,",03499999","-51,08888888",0.0,1008.45,1910.65,28.68,73.96,5.87
2022-10-13,",03499999","-51,08888888",2.6,1008.63,1618.98,28.62,74.0,6.09
2022-10-14,",03499999","-51,08888888",0.0,1009.82,1838.57,29.15,71.33,6.94
2022-10-15,",03499999","-51,08888888",0.0,1009.54,1954.66,29.15,69.92,6.6
2022-10-16,",03499999","-51,08888888",0.0,1008.21,1716.67,28.98,69.62,6.05
2022-10-17,",03499999","-51,08888888",0.0,1007.84,1909.61,29.18,68.62,6.62
2022-10-18,",03499999","-51,08888888",0.0,1009.19,1978.86,29.4,67.75,7.06
2022-10-19,",03499999","-51,08888888",0.0,1009.58,1876.61,29.35,70.21,7.91
2022-10-20,",03499999","-51,08888888",0.0,1008.78,1973.65,29.08,69.54,6.57
2022-10-21,",03499999","-51,08888888",0.0,1007.39,1880.65,28.93,71.04,5.98
2022-10-22,",03499999","-51,08888888",0.0,1008.27,1769.31,29.22,71.12,5.93
2022-10-23,",03499999","-51,08888888",0.0,1009.08,1825.43,29.7,66.88,8.49
2022-10-24,",03499999","-51,08888888",0.0,1008.71,1963.85,29.45,66.71,6.97
2022-10-25,",03499999","-51,08888888",0.0,1007.97,2034.21,29.07,71.12,5.3
2022-10-26,",03499999","-51,08888888",6.4,1008.12,1799.58,28.52,72.04,5.77
2022-10-27,",03499999","-51,08888888",0.0,1008.31,1570.16,29.46,65.39,8.74
2022-10-28,",03499999","-51,08888888",0.0,1008.09,1921.06,28.77,70.0,6.75
