Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2022-01-01,"-10,14777777","-48,31444444",0.4,977.52,1369.95,26.1,74.75,3.61
2022-01-02,"-10,14777777","-48,31444444",15.0,978.34,806.77,25.2,84.75,3.08
2022-01-03,"-10,14777777","-48,31444444",0.8,978.63,1265.94,26.15,78.88,2.52
2022-01-04,"-10,14777777","-48,31444444",7.0,977.43,1027.97,25.27,82.33,3.17
2022-01-05,"-10,14777777","-48,31444444",0.0,976.75,1274.59,26.06,78.92,2.72
2022-01-06,"-10,14777777","-48,31444444",11.4,977.46,921.45,25.14,81.08,4.27
2022-01-07,"-10,14777777","-48,31444444",1.6,977.23,1453.02,26.3,77.04,3.62
2022-01-08,"-10,14777777","-48,31444444",15.2,978.19,453.19,24.1,86.46,4.17
2022-01-09,"-10,14777777","-48,31444444",10.6,979.18,1007.0,24.38,84.83,3.1
2022-01-10,"-10,14777777","-48,31444444",11.6,979.12,1056.95,24.87,82.79,2.84
2022-01-11,"-10,14777777","-48,31444444",4.4,977.48,1579.24,26.66,74.29,4.08
2022-01-12,"-10,14777777","-48,31444444",32.6,979.7,326.66,23.1,89.25,4.12
2022-01-13,"-10,14777777","-48,31444444",0.0,981.38,1182.59,24.63,77.21,2.32
2022-01-14,"-10,14777777","-48,31444444",8.8,980.78,1516.99,26.78,72.67,3.74
2022-01-15,"-10,14777777","-48,31444444",0.0,980.51,1526.07,27.4,71.54,2.96
2022-01-16,"-10,14777777","-48,31444444",0.0,979.19,1565.58,27.87,63.75,3.87
2022-01-17,"-10,14777777","-48,31444444",4.8,979.22,711.77,25.05,80.25,3.28
2022-01-18,"-10,14777777","-48,31444444",21.2,979.54,517.13,24.42,85.29,2.4
2022-01-19,"-10,14777777","-48,31444444",2.8,980.89,1377.76,26.21,75.54,2.73
2022-01-20,"-10,14777777","-48,31444444",0.0,979.44,1645.97,27.76,67.62,2.84
2022-01-21,"-10,14777777","-48,31444444",0.0,977.36,1853.08,28.44,61.96,3.54
2022-01-22,"-10,14777777","-48,31444444",2.2,976.83,1544.82,28.08,66.88,3.68
2022-01-23,"-10,14777777","-48,31444444",4.8,976.85,1428.36,27.28,70.75,3.93
2022-01-24,"-10,14777777","-48,31444444",64.0,977.6,1188.28,24.95,81.08,3.52
2022-01-25,"-10,14777777","-48,31444444",1.8,977.9,1065.17,24.6,81.96,3.65
