Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-10,9525","-37,05444444",6.6,1013.04,1311.59,25.83,,6.35
2023-01-02,"-10,9525","-37,05444444",0.0,1012.58,1190.88,25.81,,6.86
2023-01-03,"-10,9525","-37,05444444",2.8,1012.42,1324.5,26.58,,7.4
2023-01-04,"-10,9525","-37,05444444",2.4,1012.71,1640.08,26.67,45.0,6.08
2023-01-05,"-10,9525","-37,05444444",0.0,1012.43,1788.17,27.18,,7.15
2023-01-06,"-10,9525","-37,05444444",0.0,1012.95,1826.39,27.05,,6.69
2023-01-07,"-10,9525","-37,05444444",0.0,1014.06,1792.0,27.23,,6.62
2023-01-08,"-10,9525","-37,05444444",0.0,1013.88,1799.35,27.17,,6.43
2023-01-09,"-10,9525","-37,05444444",0.0,1013.8,1812.81,27.07,,6.18
2023-01-10,"-10,9525","-37,05444444",0.0,1013.99,1822.08,27.22,,7.25
2023-01-11,"-10,9525","-37,05444444",5.8,1014.06,1765.82,27.07,,7.65
2023-01-12,"-10,9525","-37,05444444",0.0,1013.02,1769.45,27.17,,6.63
2023-01-13,"-10,9525","-37,05444444",0.0,1011.98,1735.49,27.47,,6.22
2023-01-14,"-10,9525","-37,05444444",0.8,1012.32,1527.22,26.94,,6.29
2023-01-15,"-10,9525","-37,05444444",7.2,1013.25,1643.62,26.03,57.0,4.65
2023-01-16,"-10,9525","-37,05444444",0.8,1012.25,1479.42,26.86,,5.93
2023-01-17,"-10,9525","-37,05444444",3.6,1012.7,1634.53,27.2,,5.92
2023-01-18,"-10,9525","-37,05444444",0.0,1013.11,1770.96,27.56,,6.72
2023-01-19,"-10,9525","-37,05444444",0.0,1013.18,1764.5,27.56,,6.57
2023-01-20,"-10,9525","-37,05444444",0.0,1013.25,1677.48,27.27,,5.81
2023-01-21,"-10,9525","-37,05444444",0.0,1012.12,1786.61,27.2,,6.66
2023-01-22,"-10,9525","-37,05444444",0.0,1011.42,1627.37,27.03,,6.32
2023-01-23,"-10,9525","-37,05444444",0.0,1011.82,1757.92,27.43,78.0,5.58
2023-01-24,"-10,9525","-37,05444444",0.0,1010.95,1579.85,26.92,58.5,5.16
