Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-9,67972221","-68,16527777",0.0,992.45,889.96,25.53,81.0,3.84
2023-01-02,"-9,67972221","-68,16527777",0.0,991.72,904.39,25.92,78.38,3.1
2023-01-03,"-9,67972221","-68,16527777",0.0,991.04,843.51,26.43,77.67,4.21
2023-01-04,"-9,67972221","-68,16527777",2.2,990.99,767.7,26.04,80.67,4.3
2023-01-05,"-9,67972221","-68,16527777",84.0,993.91,118.41,22.27,92.92,2.59
2023-01-06,"-9,67972221","-68,16527777",0.4,994.59,684.64,23.47,84.96,2.46
2023-01-07,"-9,67972221","-68,16527777",0.0,994.57,829.66,25.75,80.21,2.16
2023-01-08,"-9,67972221","-68,16527777",0.0,992.99,872.08,26.52,78.04,1.53
2023-01-09,"-9,67972221","-68,16527777",0.0,992.8,721.17,26.42,78.33,4.31
2023-01-10,"-9,67972221","-68,16527777",0.0,992.53,919.92,26.65,79.67,3.25
2023-01-11,"-9,67972221","-68,16527777",4.2,992.89,815.18,26.24,81.96,3.81
2023-01-12,"-9,67972221","-68,16527777",0.0,992.58,707.44,25.54,82.92,3.04
2023-01-13,"-9,67972221","-68,16527777",0.0,991.92,825.9,25.91,77.46,5.08
2023-01-14,"-9,67972221","-68,16527777",0.0,991.1,1098.01,27.18,72.29,3.25
2023-01-15,"-9,67972221","-68,16527777",2.0,992.94,729.44,26.3,79.58,3.88
2023-01-16,"-9,67972221","-68,16527777",3.6,993.7,430.85,23.9,89.17,2.54
2023-01-17,"-9,67972221","-68,16527777",1.8,992.44,572.15,24.54,85.29,2.28
2023-01-18,"-9,67972221","-68,16527777",2.4,992.39,501.58,24.84,87.38,2.02
2023-01-19,"-9,67972221","-68,16527777",14.4,993.89,546.74,24.39,87.0,2.31
2023-01-20,"-9,67972221","-68,16527777",0.2,994.49,749.95,24.54,83.79,2.99
2023-01-21,"-9,67972221","-68,16527777",13.6,992.7,875.69,24.78,80.58,4.77
2023-01-22,"-9,67972221","-68,16527777",0.0,991.51,870.21,25.85,79.46,2.87
2023-01-23,"-9,67972221","-68,16527777",2.8,992.55,822.61,25.97,81.33,3.65
2023-01-24,"-9,67972221","-68,16527777",0.2,992.87,760.22,25.48,82.62,3.39
2023-01-25,"-9,67972221","-68,16527777",1.4,990.99,802.8,25.7,83.33,3.58
2023-01-26,"-9,67972221","-68,16527777",0.2,990.91,834.36,26.07,79.0,3.34
2023-01-27,"-9,67972221","-68,16527777",0.8,990.34,868.59,26.1,79.25,3.35
2023-01-28,"-9,67972221","-68,16527777",4.6,990.98,695.12,26.21,81.46,3.12
2023-01-29,"-9,67972221","-68,16527777",17.4,991.98,539.62,24.89,86.29,3.15
2023-01-30,"-9,67972221","-68,16527777",18.2,992.12,594.92,24.2,87.08,2.27
