Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-19,88388888","-43,96944443",4.8,919.05,986.17,21.33,83.21,4.15
2023-01-02,"-19,88388888","-43,96944443",8.2,917.82,1041.62,20.98,83.25,4.5
2023-01-03,"-19,88388888","-43,96944443",10.8,916.65,772.98,20.78,85.92,3.82
2023-01-04,"-19,88388888","-43,96944443",26.0,916.4,1142.18,20.85,87.38,4.42
2023-01-05,"-19,88388888","-43,96944443",19.0,916.25,384.56,20.27,90.83,2.32
2023-01-06,"-19,88388888","-43,96944443",36.6,917.19,579.52,20.93,90.67,3.47
2023-01-07,"-19,88388888","-43,96944443",101.4,918.96,1004.13,21.12,86.92,3.67
2023-01-08,"-19,88388888","-43,96944443",9.0,919.23,778.26,20.65,88.79,4.12
2023-01-09,"-19,88388888","-43,96944443",20.2,918.79,1335.29,21.23,84.71,3.8
2023-01-10,"-19,88388888","-43,96944443",8.0,918.94,1231.04,22.05,81.71,3.93
2023-01-11,"-19,88388888","-43,96944443",0.4,918.85,1151.71,22.15,78.5,3.82
2023-01-12,"-19,88388888","-43,96944443",18.8,917.87,980.03,20.82,85.04,3.26
2023-01-13,"-19,88388888","-43,96944443",0.0,916.82,1619.69,23.09,73.29,3.5
2023-01-14,"-19,88388888","-43,96944443",15.2,917.97,1413.97,23.65,75.0,2.88
2023-01-15,"-19,88388888","-43,96944443",0.0,918.53,1566.96,25.4,68.83,4.64
2023-01-16,"-19,88388888","-43,96944443",0.0,918.0,1966.27,24.48,63.12,6.2
2023-01-17,"-19,88388888","-43,96944443",0.0,918.67,1735.0,24.12,59.33,5.65
2023-01-18,"-19,88388888","-43,96944443",0.0,919.25,1777.01,24.52,63.88,5.97
2023-01-19,"-19,88388888","-43,96944443",22.6,919.1,1037.52,22.53,74.88,4.84
2023-01-20,"-19,88388888","-43,96944443",21.0,917.84,940.64,21.47,77.04,4.86
2023-01-21,"-19,88388888","-43,96944443",34.4,915.64,476.39,19.58,91.12,4.32
2023-01-22,"-19,88388888","-43,96944443",65.6,914.58,1062.24,21.27,85.58,3.87
2023-01-23,"-19,88388888","-43,96944443",2.8,915.59,998.46,22.04,84.62,3.58
2023-01-24,"-19,88388888","-43,96944443",15.2,915.09,916.73,21.76,87.42,3.47
