Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-22,98833333","-43,19055555",0.0,1010.19,1964.36,24.7,74.86,4.1
2023-01-02,"-22,98833333","-43,19055555",0.0,1007.8,2185.35,25.33,65.79,5.54
2023-01-03,"-22,98833333","-43,19055555",0.0,1004.16,1965.96,27.78,56.08,6.17
2023-01-04,"-22,98833333","-43,19055555",0.4,1003.26,1241.34,27.91,49.16,7.56
2023-01-05,"-22,98833333","-43,19055555",4.2,1006.31,427.44,21.86,,9.01
2023-01-06,"-22,98833333","-43,19055555",68.6,1010.73,298.91,21.2,,8.03
2023-01-07,"-22,98833333","-43,19055555",21.2,1014.04,480.86,19.76,,5.26
2023-01-08,"-22,98833333","-43,19055555",1.2,1013.14,960.66,21.19,80.33,3.55
2023-01-09,"-22,98833333","-43,19055555",10.2,1011.15,825.69,22.04,,2.69
2023-01-10,"-22,98833333","-43,19055555",2.4,1009.98,1284.1,23.25,95.27,2.33
2023-01-11,"-22,98833333","-43,19055555",2.4,1008.6,1443.99,24.62,92.55,3.15
2023-01-12,"-22,98833333","-43,19055555",0.0,1006.0,1301.26,25.56,74.77,3.75
2023-01-13,"-22,98833333","-43,19055555",23.6,1005.39,1624.26,27.01,65.8,6.1
2023-01-14,"-22,98833333","-43,19055555",0.0,1006.49,2074.08,27.11,71.07,5.27
2023-01-15,"-22,98833333","-43,19055555",0.0,1008.04,2111.49,27.73,70.63,4.87
2023-01-16,"-22,98833333","-43,19055555",0.0,1007.92,2092.59,26.68,71.8,4.08
2023-01-17,"-22,98833333","-43,19055555",0.0,1009.61,2078.48,26.99,71.9,3.58
2023-01-18,"-22,98833333","-43,19055555",0.0,1011.06,2094.82,26.9,71.29,3.87
2023-01-19,"-22,98833333","-43,19055555",0.0,1010.71,2061.75,26.17,77.06,6.0
2023-01-20,"-22,98833333","-43,19055555",3.4,1008.28,895.19,24.62,85.69,4.11
2023-01-21,"-22,98833333","-43,19055555",1.6,1004.44,1470.61,24.75,84.69,4.71
2023-01-22,"-22,98833333","-43,19055555",0.0,1003.66,2106.59,25.79,70.59,3.49
2023-01-23,"-22,98833333","-43,19055555",3.6,1004.04,1541.14,26.73,69.55,4.37
2023-01-24,"-22,98833333","-43,19055555",0.0,1004.43,971.82,25.53,83.4,4.08
2023-01-25,"-22,98833333","-43,19055555",0.0,1007.08,1893.6,26.12,73.85,3.97
2023-01-26,"-22,98833333","-43,19055555",0.0,1009.12,2165.55,26.51,67.83,4.98
2023-01-27,"-22,98833333","-43,19055555",0.0,1009.48,1916.79,26.54,70.88,5.75
2023-01-28,"-22,98833333","-43,19055555",1.0,1009.52,1356.29,25.67,71.33,4.51
2023-01-29,"-22,98833333","-43,19055555",0.6,1007.68,1508.83,26.61,68.47,4.55
2023-01-30,"-22,98833333","-43,19055555",21.2,1006.35,1390.75,25.96,71.91,5.53
2023-01-31,"-22,98833333","-43,19055555",0.8,1007.2,1996.77,25.63,68.14,5.7
2023-02-01,"-22,98833333","-43,19055555",0.0,1007.84,1680.29,26.43,73.67,2.84
2023-02-02,"-22,98833333","-43,19055555",0.0,1008.12,1452.66,26.88,66.08,3.74
2023-02-03,"-22,98833333","-43,19055555",0.2,1006.91,1239.91,27.29,63.21,4.41
2023-02-04,"-22,98833333","-43,19055555",0.0,1006.38,1985.46,28.12,63.21,6.5
2023-02-05,"-22,98833333","-43,19055555",5.2,1007.17,1933.99,27.71,72.71,4.17
2023-02-06,"-22,98833333","-43,19055555",0.0,1007.33,1768.74,28.12,69.54,4.34
2023-02-07,"-22,98833333","-43,19055555",75.0,1008.5,1214.24,26.88,76.65,4.88
2023-02-08,"-22,98833333","-43,19055555",41.4,1009.01,939.86,24.92,75.71,4.79
2023-02-09,"-22,98833333","-43,19055555",0.0,1009.68,1921.0,26.4,69.1,3.66
2023-02-10,"-22,98833333","-43,19055555",3.4,1008.74,2098.72,26.1,68.73,4.16
2023-02-11,"-22,98833333","-43,19055555",9.0,1008.74,1572.51,24.55,75.15,4.48
2023-02-12,"-22,98833333","-43,19055555",29.4,1008.31,849.85,24.43,79.75,3.86
2023-02-13,"-22,98833333","-43,19055555",5.2,1007.6,1624.96,26.11,72.0,2.79
2023-02-14,"-22,98833333","-43,19055555",2.4,1006.61,1388.35,25.52,72.5,4.18
2023-02-15,"-22,98833333","-43,19055555",0.6,1003.46,1738.16,27.68,64.33,6.69
2023-02-16,"-22,98833333","-43,19055555",0.6,1001.73,1162.55,27.07,64.71,5.75
