Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-22,358052","-49,028877",0.0,942.18,1347.22,24.9,67.93,4.05
2023-01-02,"-22,358052","-49,028877",8.2,940.14,1263.68,24.2,76.58,5.09
2023-01-03,"-22,358052","-49,028877",13.6,938.8,896.19,22.61,80.77,4.6
2023-01-04,"-22,358052","-49,028877",27.0,938.04,471.97,21.5,92.0,5.1
2023-01-05,"-22,358052","-49,028877",8.6,939.83,426.23,18.83,92.3,6.7
2023-01-06,"-22,358052","-49,028877",0.0,942.35,860.43,19.95,76.29,8.67
2023-01-07,"-22,358052","-49,028877",0.0,944.16,1024.37,20.54,73.92,9.06
2023-01-08,"-22,358052","-49,028877",0.0,943.61,1056.98,21.01,75.42,8.01
2023-01-09,"-22,358052","-49,028877",0.0,942.02,1030.55,22.08,81.54,6.25
2023-01-10,"-22,358052","-49,028877",3.2,941.9,621.18,22.1,89.31,4.98
2023-01-11,"-22,358052","-49,028877",31.0,941.93,1104.61,22.25,82.3,4.23
2023-01-12,"-22,358052","-49,028877",1.8,940.18,1417.89,23.13,69.36,4.21
2023-01-13,"-22,358052","-49,028877",42.6,939.24,1219.94,22.66,75.5,5.5
2023-01-14,"-22,358052","-49,028877",0.4,940.59,1024.01,23.41,75.67,4.86
2023-01-15,"-22,358052","-49,028877",1.0,942.18,1506.45,25.5,71.5,4.32
2023-01-16,"-22,358052","-49,028877",11.2,941.87,1520.42,25.14,78.79,3.83
2023-01-17,"-22,358052","-49,028877",11.8,942.81,1411.02,23.55,69.82,3.79
2023-01-18,"-22,358052","-49,028877",12.6,943.44,1698.07,25.15,68.87,4.97
2023-01-19,"-22,358052","-49,028877",18.2,943.27,1524.5,23.3,73.0,4.91
2023-01-20,"-22,358052","-49,028877",0.2,940.9,1310.46,23.54,75.36,4.22
2023-01-21,"-22,358052","-49,028877",11.2,938.7,897.2,22.88,84.0,4.06
2023-01-22,"-22,358052","-49,028877",3.6,938.13,1305.88,23.72,72.67,4.25
2023-01-23,"-22,358052","-49,028877",11.6,938.66,1172.34,23.8,75.8,4.44
2023-01-24,"-22,358052","-49,028877",0.0,938.65,1253.63,24.17,67.64,3.1
2023-01-25,"-22,358052","-49,028877",0.0,939.4,1977.6,25.24,66.89,4.19
2023-01-26,"-22,358052","-49,028877",0.0,939.19,1918.12,25.45,69.83,5.28
2023-01-27,"-22,358052","-49,028877",0.0,940.34,1575.39,25.07,62.96,5.4
2023-01-28,"-22,358052","-49,028877",0.4,942.01,850.92,24.36,84.12,4.35
2023-01-29,"-22,358052","-49,028877",0.8,941.65,1615.46,25.18,74.0,4.56
2023-01-30,"-22,358052","-49,028877",29.4,940.4,936.5,21.98,82.5,4.83
2023-01-31,"-22,358052","-49,028877",4.4,940.76,1077.24,22.91,77.75,3.79
2023-02-01,"-22,358052","-49,028877",3.6,941.97,1181.05,23.66,75.0,3.44
2023-02-02,"-22,358052","-49,028877",21.6,942.15,989.45,23.04,89.45,4.21
2023-02-03,"-22,358052","-49,028877",21.8,941.75,1147.83,22.94,78.2,4.87
2023-02-04,"-22,358052","-49,028877",25.6,942.25,1433.78,22.64,75.14,6.2
2023-02-05,"-22,358052","-49,028877",5.6,942.37,1284.46,23.94,70.89,4.88
2023-02-06,"-22,358052","-49,028877",8.6,941.72,884.76,23.09,83.57,3.59
2023-02-07,"-22,358052","-49,028877",14.2,942.05,820.98,22.35,74.67,3.47
2023-02-08,"-22,358052","-49,028877",0.0,941.43,1666.12,23.88,69.58,3.78
2023-02-09,"-22,358052","-49,028877",0.0,941.5,1263.74,24.61,79.0,4.28
2023-02-10,"-22,358052","-49,028877",1.0,941.71,1070.22,24.16,82.69,3.82
2023-02-11,"-22,358052","-49,028877",28.0,942.06,691.38,21.75,90.71,3.85
2023-02-12,"-22,358052","-49,028877",20.8,941.2,1045.54,22.08,82.6,3.59
2023-02-13,"-22,358052","-49,028877",0.6,941.45,1541.77,23.53,66.0,3.67
2023-02-14,"-22,358052","-49,028877",13.8,940.94,1152.89,23.45,80.12,4.25
2023-02-15,"-22,358052","-49,028877",1.8,938.7,1378.35,24.74,65.82,5.68
2023-02-16,"-22,358052","-49,028877",1.6,936.51,1083.08,23.62,72.62,5.82
2023-02-17,"-22,358052","-49,028877",7.2,937.26,833.78,22.37,82.17,5.19
2023-02-18,"-22,358052","-49,028877",40.0,940.56,1008.18,23.34,72.12,3.44
2023-02-19,"-22,358052","-49,028877",6.6,943.98,838.0,20.5,83.33,8.81
2023-02-20,"-22,358052","-49,028877",0.2,942.96,1474.25,22.33,84.0,6.79
2023-02-21,"-22,358052","-49,028877",1.0,943.35,731.42,21.76,88.62,3.28
2023-02-22,"-22,358052","-49,028877",0.0,944.61,1600.14,24.19,66.08,2.66
2023-02-23,"-22,358052","-49,028877",1.4,944.95,928.62,23.4,87.92,4.85
2023-02-24,"-22,358052","-49,028877",0.0,942.66,1215.95,23.41,71.0,4.73
2023-02-25,"-22,358052","-49,028877",0.0,941.03,1541.88,24.45,65.62,3.98
2023-02-26,"-22,358052","-49,028877",1.4,943.3,1172.33,24.15,75.57,3.52
2023-02-27,"-22,358052","-49,028877",12.0,945.01,1674.78,24.42,60.22,3.96
2023-02-28,"-22,358052","-49,028877",0.0,945.92,1334.62,23.64,74.69,5.95
2023-03-01,"-22,358052","-49,028877",35.2,944.65,1207.03,22.26,79.12,5.42
2023-03-02,"-22,358052","-49,028877",0.0,942.62,1751.72,24.7,60.38,2.87
2023-03-03,"-22,358052","-49,028877",0.0,941.62,1657.77,25.82,68.8,3.59
2023-03-04,"-22,358052","-49,028877",1.8,942.18,1110.1,24.27,79.31,3.83
2023-03-05,"-22,358052","-49,028877",7.6,941.26,1426.72,23.08,75.67,5.3
2023-03-06,"-22,358052","-49,028877",0.0,938.8,1445.57,23.71,71.47,4.27
2023-03-07,"-22,358052","-49,028877",32.0,940.62,1629.74,22.15,68.64,5.73
2023-03-08,"-22,358052","-49,028877",0.0,942.37,1765.52,23.26,65.5,3.54
2023-03-09,"-22,358052","-49,028877",0.2,942.96,1342.6,24.09,72.46,4.33
2023-03-10,"-22,358052","-49,028877",19.6,943.16,667.12,21.55,80.0,4.34
2023-03-11,"-22,358052","-49,028877",0.0,942.19,826.02,21.99,76.43,3.05
2023-03-12,"-22,358052","-49,028877",0.2,942.64,706.18,22.79,77.0,3.18
2023-03-13,"-22,358052","-49,028877",0.0,943.2,726.03,22.71,81.56,3.59
2023-03-14,"-22,358052","-49,028877",31.6,943.79,694.97,22.36,79.2,3.64
2023-03-15,"-22,358052","-49,028877",0.2,943.34,996.98,22.91,75.75,4.1
2023-03-16,"-22,358052","-49,028877",0.0,942.26,1396.45,24.12,79.11,4.93
2023-03-17,"-22,358052","-49,028877",0.0,942.84,1242.38,23.74,81.75,5.22
2023-03-18,"-22,358052","-49,028877",0.0,943.18,1441.96,23.7,73.74,4.19
2023-03-19,"-22,358052","-49,028877",14.2,942.86,1407.33,24.17,70.56,4.37
2023-03-20,"-22,358052","-49,028877",3.6,942.9,1421.36,23.82,63.2,3.78
2023-03-21,"-22,358052","-49,028877",26.6,944.11,1469.84,23.33,68.46,4.14
2023-03-22,"-22,358052","-49,028877",0.0,944.9,1649.81,24.54,74.2,5.14
2023-03-23,"-22,358052","-49,028877",0.0,945.13,1245.58,24.34,78.0,5.29
2023-03-24,"-22,358052","-49,028877",0.0,944.12,1391.22,25.14,76.0,3.46
2023-03-25,"-22,358052","-49,028877",0.0,943.15,1379.86,24.9,77.26,4.4
2023-03-26,"-22,358052","-49,028877",0.0,942.96,1389.62,26.66,71.12,3.17
2023-03-27,"-22,358052","-49,028877",0.0,942.8,1448.92,24.83,75.05,4.99
2023-03-28,"-22,358052","-49,028877",0.2,943.32,1210.75,23.35,80.78,5.26
2023-03-29,"-22,358052","-49,028877",0.0,942.8,1350.97,24.82,70.88,4.41
2023-03-30,"-22,358052","-49,028877",0.0,944.09,1488.51,24.82,70.63,4.3
2023-03-31,"-22,358052","-49,028877",0.0,942.63,1424.49,25.68,68.21,3.75
2023-04-01,"-22,358052","-49,028877",0.0,941.84,1499.0,24.92,66.0,3.58
2023-04-02,"-22,358052","-49,028877",0.0,942.34,1480.48,23.55,73.38,6.16
2023-04-03,"-22,358052","-49,028877",0.0,942.98,1385.7,22.33,74.17,5.6
2023-04-04,"-22,358052","-49,028877",0.0,942.22,1333.51,22.97,70.61,3.66
2023-04-05,"-22,358052","-49,028877",0.0,941.84,1406.24,23.32,63.29,4.16
