Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-25,4486111","-49,23055554",4.6,912.33,1806.48,21.62,77.25,5.3
2023-01-02,"-25,4486111","-49,23055554",0.0,909.73,1156.3,21.94,79.96,5.12
2023-01-03,"-25,4486111","-49,23055554",0.0,906.44,1329.46,21.93,80.38,5.1
2023-01-04,"-25,4486111","-49,23055554",48.0,907.85,293.16,16.33,95.54,5.79
2023-01-05,"-25,4486111","-49,23055554",0.6,911.16,1186.82,17.18,78.29,6.12
2023-01-06,"-25,4486111","-49,23055554",0.0,914.21,2048.31,17.62,74.04,7.31
2023-01-07,"-25,4486111","-49,23055554",0.0,915.97,1296.42,17.19,79.25,7.92
2023-01-08,"-25,4486111","-49,23055554",0.4,915.11,1043.33,17.47,84.38,5.98
2023-01-09,"-25,4486111","-49,23055554",1.2,913.29,977.45,17.64,87.79,4.91
2023-01-10,"-25,4486111","-49,23055554",3.8,911.78,1247.05,19.16,87.42,4.91
2023-01-11,"-25,4486111","-49,23055554",0.4,910.61,752.2,20.69,85.33,4.68
2023-01-12,"-25,4486111","-49,23055554",0.2,908.72,1481.28,21.16,79.92,4.11
2023-01-13,"-25,4486111","-49,23055554",0.4,907.27,1774.91,22.3,77.88,5.75
2023-01-14,"-25,4486111","-49,23055554",1.6,908.46,1350.69,22.35,79.71,5.57
2023-01-15,"-25,4486111","-49,23055554",0.2,911.06,1257.85,22.85,82.5,4.63
2023-01-16,"-25,4486111","-49,23055554",4.0,911.77,1423.66,22.74,84.29,4.7
2023-01-17,"-25,4486111","-49,23055554",5.2,913.0,846.08,22.18,84.96,4.27
2023-01-18,"-25,4486111","-49,23055554",17.8,914.33,1096.58,21.77,86.46,4.27
2023-01-19,"-25,4486111","-49,23055554",1.2,913.64,1265.36,21.52,82.17,5.25
2023-01-20,"-25,4486111","-49,23055554",8.8,910.69,1411.12,20.88,83.29,4.6
2023-01-21,"-25,4486111","-49,23055554",0.0,907.72,1533.19,21.05,81.25,3.98
2023-01-22,"-25,4486111","-49,23055554",0.2,906.35,1812.35,22.62,80.0,5.36
2023-01-23,"-25,4486111","-49,23055554",10.2,907.74,1569.32,22.7,78.04,4.35
2023-01-24,"-25,4486111","-49,23055554",0.4,908.44,1338.04,21.29,75.17,4.29
2023-01-25,"-25,4486111","-49,23055554",0.0,909.89,1724.0,23.4,68.67,4.76
2023-01-26,"-25,4486111","-49,23055554",0.0,910.79,1535.9,21.78,67.88,6.06
2023-01-27,"-25,4486111","-49,23055554",0.0,911.29,1703.05,21.37,70.62,5.31
2023-01-28,"-25,4486111","-49,23055554",0.0,911.63,2001.09,23.28,67.08,4.46
2023-01-29,"-25,4486111","-49,23055554",0.0,910.48,1964.28,24.05,72.54,5.8
2023-01-30,"-25,4486111","-49,23055554",0.2,908.7,909.97,21.02,81.17,5.2
2023-01-31,"-25,4486111","-49,23055554",3.0,908.97,1149.06,21.87,82.75,5.6
2023-02-01,"-25,4486111","-49,23055554",3.6,910.3,1309.97,21.92,84.42,4.42
2023-02-02,"-25,4486111","-49,23055554",17.4,910.27,1056.4,22.31,85.42,5.54
2023-02-03,"-25,4486111","-49,23055554",2.8,908.32,1180.14,21.52,86.29,8.44
2023-02-04,"-25,4486111","-49,23055554",11.8,908.81,1177.72,21.28,85.46,7.04
2023-02-05,"-25,4486111","-49,23055554",0.0,910.05,2308.83,22.56,70.92,5.56
2023-02-06,"-25,4486111","-49,23055554",0.0,910.35,1880.89,22.63,75.21,3.99
2023-02-07,"-25,4486111","-49,23055554",0.0,911.72,1583.59,21.78,75.92,4.92
2023-02-08,"-25,4486111","-49,23055554",0.0,911.67,1630.53,21.67,74.58,4.49
2023-02-09,"-25,4486111","-49,23055554",0.0,911.61,1706.86,22.5,73.0,4.95
2023-02-10,"-25,4486111","-49,23055554",21.0,911.51,1228.01,21.63,80.0,5.2
2023-02-11,"-25,4486111","-49,23055554",10.4,911.36,1492.55,20.41,84.92,4.97
2023-02-12,"-25,4486111","-49,23055554",0.2,910.6,1758.84,21.68,82.21,3.98
2023-02-13,"-25,4486111","-49,23055554",4.6,910.17,1614.89,21.23,84.75,4.32
2023-02-14,"-25,4486111","-49,23055554",5.8,909.02,1567.01,22.55,82.67,5.32
2023-02-15,"-25,4486111","-49,23055554",2.2,906.01,913.0,21.95,82.71,8.41
2023-02-16,"-25,4486111","-49,23055554",0.8,903.42,1412.38,21.85,80.33,7.46
2023-02-17,"-25,4486111","-49,23055554",5.8,903.9,1413.44,21.26,82.04,7.96
2023-02-18,"-25,4486111","-49,23055554",8.8,911.55,604.31,18.12,92.33,5.58
2023-02-19,"-25,4486111","-49,23055554",10.0,916.12,242.16,14.54,93.88,7.25
2023-02-20,"-25,4486111","-49,23055554",3.8,913.08,548.81,18.14,93.21,4.15
2023-02-21,"-25,4486111","-49,23055554",2.0,911.62,1191.85,20.1,88.79,4.47
2023-02-22,"-25,4486111","-49,23055554",0.2,914.34,1190.41,19.75,87.0,4.95
2023-02-23,"-25,4486111","-49,23055554",14.0,914.62,990.19,20.31,87.92,5.38
2023-02-24,"-25,4486111","-49,23055554",0.0,910.84,1809.47,21.74,79.62,5.4
2023-02-25,"-25,4486111","-49,23055554",0.0,909.31,1975.09,22.35,75.21,5.78
2023-02-26,"-25,4486111","-49,23055554",2.4,911.83,1479.25,22.32,76.42,4.99
2023-02-27,"-25,4486111","-49,23055554",0.0,915.75,1683.52,21.07,78.71,4.96
2023-02-28,"-25,4486111","-49,23055554",0.0,916.82,807.28,19.82,82.75,4.7
2023-03-01,"-25,4486111","-49,23055554",0.6,914.11,971.75,19.97,84.92,3.62
2023-03-02,"-25,4486111","-49,23055554",0.0,912.0,1666.99,21.95,75.71,4.71
2023-03-03,"-25,4486111","-49,23055554",9.8,911.33,1605.56,22.76,80.46,5.1
2023-03-04,"-25,4486111","-49,23055554",18.4,910.87,1531.2,22.56,84.21,6.26
2023-03-05,"-25,4486111","-49,23055554",13.6,908.64,1011.41,20.42,87.33,6.91
2023-03-06,"-25,4486111","-49,23055554",4.2,907.39,1634.2,20.93,83.54,4.23
2023-03-07,"-25,4486111","-49,23055554",2.2,908.75,1231.61,20.61,81.71,5.27
2023-03-08,"-25,4486111","-49,23055554",0.2,910.78,2104.9,23.64,73.92,4.74
2023-03-09,"-25,4486111","-49,23055554",0.8,912.55,1460.88,22.4,79.5,4.47
2023-03-10,"-25,4486111","-49,23055554",22.6,913.12,837.95,19.67,89.62,3.24
2023-03-11,"-25,4486111","-49,23055554",2.4,912.21,582.17,19.62,91.12,4.6
2023-03-12,"-25,4486111","-49,23055554",4.0,913.13,905.23,19.79,88.67,5.3
2023-03-13,"-25,4486111","-49,23055554",5.4,913.82,713.68,19.79,91.12,5.33
2023-03-14,"-25,4486111","-49,23055554",0.6,914.23,1007.91,20.14,88.29,6.18
2023-03-15,"-25,4486111","-49,23055554",0.0,914.18,1396.0,20.21,84.58,5.93
2023-03-16,"-25,4486111","-49,23055554",0.0,913.55,1198.2,19.96,83.88,4.92
2023-03-17,"-25,4486111","-49,23055554",0.0,914.0,1634.84,20.28,82.46,5.01
2023-03-18,"-25,4486111","-49,23055554",0.0,913.62,1844.65,20.03,74.92,3.65
2023-03-19,"-25,4486111","-49,23055554",0.0,912.97,2003.39,22.4,70.17,4.67
2023-03-20,"-25,4486111","-49,23055554",0.0,912.37,1979.98,23.72,73.88,4.01
2023-03-21,"-25,4486111","-49,23055554",0.0,913.61,1987.55,23.49,67.33,3.58
2023-03-22,"-25,4486111","-49,23055554",0.0,915.65,1767.04,22.49,77.75,5.35
2023-03-23,"-25,4486111","-49,23055554",0.0,915.61,2040.51,22.58,75.08,5.21
2023-03-24,"-25,4486111","-49,23055554",0.6,913.99,1919.14,22.93,77.71,5.11
2023-03-25,"-25,4486111","-49,23055554",0.8,913.22,1547.33,22.64,81.54,4.85
2023-03-26,"-25,4486111","-49,23055554",2.2,911.64,1511.29,23.22,79.33,6.15
2023-03-27,"-25,4486111","-49,23055554",0.2,913.92,774.83,19.09,85.58,5.67
2023-03-28,"-25,4486111","-49,23055554",0.0,913.89,1225.66,19.06,81.08,4.51
2023-03-29,"-25,4486111","-49,23055554",4.0,912.82,1487.18,21.65,82.21,4.04
2023-03-30,"-25,4486111","-49,23055554",3.6,912.92,1499.74,21.69,80.04,6.2
2023-03-31,"-25,4486111","-49,23055554",0.0,912.05,1709.57,21.81,76.17,3.93
2023-04-01,"-25,4486111","-49,23055554",0.0,911.41,2046.22,21.76,78.12,5.34
2023-04-02,"-25,4486111","-49,23055554",0.0,913.39,1509.45,17.75,80.29,5.94
2023-04-03,"-25,4486111","-49,23055554",0.0,913.28,2035.94,18.31,73.75,4.77
2023-04-04,"-25,4486111","-49,23055554",0.0,911.93,2000.61,19.68,79.17,4.3
2023-04-05,"-25,4486111","-49,23055554",0.0,912.6,1887.45,19.81,80.21,4.79
2023-04-06,"-25,4486111","-49,23055554",0.0,913.21,742.05,18.31,86.33,5.43
2023-04-07,"-25,4486111","-49,23055554",4.8,912.38,449.83,16.75,90.79,5.08
2023-04-08,"-25,4486111","-49,23055554",0.0,913.77,733.18,17.96,89.54,4.43
2023-04-09,"-25,4486111","-49,23055554",0.0,915.61,1024.67,18.38,85.83,5.12
2023-04-10,"-25,4486111","-49,23055554",0.2,916.46,1005.65,18.47,83.54,4.0
2023-04-11,"-25,4486111","-49,23055554",0.0,914.36,2049.7,19.02,77.0,3.62
2023-04-12,"-25,4486111","-49,23055554",0.0,911.67,1760.69,19.99,75.92,3.55
2023-04-13,"-25,4486111","-49,23055554",0.0,909.48,1792.24,21.35,74.33,3.99
2023-04-14,"-25,4486111","-49,23055554",22.6,910.08,492.33,18.81,91.96,5.4
2023-04-15,"-25,4486111","-49,23055554",0.4,913.45,296.54,17.42,92.21,5.56
2023-04-16,"-25,4486111","-49,23055554",2.8,912.86,720.27,18.69,88.88,3.44
2023-04-17,"-25,4486111","-49,23055554",20.4,906.3,813.23,19.21,91.38,5.31
2023-04-18,"-25,4486111","-49,23055554",25.2,902.28,319.66,18.71,95.62,3.4
2023-04-19,"-25,4486111","-49,23055554",0.2,904.9,1826.51,16.21,73.58,8.19
2023-04-20,"-25,4486111","-49,23055554",0.0,911.46,2162.88,14.24,64.38,7.51
2023-04-21,"-25,4486111","-49,23055554",0.0,915.72,1789.05,13.84,78.58,5.1
2023-04-22,"-25,4486111","-49,23055554",0.8,915.82,1777.68,16.4,81.62,4.88
2023-04-23,"-25,4486111","-49,23055554",1.2,916.59,1351.48,16.6,83.21,4.92
2023-04-24,"-25,4486111","-49,23055554",1.8,917.22,1497.42,17.59,82.79,4.75
2023-04-25,"-25,4486111","-49,23055554",0.0,916.11,1104.67,16.95,83.42,3.29
2023-04-26,"-25,4486111","-49,23055554",2.0,912.23,933.51,18.14,83.04,5.46
2023-04-27,"-25,4486111","-49,23055554",0.2,910.75,1187.61,17.45,80.38,4.75
2023-04-28,"-25,4486111","-49,23055554",0.0,913.36,1179.68,16.32,87.96,3.68
2023-04-29,"-25,4486111","-49,23055554",0.0,915.0,718.75,15.86,90.67,3.65
2023-04-30,"-25,4486111","-49,23055554",1.0,914.58,790.73,16.99,91.42,3.86
2023-05-01,"-25,4486111","-49,23055554",0.0,913.38,1542.35,18.33,80.12,3.42
2023-05-02,"-25,4486111","-49,23055554",0.0,912.44,1762.58,17.85,80.5,3.65
2023-05-03,"-25,4486111","-49,23055554",0.0,912.22,1294.08,19.1,83.21,3.63
2023-05-04,"-25,4486111","-49,23055554",14.6,913.08,1344.84,20.98,80.96,4.06
2023-05-05,"-25,4486111","-49,23055554",34.0,915.85,1214.12,20.82,85.38,4.32
2023-05-06,"-25,4486111","-49,23055554",0.0,916.03,1168.92,21.06,84.58,3.82
2023-05-07,"-25,4486111","-49,23055554",0.0,914.29,1464.1,20.9,80.62,4.06
2023-05-08,"-25,4486111","-49,23055554",0.0,913.95,1043.0,20.92,82.67,4.88
2023-05-09,"-25,4486111","-49,23055554",0.0,914.53,1013.26,19.92,86.62,3.53
2023-05-10,"-25,4486111","-49,23055554",0.0,914.09,968.78,17.94,85.12,3.9
2023-05-11,"-25,4486111","-49,23055554",0.0,912.24,1688.9,15.6,70.54,3.8
2023-05-12,"-25,4486111","-49,23055554",0.0,913.97,1265.05,13.09,83.17,3.89
2023-05-13,"-25,4486111","-49,23055554",0.0,915.08,1483.91,13.63,77.0,3.64
2023-05-14,"-25,4486111","-49,23055554",0.0,915.99,1657.03,13.95,77.88,3.0
2023-05-15,"-25,4486111","-49,23055554",0.2,916.58,1744.04,14.7,69.75,2.29
2023-05-16,"-25,4486111","-49,23055554",0.0,915.75,1737.75,14.98,68.42,2.83
2023-05-17,"-25,4486111","-49,23055554",0.2,916.47,1774.65,13.55,82.92,3.27
2023-05-18,"-25,4486111","-49,23055554",0.2,917.2,1602.82,13.52,83.21,2.48
2023-05-19,"-25,4486111","-49,23055554",0.2,916.15,1063.61,14.51,82.04,3.16
2023-05-20,"-25,4486111","-49,23055554",0.0,915.07,1096.45,15.34,72.09,3.03
2023-05-21,"-25,4486111","-49,23055554",0.0,913.35,1319.67,15.12,76.83,3.2
2023-05-22,"-25,4486111","-49,23055554",0.0,914.45,1161.02,16.82,77.21,4.2
2023-05-23,"-25,4486111","-49,23055554",0.0,916.54,1606.88,17.67,70.83,2.43
2023-05-24,"-25,4486111","-49,23055554",0.0,916.44,1555.09,16.28,81.5,3.65
2023-05-25,"-25,4486111","-49,23055554",0.0,916.77,1162.32,17.19,85.71,3.89
2023-05-26,"-25,4486111","-49,23055554",0.0,915.72,1025.95,18.33,80.29,4.79
2023-05-27,"-25,4486111","-49,23055554",0.8,914.31,1157.59,18.05,80.33,3.42
2023-05-28,"-25,4486111","-49,23055554",4.0,915.03,251.21,15.62,94.38,5.45
2023-05-29,"-25,4486111","-49,23055554",2.0,916.57,384.52,13.6,90.54,5.57
2023-05-30,"-25,4486111","-49,23055554",0.0,917.89,471.58,13.7,90.75,4.78
2023-05-31,"-25,4486111","-49,23055554",1.4,916.26,601.57,15.03,89.83,2.87
2023-06-01,"-25,4486111","-49,23055554",0.0,917.27,1544.64,15.27,83.48,2.42
2023-06-02,"-25,4486111","-49,23055554",0.2,917.05,1707.98,13.94,82.29,2.72
2023-06-03,"-25,4486111","-49,23055554",0.0,916.33,1531.35,16.26,77.96,4.88
2023-06-04,"-25,4486111","-49,23055554",0.2,917.03,1445.35,15.95,80.0,2.68
2023-06-05,"-25,4486111","-49,23055554",0.2,917.54,1483.78,15.14,78.92,2.57
2023-06-06,"-25,4486111","-49,23055554",0.2,917.5,870.15,15.41,87.54,3.66
2023-06-07,"-25,4486111","-49,23055554",0.0,917.34,1610.03,15.89,79.58,3.78
2023-06-08,"-25,4486111","-49,23055554",0.2,916.84,1597.14,15.68,74.58,2.37
2023-06-09,"-25,4486111","-49,23055554",0.0,914.64,1624.38,16.58,73.75,4.52
2023-06-10,"-25,4486111","-49,23055554",0.0,913.7,1622.56,18.28,66.46,5.4
2023-06-11,"-25,4486111","-49,23055554",0.0,911.41,1412.61,20.6,57.79,8.06
2023-06-12,"-25,4486111","-49,23055554",13.2,913.45,138.62,14.54,95.95,4.95
2023-06-15,"-25,4486111","-49,23055554",0.0,911.65,379.12,14.18,85.33,9.04
2023-06-16,"-25,4486111","-49,23055554",0.0,913.07,864.79,11.64,80.17,10.02
2023-06-17,"-25,4486111","-49,23055554",0.0,916.75,746.85,10.97,84.62,4.72
2023-06-18,"-25,4486111","-49,23055554",0.0,917.77,1086.25,11.0,84.88,2.51
2023-06-19,"-25,4486111","-49,23055554",0.0,919.56,1273.63,11.0,86.04,3.82
2023-06-20,"-25,4486111","-49,23055554",0.0,918.64,1241.31,12.65,80.5,4.5
2023-06-21,"-25,4486111","-49,23055554",0.2,915.72,759.38,14.42,85.21,3.29
2023-06-22,"-25,4486111","-49,23055554",1.2,914.25,1007.34,17.32,78.42,3.79
