Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-27,6025","-48,61999999",0.0,1014.28,1917.04,26.15,72.42,3.57
2023-01-02,"-27,6025","-48,61999999",0.0,1010.39,1777.65,26.44,75.38,6.06
2023-01-03,"-27,6025","-48,61999999",2.4,1006.77,794.33,25.5,76.42,6.36
2023-01-04,"-27,6025","-48,61999999",3.4,1010.32,492.92,22.52,74.38,3.8
2023-01-05,"-27,6025","-48,61999999",0.0,1014.38,2092.81,22.82,69.38,2.43
2023-01-06,"-27,6025","-48,61999999",0.0,1018.47,1992.04,23.13,69.67,4.44
2023-01-07,"-27,6025","-48,61999999",1.4,1020.97,1507.94,23.1,70.75,5.72
2023-01-08,"-27,6025","-48,61999999",0.6,1019.41,1760.03,23.28,69.88,4.49
2023-01-09,"-27,6025","-48,61999999",0.0,1016.52,1810.91,23.98,66.83,3.75
2023-01-10,"-27,6025","-48,61999999",0.0,1014.0,1987.95,24.73,68.08,5.09
2023-01-11,"-27,6025","-48,61999999",3.0,1011.57,1614.17,25.86,74.04,4.78
2023-01-12,"-27,6025","-48,61999999",0.0,1008.61,1884.07,26.85,72.79,4.77
2023-01-13,"-27,6025","-48,61999999",2.8,1007.05,1606.13,27.01,76.25,5.15
2023-01-14,"-27,6025","-48,61999999",8.2,1008.08,1759.13,26.11,74.54,5.81
2023-01-15,"-27,6025","-48,61999999",24.0,1013.05,832.75,24.33,84.67,5.62
2023-01-16,"-27,6025","-48,61999999",2.6,1013.85,1247.61,24.81,81.83,5.18
2023-01-17,"-27,6025","-48,61999999",0.0,1015.14,965.76,25.08,82.25,4.76
2023-01-18,"-27,6025","-48,61999999",1.4,1016.81,789.68,25.3,83.04,4.0
2023-01-19,"-27,6025","-48,61999999",3.6,1016.42,1223.57,25.85,79.62,3.71
2023-01-20,"-27,6025","-48,61999999",43.2,1012.62,1652.37,26.06,74.25,4.3
2023-01-21,"-27,6025","-48,61999999",0.0,1008.04,1845.44,26.39,70.54,4.76
