Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"2,81694443","-60,69083333",0.8,1001.96,1435.64,27.37,64.67,5.25
2023-01-02,"2,81694443","-60,69083333",0.0,1001.92,1646.66,27.2,64.96,4.33
2023-01-03,"2,81694443","-60,69083333",0.0,1001.62,1859.79,28.0,60.17,5.33
2023-01-04,"2,81694443","-60,69083333",0.0,1002.36,1175.6,27.28,64.79,4.54
2023-01-05,"2,81694443","-60,69083333",3.2,1002.91,1340.53,25.95,71.46,5.75
2023-01-06,"2,81694443","-60,69083333",0.0,1002.5,1779.11,27.27,63.5,5.52
2023-01-07,"2,81694443","-60,69083333",0.2,1002.94,908.85,26.61,70.42,4.14
2023-01-08,"2,81694443","-60,69083333",1.2,1003.83,1494.46,26.81,70.46,4.0
2023-01-09,"2,81694443","-60,69083333",0.0,1002.71,1347.02,27.26,65.17,5.11
2023-01-10,"2,81694443","-60,69083333",0.0,1002.62,1086.88,26.76,68.88,4.6
2023-01-11,"2,81694443","-60,69083333",29.6,1003.26,1088.32,25.24,81.54,4.37
2023-01-12,"2,81694443","-60,69083333",4.6,1002.54,1584.44,26.5,71.58,5.75
2023-01-13,"2,81694443","-60,69083333",0.0,1001.38,1766.97,27.18,66.58,6.52
2023-01-14,"2,81694443","-60,69083333",0.0,1002.32,1228.82,26.7,66.29,5.36
2023-01-15,"2,81694443","-60,69083333",0.2,1002.78,1188.75,26.48,69.67,4.79
2023-01-16,"2,81694443","-60,69083333",0.0,1001.65,1577.25,26.67,70.38,4.64
2023-01-17,"2,81694443","-60,69083333",0.0,1001.25,1418.18,26.83,66.12,6.51
2023-01-18,"2,81694443","-60,69083333",45.6,1003.19,1706.78,25.5,71.88,4.85
2023-01-19,"2,81694443","-60,69083333",0.0,1003.02,1856.94,26.76,60.17,6.61
2023-01-20,"2,81694443","-60,69083333",0.0,1002.85,1280.49,26.46,63.29,4.84
2023-01-21,"2,81694443","-60,69083333",0.0,1002.68,1600.61,26.55,66.12,6.5
2023-01-22,"2,81694443","-60,69083333",0.4,1001.94,1187.87,26.46,66.79,6.45
2023-01-23,"2,81694443","-60,69083333",0.0,1002.94,1421.75,26.5,63.92,8.07
2023-01-24,"2,81694443","-60,69083333",0.0,1002.82,1700.36,26.34,62.58,7.29
2023-01-25,"2,81694443","-60,69083333",0.0,1002.21,1720.08,26.33,55.71,6.45
2023-01-26,"2,81694443","-60,69083333",0.0,1001.25,1720.15,26.38,57.08,5.7
2023-01-27,"2,81694443","-60,69083333",0.0,1001.31,1348.77,26.57,58.04,6.0
2023-01-28,"2,81694443","-60,69083333",0.0,1001.56,1820.92,26.98,54.75,6.08
2023-01-29,"2,81694443","-60,69083333",0.0,1001.67,1805.64,26.67,58.54,5.6
2023-01-30,"2,81694443","-60,69083333",0.0,1001.03,1732.26,27.01,58.33,5.32
2023-01-31,"2,81694443","-60,69083333",0.0,1001.01,1790.28,27.13,56.0,4.85
2023-02-01,"2,81694443","-60,69083333",0.0,1001.88,1188.95,26.87,61.25,5.33
2023-02-02,"2,81694443","-60,69083333",0.0,1002.57,1637.48,27.64,57.62,7.53
2023-02-03,"2,81694443","-60,69083333",0.0,1002.55,1622.83,27.83,59.29,6.88
2023-02-04,"2,81694443","-60,69083333",0.0,1003.75,918.96,26.78,66.29,6.56
2023-02-05,"2,81694443","-60,69083333",9.2,1000.01,814.82,25.17,76.96,6.64
2023-02-06,"2,81694443","-60,69083333",0.0,1002.75,1083.12,25.63,71.54,7.37
2023-02-07,"2,81694443","-60,69083333",0.0,1001.77,1634.39,26.72,67.54,5.76
2023-02-08,"2,81694443","-60,69083333",0.0,1001.32,1655.58,27.92,61.75,6.26
2023-02-09,"2,81694443","-60,69083333",0.0,1001.28,1517.56,27.51,63.21,6.38
2023-02-10,"2,81694443","-60,69083333",0.0,1001.45,1220.91,27.31,62.33,6.86
2023-02-11,"2,81694443","-60,69083333",0.0,1000.95,1481.03,27.25,61.42,5.78
2023-02-12,"2,81694443","-60,69083333",0.0,999.43,1540.41,27.86,56.46,7.15
2023-02-13,"2,81694443","-60,69083333",0.0,1000.41,1133.79,26.98,63.96,5.72
2023-02-14,"2,81694443","-60,69083333",34.6,1001.14,1030.21,25.65,80.38,5.3
2023-02-15,"2,81694443","-60,69083333",7.2,1001.45,1220.3,25.48,79.08,5.35
2023-02-16,"2,81694443","-60,69083333",0.0,999.99,1223.31,26.91,67.92,5.88
2023-02-17,"2,81694443","-60,69083333",0.0,1000.18,1309.4,26.64,66.25,5.98
