Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2024-01-01,"-2,52666666","-44,21361111",56.0,1006.26,962.65,25.37,92.88,3.58
2024-01-02,"-2,52666666","-44,21361111",0.4,1005.33,856.69,26.48,87.5,3.46
2024-01-03,"-2,52666666","-44,21361111",0.2,1005.93,1223.78,26.79,85.04,4.29
2024-01-04,"-2,52666666","-44,21361111",0.0,1005.31,1792.49,27.99,77.21,5.6
2024-01-05,"-2,52666666","-44,21361111",0.0,1004.26,1760.52,27.86,79.08,5.7
2024-01-06,"-2,52666666","-44,21361111",1.4,1004.47,1122.45,27.25,83.79,4.14
2024-01-07,"-2,52666666","-44,21361111",70.0,1005.85,465.72,25.65,91.58,4.9
2024-01-08,"-2,52666666","-44,21361111",0.6,1005.45,1178.37,26.46,84.87,5.15
2024-01-09,"-2,52666666","-44,21361111",0.0,1005.5,1190.42,26.92,80.29,5.75
2024-01-10,"-2,52666666","-44,21361111",0.0,1004.88,1712.78,27.85,77.92,6.55
2024-01-11,"-2,52666666","-44,21361111",0.0,1004.54,1553.81,27.76,78.33,5.73
2024-01-12,"-2,52666666","-44,21361111",22.0,1004.64,663.49,26.06,88.79,4.34
2024-01-13,"-2,52666666","-44,21361111",40.8,1006.38,502.65,24.3,94.58,3.85
2024-01-14,"-2,52666666","-44,21361111",0.2,1007.04,1425.99,25.68,89.17,4.83
2024-01-15,"-2,52666666","-44,21361111",0.4,1006.88,1271.45,26.72,86.29,4.37
2024-01-16,"-2,52666666","-44,21361111",0.0,1006.11,1394.08,27.22,81.79,6.25
2024-01-17,"-2,52666666","-44,21361111",0.0,1006.26,1772.51,27.67,77.88,6.96
2024-01-18,"-2,52666666","-44,21361111",0.0,1005.97,1618.75,27.42,80.58,5.75
2024-01-19,"-2,52666666","-44,21361111",0.0,1005.97,1544.12,27.82,78.54,6.5
2024-01-20,"-2,52666666","-44,21361111",0.0,1005.72,1336.96,27.68,78.54,6.66
2024-01-21,"-2,52666666","-44,21361111",0.0,1006.15,1601.25,27.84,79.0,6.02
2024-01-22,"-2,52666666","-44,21361111",0.0,1006.64,1300.71,28.03,78.38,6.82
2024-01-23,"-2,52666666","-44,21361111",0.0,1006.16,1168.03,28.11,77.17,7.16
2024-01-24,"-2,52666666","-44,21361111",0.0,1005.5,1433.3,27.98,76.08,7.45
2024-01-25,"-2,52666666","-44,21361111",0.0,1004.85,1689.96,27.85,79.21,6.03
2024-01-26,"-2,52666666","-44,21361111",0.6,1005.48,1247.31,27.9,79.58,6.63
2024-01-27,"-2,52666666","-44,21361111",0.0,1006.0,768.58,27.59,78.88,6.76
2024-01-28,"-2,52666666","-44,21361111",1.6,1006.57,903.77,27.44,82.79,4.52
2024-01-29,"-2,52666666","-44,21361111",2.6,1006.65,1194.38,27.17,86.88,4.13
2024-01-30,"-2,52666666","-44,21361111",0.8,1006.58,1064.56,27.02,88.29,3.67
2024-01-31,"-2,52666666","-44,21361111",0.0,1005.65,1103.25,27.4,83.67,5.51
2024-02-01,"-2,52666666","-44,21361111",1.8,1005.16,1208.25,27.93,82.08,5.85
2024-02-02,"-2,52666666","-44,21361111",1.8,1005.03,1099.79,27.22,86.12,5.15
2024-02-03,"-2,52666666","-44,21361111",12.8,1005.83,883.93,26.49,88.29,4.8
2024-02-04,"-2,52666666","-44,21361111",1.6,1004.57,1103.4,26.91,88.12,4.63
2024-02-05,"-2,52666666","-44,21361111",0.0,1004.58,1753.23,27.65,81.88,6.24
2024-02-06,"-2,52666666","-44,21361111",0.0,1005.74,1562.71,28.11,78.42,7.25
2024-02-07,"-2,52666666","-44,21361111",0.0,1005.44,1526.95,28.33,77.25,7.35
2024-02-08,"-2,52666666","-44,21361111",0.0,1005.08,1602.1,28.6,75.42,7.8
2024-02-09,"-2,52666666","-44,21361111",0.4,1005.67,1357.57,28.24,77.0,7.32
2024-02-10,"-2,52666666","-44,21361111",15.0,1006.49,1201.99,26.6,85.71,6.18
2024-02-11,"-2,52666666","-44,21361111",0.2,1005.89,1159.88,26.97,80.33,4.76
2024-02-12,"-2,52666666","-44,21361111",3.6,1005.03,1112.78,27.51,84.42,3.8
2024-02-13,"-2,52666666","-44,21361111",78.2,1006.67,326.84,24.52,95.33,6.28
2024-02-14,"-2,52666666","-44,21361111",1.8,1007.17,1510.86,26.67,88.71,3.96
2024-02-15,"-2,52666666","-44,21361111",0.0,1007.1,1495.65,27.15,84.42,4.77
2024-02-16,"-2,52666666","-44,21361111",10.4,1007.16,1060.54,26.06,88.08,4.78
2024-02-17,"-2,52666666","-44,21361111",0.0,1005.85,1452.58,27.09,84.38,4.45
2024-02-18,"-2,52666666","-44,21361111",3.2,1005.16,1565.54,26.87,84.67,5.3
2024-02-19,"-2,52666666","-44,21361111",9.6,1004.45,909.36,26.38,88.62,5.66
2024-02-20,"-2,52666666","-44,21361111",44.8,1005.25,479.19,24.52,94.38,4.01
2024-02-21,"-2,52666666","-44,21361111",115.4,1005.42,315.61,24.03,98.21,4.37
2024-02-22,"-2,52666666","-44,21361111",28.8,1006.34,608.06,23.55,97.83,3.15
2024-02-23,"-2,52666666","-44,21361111",7.0,1006.62,833.11,24.1,92.67,4.01
2024-02-24,"-2,52666666","-44,21361111",0.8,1006.09,1446.82,25.79,87.08,3.53
2024-02-25,"-2,52666666","-44,21361111",5.0,1006.1,849.96,24.69,92.25,3.25
2024-02-26,"-2,52666666","-44,21361111",7.4,1005.64,504.28,24.17,92.79,3.13
2024-02-27,"-2,52666666","-44,21361111",22.6,1005.57,699.63,23.63,94.58,3.12
2024-02-28,"-2,52666666","-44,21361111",20.6,1006.8,1069.46,23.6,93.12,3.72
