Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2024-01-01,"-8,7936111","-63,84583333",13.2,1001.46,1329.51,26.06,86.46,4.0
2024-01-02,"-8,7936111","-63,84583333",0.0,999.82,1786.32,27.19,81.75,3.67
2024-01-03,"-8,7936111","-63,84583333",0.0,999.04,1068.17,27.45,82.75,3.87
2024-01-04,"-8,7936111","-63,84583333",23.8,1001.17,389.59,24.85,91.21,3.89
2024-01-05,"-8,7936111","-63,84583333",0.4,1001.13,1627.57,26.32,80.42,3.34
2024-01-06,"-8,7936111","-63,84583333",6.2,1000.31,1181.92,26.84,81.79,4.1
2024-01-07,"-8,7936111","-63,84583333",4.4,1000.88,1478.74,26.77,81.92,4.3
2024-01-08,"-8,7936111","-63,84583333",0.6,998.89,1591.12,28.3,78.33,3.17
2024-01-09,"-8,7936111","-63,84583333",0.8,999.82,1285.65,27.31,83.46,4.14
2024-01-10,"-8,7936111","-63,84583333",13.0,1001.05,831.68,25.67,87.42,3.55
2024-01-11,"-8,7936111","-63,84583333",18.0,1001.59,751.29,25.58,88.67,3.51
2024-01-12,"-8,7936111","-63,84583333",0.2,1000.37,1356.63,26.77,84.5,2.98
2024-01-13,"-8,7936111","-63,84583333",0.0,1000.41,1455.88,26.82,82.83,3.72
2024-01-14,"-8,7936111","-63,84583333",12.4,1001.74,812.7,25.73,89.38,3.81
2024-01-15,"-8,7936111","-63,84583333",0.0,1001.91,1674.65,27.03,81.25,3.55
2024-01-16,"-8,7936111","-63,84583333",2.2,1000.41,1522.03,28.18,79.62,3.21
2024-01-17,"-8,7936111","-63,84583333",13.8,1000.52,1507.66,27.67,82.38,4.92
2024-01-18,"-8,7936111","-63,84583333",45.2,1001.91,1263.16,26.41,83.67,3.77
2024-01-19,"-8,7936111","-63,84583333",7.8,1001.25,1357.84,26.88,84.33,2.8
2024-01-20,"-8,7936111","-63,84583333",30.8,1000.97,1491.68,27.01,82.67,3.67
2024-01-21,"-8,7936111","-63,84583333",31.2,1001.62,1390.67,26.77,85.0,3.42
2024-01-22,"-8,7936111","-63,84583333",2.6,1002.23,1657.45,27.06,84.58,3.06
2024-01-23,"-8,7936111","-63,84583333",0.8,1001.38,1427.65,28.06,82.62,3.17
2024-01-24,"-8,7936111","-63,84583333",36.6,1001.25,1024.23,26.51,88.79,3.55
2024-01-25,"-8,7936111","-63,84583333",1.0,1000.62,994.24,26.52,88.62,2.51
2024-01-26,"-8,7936111","-63,84583333",10.2,1001.45,1120.35,26.75,87.17,3.37
2024-01-27,"-8,7936111","-63,84583333",37.2,1001.47,550.92,26.17,90.33,3.18
2024-01-28,"-8,7936111","-63,84583333",29.4,1002.15,868.63,25.28,91.42,3.46
2024-01-29,"-8,7936111","-63,84583333",0.0,1002.4,1478.85,26.77,83.42,3.2
2024-01-30,"-8,7936111","-63,84583333",1.0,1000.94,1405.88,28.31,81.25,3.25
2024-01-31,"-8,7936111","-63,84583333",12.0,1000.58,1037.51,27.26,87.33,3.05
2024-02-01,"-8,7936111","-63,84583333",95.2,1002.57,321.51,25.18,93.21,2.74
2024-02-02,"-8,7936111","-63,84583333",0.0,1001.65,1323.43,26.24,83.88,2.73
2024-02-03,"-8,7936111","-63,84583333",0.2,999.95,1680.68,27.28,82.83,2.94
2024-02-04,"-8,7936111","-63,84583333",21.8,1000.96,712.45,25.65,87.46,4.2
2024-02-05,"-8,7936111","-63,84583333",1.0,1000.8,1417.01,26.42,83.17,2.58
2024-02-06,"-8,7936111","-63,84583333",0.0,1000.69,1702.59,27.93,79.33,3.08
2024-02-07,"-8,7936111","-63,84583333",22.0,1001.98,803.31,26.24,89.33,3.21
2024-02-08,"-8,7936111","-63,84583333",0.0,1000.7,1800.02,27.55,84.08,2.99
2024-02-09,"-8,7936111","-63,84583333",6.4,1000.57,1328.15,27.14,84.5,4.13
2024-02-10,"-8,7936111","-63,84583333",0.0,1000.08,1330.26,27.56,83.58,3.01
2024-02-11,"-8,7936111","-63,84583333",0.4,1000.45,1548.28,27.57,80.21,4.72
2024-02-12,"-8,7936111","-63,84583333",29.0,1001.14,1005.08,26.19,88.5,4.17
2024-02-13,"-8,7936111","-63,84583333",19.8,1002.71,1330.59,25.38,90.54,3.36
2024-02-14,"-8,7936111","-63,84583333",24.0,1003.98,1275.95,26.07,87.21,3.71
2024-02-15,"-8,7936111","-63,84583333",0.0,1002.72,1178.45,26.67,86.21,2.95
2024-02-16,"-8,7936111","-63,84583333",1.8,1002.02,1411.12,27.7,83.46,3.41
2024-02-17,"-8,7936111","-63,84583333",0.0,1000.83,1389.97,27.88,80.71,3.06
2024-02-18,"-8,7936111","-63,84583333",0.2,1000.7,1218.14,27.62,83.33,4.0
2024-02-19,"-8,7936111","-63,84583333",39.8,1000.95,731.94,26.54,90.12,3.48
2024-02-20,"-8,7936111","-63,84583333",28.2,1000.15,563.68,25.75,90.62,3.43
2024-02-21,"-8,7936111","-63,84583333",12.4,998.98,1330.58,26.16,86.0,3.54
2024-02-22,"-8,7936111","-63,84583333",0.0,997.49,1378.55,28.28,81.79,3.42
2024-02-23,"-8,7936111","-63,84583333",0.0,998.34,1680.43,28.52,79.83,4.06
