Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-16,642841","-49,220222",1.8,932.62,1403.39,24.7,72.46,3.3
2019-01-02,"-16,642841","-49,220222",6.8,933.71,1203.66,24.76,71.58,3.75
2019-01-03,"-16,642841","-49,220222",0.0,932.1,1828.13,26.38,64.25,3.42
2019-01-04,"-16,642841","-49,220222",14.2,932.4,1295.55,24.85,70.17,3.82
2019-01-05,"-16,642841","-49,220222",3.0,933.15,998.27,23.15,78.83,3.42
2019-01-06,"-16,642841","-49,220222",0.6,932.61,1515.85,23.68,71.75,3.53
2019-01-07,"-16,642841","-49,220222",0.0,932.08,1829.57,25.18,66.58,3.61
2019-01-08,"-16,642841","-49,220222",0.0,933.08,1704.59,26.21,64.08,4.2
2019-01-09,"-16,642841","-49,220222",0.0,931.5,1965.81,26.17,55.92,4.45
2019-01-10,"-16,642841","-49,220222",0.0,931.46,1645.75,24.89,56.79,3.98
2019-01-11,"-16,642841","-49,220222",0.8,933.76,1576.39,24.12,65.0,4.2
2019-01-12,"-16,642841","-49,220222",18.4,933.02,1608.41,24.13,68.08,4.3
2019-01-13,"-16,642841","-49,220222",6.2,933.02,1460.58,23.16,78.21,4.15
2019-01-14,"-16,642841","-49,220222",0.0,932.74,1793.24,24.72,65.96,3.72
2019-01-15,"-16,642841","-49,220222",0.0,933.23,1742.66,25.47,65.29,3.4
2019-01-16,"-16,642841","-49,220222",0.4,934.02,1761.29,25.52,65.25,4.28
2019-01-17,"-16,642841","-49,220222",0.0,933.13,1271.61,25.8,64.75,3.55
2019-01-18,"-16,642841","-49,220222",0.8,933.75,1417.0,23.1,70.92,5.5
2019-01-19,"-16,642841","-49,220222",0.0,932.03,1259.45,24.02,70.79,3.31
2019-01-20,"-16,642841","-49,220222",2.8,932.44,1738.9,25.12,67.71,3.99
2019-01-21,"-16,642841","-49,220222",0.0,932.97,1700.14,25.15,68.96,3.16
2019-01-22,"-16,642841","-49,220222",0.0,932.86,1889.06,26.68,63.46,3.62
2019-01-23,"-16,642841","-49,220222",0.0,931.9,2041.42,27.95,56.54,3.85
2019-01-24,"-16,642841","-49,220222",0.0,931.35,1631.26,27.74,55.12,3.09
2019-01-25,"-16,642841","-49,220222",0.0,931.48,1537.06,25.69,63.08,4.75
2019-01-26,"-16,642841","-49,220222",2.4,932.48,1104.37,23.58,74.67,4.12
2019-01-27,"-16,642841","-49,220222",5.0,933.03,726.43,22.4,80.29,3.72
2019-01-28,"-16,642841","-49,220222",0.0,933.23,1896.3,25.61,66.54,4.67
2019-01-29,"-16,642841","-49,220222",0.0,933.82,1788.93,26.15,54.42,4.49
2019-01-30,"-16,642841","-49,220222",0.0,932.68,2198.7,26.46,54.21,4.48
2019-01-31,"-16,642841","-49,220222",0.0,931.98,2128.2,27.08,49.71,4.2
2019-02-01,"-16,642841","-49,220222",0.0,931.44,1994.66,27.11,48.92,3.91
2019-02-02,"-16,642841","-49,220222",0.0,931.91,1697.32,27.29,52.88,3.2
2019-02-03,"-16,642841","-49,220222",0.0,931.3,2075.37,27.8,59.08,3.41
2019-02-04,"-16,642841","-49,220222",33.4,931.5,1704.5,24.56,67.33,5.24
2019-02-05,"-16,642841","-49,220222",0.6,930.62,1895.75,26.16,56.96,3.49
2019-02-06,"-16,642841","-49,220222",36.4,931.14,1366.45,23.47,79.21,3.98
2019-02-07,"-16,642841","-49,220222",0.2,929.92,936.7,23.97,77.58,2.8
2019-02-08,"-16,642841","-49,220222",25.0,929.64,1207.88,24.33,80.67,3.13
2019-02-09,"-16,642841","-49,220222",1.6,929.82,1678.21,25.1,77.92,2.99
2019-02-10,"-16,642841","-49,220222",15.2,930.54,1169.08,23.74,79.17,3.6
2019-02-11,"-16,642841","-49,220222",10.2,931.87,1538.15,24.65,75.96,3.12
2019-02-12,"-16,642841","-49,220222",13.4,932.7,1477.7,24.5,78.25,4.16
2019-02-13,"-16,642841","-49,220222",2.4,931.68,1266.11,23.91,77.42,3.23
2019-02-14,"-16,642841","-49,220222",0.0,931.18,1883.88,26.22,67.12,4.02
2019-02-15,"-16,642841","-49,220222",0.4,931.48,1499.81,25.48,70.83,3.56
2019-02-16,"-16,642841","-49,220222",10.0,929.63,599.1,23.5,80.33,5.22
2019-02-17,"-16,642841","-49,220222",28.4,930.22,423.82,21.64,89.75,3.74
2019-02-18,"-16,642841","-49,220222",9.0,932.19,975.78,22.2,84.21,4.78
2019-02-19,"-16,642841","-49,220222",0.0,932.3,1669.95,23.75,75.83,4.03
2019-02-20,"-16,642841","-49,220222",0.0,931.19,1534.22,24.31,75.08,3.68
2019-02-21,"-16,642841","-49,220222",18.6,931.82,1354.05,24.11,76.33,3.77
2019-02-22,"-16,642841","-49,220222",0.6,932.66,1268.32,24.33,77.38,3.64
2019-02-23,"-16,642841","-49,220222",3.8,932.59,1711.85,24.52,72.5,4.77
2019-02-24,"-16,642841","-49,220222",2.0,930.84,1267.35,24.59,75.62,3.67
2019-02-25,"-16,642841","-49,220222",7.8,930.68,1103.06,23.8,78.21,3.6
2019-02-26,"-16,642841","-49,220222",1.4,931.53,1744.44,24.24,73.58,4.77
2019-02-27,"-16,642841","-49,220222",1.4,931.75,1704.58,24.77,75.04,3.38
2019-02-28,"-16,642841","-49,220222",1.6,932.61,1375.28,23.91,78.88,3.59
2019-03-01,"-16,642841","-49,220222",0.0,932.6,1644.08,24.54,73.0,4.58
2019-03-02,"-16,642841","-49,220222",27.2,933.62,461.05,22.25,85.75,3.02
