Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2020-01-01,"-2,52666666","-44,21361111",0.0,1004.82,1396.54,26.14,88.96,3.6
2020-01-02,"-2,52666666","-44,21361111",0.0,1004.83,1183.92,26.1,88.54,5.0
2020-01-03,"-2,52666666","-44,21361111",0.0,1005.63,2115.75,26.65,87.96,3.87
2020-01-04,"-2,52666666","-44,21361111",0.0,1006.38,730.98,25.93,93.29,2.95
2020-01-05,"-2,52666666","-44,21361111",0.0,1005.61,1810.53,26.31,86.62,3.9
2020-01-06,"-2,52666666","-44,21361111",0.0,1005.36,863.57,25.46,92.71,3.13
2020-01-07,"-2,52666666","-44,21361111",0.0,1006.58,1280.72,25.82,89.71,3.84
2020-01-08,"-2,52666666","-44,21361111",0.0,1006.16,3428.66,26.95,83.25,5.21
2020-01-09,"-2,52666666","-44,21361111",0.0,1005.73,2224.8,27.28,82.46,5.7
2020-01-10,"-2,52666666","-44,21361111",0.0,1006.02,3144.82,26.94,81.43,5.2
2020-01-11,"-2,52666666","-44,21361111",0.0,1005.21,1428.99,25.75,90.38,5.23
2020-01-12,"-2,52666666","-44,21361111",0.0,1005.66,1973.92,26.65,83.17,4.98
2020-01-13,"-2,52666666","-44,21361111",0.0,1005.42,3290.95,26.52,84.12,5.16
2020-01-14,"-2,52666666","-44,21361111",0.0,1005.05,2288.56,25.76,89.04,4.52
2020-01-15,"-2,52666666","-44,21361111",0.0,1005.1,2092.96,24.87,89.71,5.44
2020-01-16,"-2,52666666","-44,21361111",0.0,1005.78,2730.04,26.75,85.17,4.81
2020-01-17,"-2,52666666","-44,21361111",0.0,1006.44,2264.7,26.8,85.04,4.4
2020-01-18,"-2,52666666","-44,21361111",0.0,1006.21,2197.47,26.45,89.25,4.02
2020-01-19,"-2,52666666","-44,21361111",0.0,1006.08,548.77,24.1,96.33,3.63
2020-01-20,"-2,52666666","-44,21361111",0.0,1004.68,2516.15,26.21,85.29,4.55
2020-01-21,"-2,52666666","-44,21361111",0.0,1004.34,2248.94,25.55,90.46,5.28
2020-01-22,"-2,52666666","-44,21361111",0.0,1004.05,1815.49,26.62,83.67,4.98
2020-01-23,"-2,52666666","-44,21361111",0.0,1004.05,2613.13,27.3,83.5,5.12
2020-01-24,"-2,52666666","-44,21361111",0.0,1004.7,2450.32,26.68,89.25,3.86
2020-01-25,"-2,52666666","-44,21361111",0.0,1004.68,2463.24,27.72,82.92,4.24
2020-01-26,"-2,52666666","-44,21361111",0.0,1004.91,2513.11,27.77,84.79,5.15
2020-01-27,"-2,52666666","-44,21361111",0.0,1006.2,1471.29,26.02,91.54,4.16
2020-01-28,"-2,52666666","-44,21361111",0.0,1005.92,1380.03,26.11,90.83,3.79
2020-01-29,"-2,52666666","-44,21361111",0.0,1005.51,1512.6,26.69,87.5,3.5
2020-01-30,"-2,52666666","-44,21361111",0.0,1006.12,734.14,25.68,94.0,3.32
2020-01-31,"-2,52666666","-44,21361111",0.0,1007.28,1598.58,25.71,87.04,5.88
2020-02-01,"-2,52666666","-44,21361111",0.0,1007.39,2053.48,25.6,86.75,4.69
2020-02-02,"-2,52666666","-44,21361111",0.0,1006.36,2291.26,26.95,83.46,4.78
2020-02-03,"-2,52666666","-44,21361111",0.0,1006.73,2109.73,27.18,83.75,5.62
2020-02-04,"-2,52666666","-44,21361111",0.0,1006.33,1929.28,26.54,87.83,4.88
2020-02-05,"-2,52666666","-44,21361111",0.0,1007.0,790.76,24.12,94.25,4.3
2020-02-06,"-2,52666666","-44,21361111",0.0,1006.25,2087.81,25.25,88.88,2.93
2020-02-07,"-2,52666666","-44,21361111",0.0,1004.62,2207.75,26.62,86.12,4.38
2020-02-08,"-2,52666666","-44,21361111",0.0,1004.98,2113.21,26.65,83.38,6.41
2020-02-09,"-2,52666666","-44,21361111",0.0,1006.9,2011.35,26.43,86.92,4.47
2020-02-10,"-2,52666666","-44,21361111",0.0,1007.23,805.37,26.31,91.29,3.69
2020-02-11,"-2,52666666","-44,21361111",0.0,1005.69,1163.06,26.51,88.75,4.83
2020-02-12,"-2,52666666","-44,21361111",0.0,1004.77,1680.55,27.25,85.75,5.62
2020-02-13,"-2,52666666","-44,21361111",0.0,1004.76,1872.44,26.65,87.0,4.25
2020-02-14,"-2,52666666","-44,21361111",0.0,1005.11,1471.7,26.27,85.71,5.19
2020-02-15,"-2,52666666","-44,21361111",0.0,1005.62,1323.38,25.68,89.75,3.13
2020-02-16,"-2,52666666","-44,21361111",0.0,1005.12,2294.39,25.9,88.75,3.48
2020-02-17,"-2,52666666","-44,21361111",0.0,1004.68,2297.79,26.71,87.83,4.15
2020-02-18,"-2,52666666","-44,21361111",0.0,1004.59,2473.92,26.85,86.79,4.72
2020-02-19,"-2,52666666","-44,21361111",0.0,1003.76,2079.16,26.58,88.62,5.46
2020-02-20,"-2,52666666","-44,21361111",0.0,1003.35,1759.81,26.19,87.21,5.29
2020-02-21,"-2,52666666","-44,21361111",0.0,1004.78,464.93,25.07,93.96,2.61
2020-02-22,"-2,52666666","-44,21361111",0.0,1006.24,808.46,25.11,92.58,3.38
2020-02-23,"-2,52666666","-44,21361111",0.0,1006.44,1506.74,26.01,86.33,4.75
2020-02-24,"-2,52666666","-44,21361111",0.0,1004.84,2289.73,27.31,85.75,5.23
