Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2020-01-01,"-1,411228","-48,439512",24.0,1008.4,523.62,24.94,88.08,2.44
2020-01-02,"-1,411228","-48,439512",15.0,1008.47,596.33,25.82,86.38,3.06
2020-01-03,"-1,411228","-48,439512",66.4,1009.4,434.75,25.57,88.58,2.25
2020-01-04,"-1,411228","-48,439512",0.2,1009.97,526.55,26.3,84.78,2.9
2020-01-05,"-1,411228","-48,439512",6.6,1009.13,472.65,25.88,85.57,3.37
2020-01-06,"-1,411228","-48,439512",9.8,1009.29,243.74,25.12,90.5,2.51
2020-01-07,"-1,411228","-48,439512",0.2,1010.12,630.71,24.96,86.05,3.08
2020-01-08,"-1,411228","-48,439512",32.8,1009.91,714.88,27.02,80.5,4.95
2020-01-09,"-1,411228","-48,439512",4.6,1009.35,732.64,26.98,81.79,2.82
2020-01-10,"-1,411228","-48,439512",2.6,1009.25,626.88,27.14,80.79,4.16
2020-01-11,"-1,411228","-48,439512",13.4,1008.74,465.06,26.17,82.08,3.84
2020-01-12,"-1,411228","-48,439512",17.8,1009.8,614.42,25.52,83.04,3.64
2020-01-13,"-1,411228","-48,439512",15.2,1009.28,632.65,26.0,83.38,3.6
2020-01-14,"-1,411228","-48,439512",17.8,1008.85,398.19,25.4,88.38,2.38
2020-01-15,"-1,411228","-48,439512",2.4,1008.31,529.28,26.07,84.58,2.9
2020-01-16,"-1,411228","-48,439512",22.4,1008.95,781.85,27.25,82.46,3.77
2020-01-17,"-1,411228","-48,439512",18.0,1009.96,507.22,26.22,86.54,2.5
2020-01-18,"-1,411228","-48,439512",0.6,1009.62,476.91,26.89,84.25,2.95
2020-01-19,"-1,411228","-48,439512",20.2,1009.32,419.81,25.96,85.5,4.23
2020-01-20,"-1,411228","-48,439512",0.2,1008.44,534.69,26.05,82.04,3.91
2020-01-21,"-1,411228","-48,439512",6.8,1008.06,453.92,26.25,82.29,4.23
2020-01-22,"-1,411228","-48,439512",3.8,1007.56,374.15,26.35,82.62,3.6
2020-01-23,"-1,411228","-48,439512",3.8,1007.89,479.63,26.36,82.5,3.32
2020-01-24,"-1,411228","-48,439512",29.4,1008.05,563.81,27.05,83.88,3.29
2020-01-25,"-1,411228","-48,439512",17.6,1008.48,480.09,26.78,86.75,2.82
2020-01-26,"-1,411228","-48,439512",7.0,1008.98,604.19,27.1,83.67,3.22
2020-01-27,"-1,411228","-48,439512",4.6,1010.14,320.72,25.91,85.67,3.23
2020-01-28,"-1,411228","-48,439512",31.0,1009.09,345.08,25.82,87.38,2.94
2020-01-29,"-1,411228","-48,439512",4.6,1009.09,708.45,26.2,85.04,3.81
2020-01-30,"-1,411228","-48,439512",39.2,1009.67,582.1,25.72,86.21,3.36
2020-01-31,"-1,411228","-48,439512",17.8,1010.63,494.67,25.56,84.96,3.59
2020-02-01,"-1,411228","-48,439512",0.8,1010.59,559.27,26.89,81.54,4.47
2020-02-02,"-1,411228","-48,439512",3.2,1009.55,725.81,27.45,80.92,3.78
2020-02-03,"-1,411228","-48,439512",20.2,1010.07,557.49,26.33,85.42,3.45
2020-02-04,"-1,411228","-48,439512",2.2,1010.32,391.45,25.87,85.83,3.31
2020-02-05,"-1,411228","-48,439512",18.8,1010.3,486.73,25.61,84.46,3.68
2020-02-06,"-1,411228","-48,439512",12.4,1009.83,560.94,25.02,86.79,4.27
2020-02-07,"-1,411228","-48,439512",25.8,1008.59,411.8,25.07,86.96,3.2
2020-02-08,"-1,411228","-48,439512",22.0,1008.98,271.27,24.67,89.83,2.6
2020-02-09,"-1,411228","-48,439512",37.6,1010.52,508.48,25.43,86.79,2.64
2020-02-10,"-1,411228","-48,439512",1.8,1010.66,469.95,26.28,87.21,2.91
2020-02-11,"-1,411228","-48,439512",17.0,1009.08,514.5,26.4,85.17,4.11
2020-02-12,"-1,411228","-48,439512",12.4,1008.55,566.11,26.15,87.42,3.83
2020-02-13,"-1,411228","-48,439512",42.2,1008.26,665.42,26.89,85.08,2.81
2020-02-14,"-1,411228","-48,439512",5.8,1008.78,429.08,25.9,86.38,2.97
2020-02-15,"-1,411228","-48,439512",20.8,1009.18,649.23,25.9,85.5,2.8
2020-02-16,"-1,411228","-48,439512",3.6,1008.62,380.32,25.52,86.79,3.2
2020-02-17,"-1,411228","-48,439512",56.0,1008.36,418.85,25.58,88.21,2.71
2020-02-18,"-1,411228","-48,439512",82.2,1008.32,514.11,25.89,87.5,3.3
2020-02-19,"-1,411228","-48,439512",21.6,1007.48,378.66,25.5,88.38,2.85
2020-02-20,"-1,411228","-48,439512",26.0,1007.39,126.42,24.74,92.12,1.94
2020-02-21,"-1,411228","-48,439512",5.6,1008.6,323.02,25.46,86.08,1.83
2020-02-22,"-1,411228","-48,439512",4.0,1009.74,459.64,26.16,85.21,2.26
2020-02-23,"-1,411228","-48,439512",0.0,1009.34,808.45,27.68,78.29,4.2
2020-02-24,"-1,411228","-48,439512",1.4,1008.29,622.46,27.73,80.79,3.92
2020-02-25,"-1,411228","-48,439512",43.0,1008.35,360.64,26.34,88.25,2.98
2020-02-26,"-1,411228","-48,439512",3.6,1008.4,263.56,26.31,88.92,2.66
2020-02-27,"-1,411228","-48,439512",32.8,1009.5,439.39,26.2,83.88,3.87
2020-02-28,"-1,411228","-48,439512",23.0,1010.23,352.38,25.66,87.67,3.73
2020-02-29,"-1,411228","-48,439512",8.0,1011.04,414.55,25.57,85.88,2.59
2020-03-01,"-1,411228","-48,439512",3.0,1010.3,881.34,27.18,80.92,3.75
2020-03-02,"-1,411228","-48,439512",14.2,1009.42,493.6,26.27,84.96,3.65
2020-03-03,"-1,411228","-48,439512",45.8,1009.65,287.25,25.56,89.0,1.89
2020-03-04,"-1,411228","-48,439512",15.6,1010.96,511.44,25.52,85.17,3.03
2020-03-05,"-1,411228","-48,439512",0.0,1010.9,893.16,27.6,74.54,3.49
2020-03-06,"-1,411228","-48,439512",5.6,1010.08,468.77,26.48,84.46,3.34
2020-03-07,"-1,411228","-48,439512",144.4,1008.9,97.22,24.64,92.08,2.6
2020-03-08,"-1,411228","-48,439512",43.0,1008.57,431.67,25.39,88.83,2.75
2020-03-09,"-1,411228","-48,439512",151.4,1010.39,426.52,25.27,89.09,3.39
2020-03-10,"-1,411228","-48,439512",18.6,1010.7,268.12,19.0,92.86,2.96
2020-03-11,"-1,411228","-48,439512",6.2,1008.92,257.93,10.15,98.6,2.44
2020-03-25,"-1,411228","-48,439512",3.4,1007.93,1460.72,30.19,65.73,3.97
2020-03-26,"-1,411228","-48,439512",12.0,1007.53,1297.7,27.03,83.52,3.41
2020-03-27,"-1,411228","-48,439512",13.8,1006.46,1008.93,26.6,83.71,3.22
2020-03-28,"-1,411228","-48,439512",2.8,1007.36,1038.08,26.72,84.0,3.45
2020-03-29,"-1,411228","-48,439512",50.4,1007.57,880.93,27.01,86.46,3.07
2020-03-30,"-1,411228","-48,439512",10.2,1007.08,1002.35,26.7,86.04,3.31
2020-03-31,"-1,411228","-48,439512",30.0,1006.32,1071.01,26.62,85.86,2.59
2020-04-01,"-1,411228","-48,439512",9.8,1007.47,622.52,26.08,87.58,2.65
2020-04-02,"-1,411228","-48,439512",0.0,1008.72,774.81,27.02,84.12,3.57
2020-04-03,"-1,411228","-48,439512",8.2,1008.63,763.76,27.03,85.38,2.95
2020-04-04,"-1,411228","-48,439512",20.2,1007.58,774.0,26.56,86.88,2.94
2020-04-05,"-1,411228","-48,439512",17.6,1008.32,1007.9,27.02,85.04,3.58
2020-04-06,"-1,411228","-48,439512",23.0,1009.03,912.59,26.7,87.33,2.83
2020-04-07,"-1,411228","-48,439512",26.4,1008.45,1086.45,26.8,86.79,3.47
2020-04-08,"-1,411228","-48,439512",13.6,1008.56,532.82,26.35,89.29,1.97
2020-04-09,"-1,411228","-48,439512",4.8,1007.88,918.61,26.72,83.79,4.5
2020-04-10,"-1,411228","-48,439512",12.8,1008.96,670.82,26.35,87.54,2.63
2020-04-11,"-1,411228","-48,439512",15.2,1008.76,1012.5,26.6,84.5,2.62
2020-04-12,"-1,411228","-48,439512",10.0,1009.45,565.73,26.02,88.5,2.73
2020-04-13,"-1,411228","-48,439512",2.0,1009.4,1249.43,26.92,80.42,3.49
2020-04-14,"-1,411228","-48,439512",73.0,1009.5,304.35,24.42,90.88,3.05
2020-04-15,"-1,411228","-48,439512",0.6,1009.09,555.73,25.3,87.58,1.24
2020-04-16,"-1,411228","-48,439512",0.8,1010.28,1084.46,27.02,82.12,1.64
2020-04-17,"-1,411228","-48,439512",89.0,1011.63,331.89,25.09,90.08,2.07
2020-04-18,"-1,411228","-48,439512",7.2,1011.18,1026.24,26.2,85.67,2.54
2020-04-19,"-1,411228","-48,439512",5.6,1010.13,1014.7,26.85,84.42,2.57
2020-04-20,"-1,411228","-48,439512",9.4,1009.98,939.74,26.83,81.58,3.31
2020-04-21,"-1,411228","-48,439512",1.2,1010.48,1490.78,27.25,78.75,3.97
2020-04-22,"-1,411228","-48,439512",3.6,1009.61,1221.07,26.92,80.79,3.0
2020-04-23,"-1,411228","-48,439512",27.4,1009.35,1421.91,27.15,80.67,3.4
2020-04-24,"-1,411228","-48,439512",10.4,1009.2,1044.44,26.98,81.83,3.39
2020-04-25,"-1,411228","-48,439512",1.6,1009.21,1319.24,26.69,82.71,2.37
2020-04-26,"-1,411228","-48,439512",7.6,1009.64,1049.65,26.83,83.62,3.06
2020-04-27,"-1,411228","-48,439512",0.0,1010.13,894.75,26.42,83.88,2.41
2020-04-28,"-1,411228","-48,439512",5.0,1009.72,896.44,26.65,82.79,2.88
2020-04-29,"-1,411228","-48,439512",16.4,1010.07,813.84,26.23,86.96,3.64
2020-04-30,"-1,411228","-48,439512",21.6,1010.75,686.42,25.96,87.92,2.82
2020-05-01,"-1,411228","-48,439512",43.6,1010.85,923.16,25.92,86.96,3.02
2020-05-02,"-1,411228","-48,439512",9.8,1010.5,1316.06,27.2,81.29,2.63
2020-05-03,"-1,411228","-48,439512",3.4,1008.68,847.63,26.63,85.42,2.76
2020-05-04,"-1,411228","-48,439512",85.2,1007.29,1021.81,26.75,85.75,2.49
2020-05-05,"-1,411228","-48,439512",3.4,1007.45,825.59,26.43,86.83,2.78
2020-05-06,"-1,411228","-48,439512",6.2,1008.18,1251.27,27.08,82.42,4.14
2020-05-07,"-1,411228","-48,439512",1.2,1008.81,867.62,26.76,85.17,3.09
2020-05-08,"-1,411228","-48,439512",0.8,1010.31,825.79,27.52,82.96,2.56
2020-05-09,"-1,411228","-48,439512",32.6,1010.48,722.94,26.96,84.88,3.75
2020-05-10,"-1,411228","-48,439512",20.4,1010.64,885.5,26.98,82.96,3.05
2020-05-11,"-1,411228","-48,439512",30.6,1010.21,748.31,25.77,88.21,4.09
2020-05-12,"-1,411228","-48,439512",21.6,1009.18,1295.32,26.69,81.96,3.62
2020-05-13,"-1,411228","-48,439512",0.2,1008.55,992.19,27.75,79.96,3.46
2020-05-14,"-1,411228","-48,439512",0.6,1008.88,1133.46,28.18,79.71,3.28
2020-05-15,"-1,411228","-48,439512",0.2,1010.01,668.0,26.98,79.92,3.01
2020-05-16,"-1,411228","-48,439512",10.0,1010.4,633.97,25.92,87.0,2.71
2020-05-17,"-1,411228","-48,439512",8.2,1009.85,1030.16,26.88,82.88,3.37
2020-05-18,"-1,411228","-48,439512",0.2,1010.13,1125.98,27.9,78.92,3.35
2020-05-19,"-1,411228","-48,439512",7.2,1010.1,1183.91,27.18,81.29,4.02
2020-05-20,"-1,411228","-48,439512",2.4,1009.78,1256.76,26.95,83.71,3.62
2020-05-21,"-1,411228","-48,439512",65.0,1010.57,581.44,26.12,85.25,5.07
2020-05-22,"-1,411228","-48,439512",12.8,1010.57,680.88,25.94,87.21,3.78
