Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-9,55111111","-35,77027777",0.0,1004.62,1838.92,26.1,,5.42
2021-01-02,"-9,55111111","-35,77027777",0.0,1003.3,2074.65,26.59,,5.45
2021-01-03,"-9,55111111","-35,77027777",0.2,1002.38,1937.33,26.54,,5.93
2021-01-04,"-9,55111111","-35,77027777",0.0,1003.15,1176.2,25.05,,4.74
2021-01-05,"-9,55111111","-35,77027777",0.0,1004.21,1970.48,26.33,,4.47
2021-01-06,"-9,55111111","-35,77027777",0.2,1003.51,1770.23,26.02,,5.35
2021-01-07,"-9,55111111","-35,77027777",0.0,1003.76,1575.25,26.59,,5.82
2021-01-08,"-9,55111111","-35,77027777",0.0,1003.35,1804.12,26.92,,6.15
2021-01-09,"-9,55111111","-35,77027777",0.0,1002.36,1862.85,27.04,,7.14
2021-01-10,"-9,55111111","-35,77027777",0.0,1002.8,1725.02,26.93,,6.54
2021-01-11,"-9,55111111","-35,77027777",0.0,1002.92,1595.21,27.07,,5.93
2021-01-12,"-9,55111111","-35,77027777",0.0,1002.91,1572.42,26.85,,5.55
2021-01-13,"-9,55111111","-35,77027777",0.4,1003.19,1114.21,26.42,,5.5
2021-01-14,"-9,55111111","-35,77027777",0.2,1002.87,2046.24,26.83,,6.12
2021-01-15,"-9,55111111","-35,77027777",0.0,1002.86,1648.04,26.78,,6.2
2021-01-16,"-9,55111111","-35,77027777",0.0,1002.16,1840.5,26.59,,5.31
2021-01-17,"-9,55111111","-35,77027777",0.4,1002.48,1799.79,25.89,,5.95
2021-01-18,"-9,55111111","-35,77027777",0.2,1002.81,2091.52,26.18,,5.6
2021-01-19,"-9,55111111","-35,77027777",0.0,1003.49,1696.92,25.93,,5.62
2021-01-20,"-9,55111111","-35,77027777",0.2,1003.45,1389.2,26.02,,5.8
2021-01-21,"-9,55111111","-35,77027777",0.0,1004.5,838.3,25.02,,4.69
2021-01-22,"-9,55111111","-35,77027777",0.2,1005.52,1698.84,25.95,,4.38
2021-01-23,"-9,55111111","-35,77027777",0.0,1005.1,1016.46,25.79,,5.0
2021-01-24,"-9,55111111","-35,77027777",0.2,1003.67,1497.95,26.0,,5.3
2021-01-25,"-9,55111111","-35,77027777",0.0,1002.94,1549.49,26.32,,5.3
2021-01-26,"-9,55111111","-35,77027777",0.2,1003.46,1465.46,25.32,,6.07
