Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-3,81583333","-38,53777777",0.0,1009.14,1514.19,28.78,65.67,7.95
2021-01-02,"-3,81583333","-38,53777777",1.0,1008.29,1483.69,28.15,68.38,6.65
2021-01-03,"-3,81583333","-38,53777777",0.0,1007.06,1381.53,28.55,68.38,7.3
2021-01-04,"-3,81583333","-38,53777777",3.2,1007.3,1495.96,28.36,70.12,7.51
2021-01-05,"-3,81583333","-38,53777777",13.0,1008.31,1468.28,27.9,70.46,7.17
2021-01-06,"-3,81583333","-38,53777777",0.0,1008.01,1337.83,28.28,67.62,7.52
2021-01-07,"-3,81583333","-38,53777777",0.0,1008.1,1417.19,28.78,67.33,8.14
2021-01-08,"-3,81583333","-38,53777777",0.0,1008.29,1424.28,28.52,67.42,8.65
2021-01-09,"-3,81583333","-38,53777777",0.2,1008.0,1405.51,28.3,66.79,7.88
2021-01-10,"-3,81583333","-38,53777777",0.0,1008.77,1426.39,28.32,65.71,6.35
2021-01-11,"-3,81583333","-38,53777777",0.0,1008.7,1543.02,27.95,66.5,5.04
2021-01-12,"-3,81583333","-38,53777777",0.2,1008.62,1429.22,28.14,66.38,5.91
2021-01-13,"-3,81583333","-38,53777777",0.0,1008.4,1323.58,28.26,66.38,6.48
2021-01-14,"-3,81583333","-38,53777777",1.2,1008.23,1279.88,27.81,68.79,7.28
2021-01-15,"-3,81583333","-38,53777777",0.2,1007.2,1533.88,28.51,66.88,7.45
2021-01-16,"-3,81583333","-38,53777777",0.0,1006.22,1522.11,28.56,66.5,8.04
2021-01-17,"-3,81583333","-38,53777777",2.0,1006.39,1385.82,28.1,66.42,7.92
2021-01-18,"-3,81583333","-38,53777777",5.0,1007.11,1066.3,27.63,70.42,7.56
2021-01-19,"-3,81583333","-38,53777777",29.4,1008.05,352.12,25.95,79.5,5.37
2021-01-20,"-3,81583333","-38,53777777",4.6,1008.08,252.43,25.33,85.25,3.75
2021-01-21,"-3,81583333","-38,53777777",4.8,1008.4,688.72,26.65,79.71,4.92
2021-01-22,"-3,81583333","-38,53777777",1.0,1009.36,751.89,27.69,70.58,6.73
2021-01-23,"-3,81583333","-38,53777777",0.8,1008.81,742.22,27.76,71.92,6.07
2021-01-24,"-3,81583333","-38,53777777",1.4,1007.51,819.39,28.14,68.46,8.27
2021-01-25,"-3,81583333","-38,53777777",20.0,1006.91,460.47,26.95,78.79,6.22
2021-01-26,"-3,81583333","-38,53777777",5.6,1007.29,831.73,27.78,72.04,7.26
2021-01-27,"-3,81583333","-38,53777777",0.2,1007.34,1235.12,27.88,71.83,5.66
2021-01-28,"-3,81583333","-38,53777777",8.2,1007.38,1045.51,27.68,73.46,6.55
2021-01-29,"-3,81583333","-38,53777777",3.6,1008.17,884.3,27.7,72.79,6.98
2021-01-30,"-3,81583333","-38,53777777",16.2,1008.43,735.38,27.63,73.12,7.71
2021-01-31,"-3,81583333","-38,53777777",0.0,1008.42,860.68,27.66,72.67,6.22
2021-02-01,"-3,81583333","-38,53777777",0.8,1007.66,1136.12,27.86,71.12,8.4
2021-02-02,"-3,81583333","-38,53777777",0.0,1008.49,1382.61,28.14,66.38,8.27
2021-02-03,"-3,81583333","-38,53777777",0.0,1008.87,1263.15,27.82,68.62,7.54
2021-02-04,"-3,81583333","-38,53777777",0.4,1009.11,1459.14,28.23,68.04,7.7
2021-02-05,"-3,81583333","-38,53777777",0.0,1008.38,1464.28,27.73,70.71,6.7
2021-02-06,"-3,81583333","-38,53777777",0.0,1008.27,1519.36,28.29,67.71,7.04
2021-02-07,"-3,81583333","-38,53777777",0.0,1008.11,1598.71,28.26,70.61,5.79
2021-02-08,"-3,81583333","-38,53777777",10.0,1007.53,1308.76,28.16,73.38,6.46
2021-02-09,"-3,81583333","-38,53777777",0.0,1007.83,962.43,28.17,72.92,5.76
2021-02-10,"-3,81583333","-38,53777777",1.8,1007.28,1274.2,28.26,73.33,6.3
2021-02-11,"-3,81583333","-38,53777777",0.4,1007.26,1317.52,28.87,71.12,8.02
2021-02-12,"-3,81583333","-38,53777777",11.8,1007.57,1339.39,28.2,72.46,7.79
