Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-2,52666666","-44,21361111",0.0,1005.78,1825.68,26.61,87.38,4.28
2021-01-02,"-2,52666666","-44,21361111",0.0,1004.33,2544.56,27.28,81.83,5.83
2021-01-03,"-2,52666666","-44,21361111",0.0,1003.34,3014.28,28.0,75.62,7.93
2021-01-04,"-2,52666666","-44,21361111",0.0,1003.68,2402.39,27.61,78.21,6.58
2021-01-05,"-2,52666666","-44,21361111",0.0,1004.34,2007.79,27.72,78.17,5.79
2021-01-06,"-2,52666666","-44,21361111",0.0,1004.03,2252.2,28.0,76.09,6.7
2021-01-07,"-2,52666666","-44,21361111",0.0,1004.17,2820.35,27.48,80.38,6.06
2021-01-08,"-2,52666666","-44,21361111",0.0,1004.3,2420.73,28.06,75.79,7.28
2021-01-09,"-2,52666666","-44,21361111",0.0,1004.29,2207.87,28.15,72.17,7.61
2021-01-10,"-2,52666666","-44,21361111",0.0,1004.98,1708.01,28.22,74.0,7.43
2021-01-11,"-2,52666666","-44,21361111",0.0,1005.0,1972.24,27.92,76.04,6.69
2021-01-12,"-2,52666666","-44,21361111",0.0,1004.98,1814.8,27.78,77.21,6.57
2021-01-13,"-2,52666666","-44,21361111",0.0,1004.75,2108.38,27.55,76.79,5.57
2021-01-14,"-2,52666666","-44,21361111",0.0,1004.12,1786.2,27.65,75.83,7.42
2021-01-15,"-2,52666666","-44,21361111",0.0,1003.5,1234.9,27.95,73.38,6.8
2021-01-16,"-2,52666666","-44,21361111",0.0,1002.62,1726.3,27.77,76.04,5.88
2021-01-17,"-2,52666666","-44,21361111",0.0,1003.01,1290.22,27.19,80.71,5.49
2021-01-18,"-2,52666666","-44,21361111",0.0,1003.88,926.9,25.43,92.88,3.84
2021-01-19,"-2,52666666","-44,21361111",0.0,1004.0,2988.1,25.93,86.21,4.78
2021-01-20,"-2,52666666","-44,21361111",0.0,1004.75,1562.02,24.34,92.83,4.58
2021-01-21,"-2,52666666","-44,21361111",0.0,1004.6,1983.88,25.84,83.79,5.53
2021-01-22,"-2,52666666","-44,21361111",0.0,1005.6,3536.74,27.34,78.71,6.09
2021-01-23,"-2,52666666","-44,21361111",0.0,1005.39,2591.64,26.67,84.13,4.48
2021-01-24,"-2,52666666","-44,21361111",0.0,1004.52,1428.21,25.07,89.0,5.67
2021-01-25,"-2,52666666","-44,21361111",0.0,1003.62,841.74,26.23,89.25,4.36
2021-01-26,"-2,52666666","-44,21361111",0.0,1004.03,1436.77,26.18,88.67,4.45
2021-01-27,"-2,52666666","-44,21361111",0.0,1003.8,2774.73,27.03,83.35,4.87
2021-01-28,"-2,52666666","-44,21361111",0.0,1003.89,1676.85,26.57,85.25,5.28
2021-01-29,"-2,52666666","-44,21361111",0.0,1004.29,813.03,25.72,88.74,5.4
2021-01-30,"-2,52666666","-44,21361111",0.0,1004.5,3107.19,27.75,78.96,6.72
2021-01-31,"-2,52666666","-44,21361111",0.0,1004.76,2701.89,27.33,80.54,5.15
2021-02-01,"-2,52666666","-44,21361111",0.0,1003.9,2878.72,27.71,80.04,6.21
2021-02-02,"-2,52666666","-44,21361111",0.0,1004.32,2477.02,28.0,75.42,6.69
2021-02-03,"-2,52666666","-44,21361111",0.0,1004.88,2963.23,27.41,77.62,5.64
2021-02-04,"-2,52666666","-44,21361111",0.0,1005.25,2659.86,28.07,74.79,6.92
2021-02-05,"-2,52666666","-44,21361111",0.0,1004.54,3017.94,27.39,74.92,6.91
2021-02-06,"-2,52666666","-44,21361111",0.0,1004.34,3425.64,28.08,73.04,7.68
2021-02-07,"-2,52666666","-44,21361111",0.0,1004.55,3324.88,27.81,79.46,5.2
2021-02-08,"-2,52666666","-44,21361111",0.0,1004.44,4237.38,28.16,77.04,7.17
2021-02-09,"-2,52666666","-44,21361111",0.0,1004.36,1301.52,27.02,84.33,4.82
2021-02-10,"-2,52666666","-44,21361111",0.0,1004.1,971.17,26.46,88.62,4.16
2021-02-11,"-2,52666666","-44,21361111",0.0,1004.12,265.4,26.34,89.5,3.92
2021-02-12,"-2,52666666","-44,21361111",0.0,1004.19,1419.26,26.39,87.46,6.54
2021-02-13,"-2,52666666","-44,21361111",0.0,1003.48,1082.84,27.36,84.04,5.17
2021-02-14,"-2,52666666","-44,21361111",0.0,1003.48,380.73,27.69,81.5,6.32
2021-02-15,"-2,52666666","-44,21361111",0.0,1003.6,,26.75,85.88,4.9
2021-02-16,"-2,52666666","-44,21361111",0.0,1005.15,1424.97,24.7,94.88,3.67
2021-02-17,"-2,52666666","-44,21361111",0.0,1005.21,1383.21,23.97,95.62,3.37
2021-02-18,"-2,52666666","-44,21361111",0.0,1005.08,859.69,24.88,90.96,3.0
2021-02-19,"-2,52666666","-44,21361111",0.0,1006.16,1226.93,24.8,90.75,3.19
2021-02-20,"-2,52666666","-44,21361111",0.0,1006.15,2765.9,25.78,88.38,4.8
2021-02-21,"-2,52666666","-44,21361111",0.0,1004.72,1397.07,25.65,90.96,3.07
2021-02-22,"-2,52666666","-44,21361111",0.0,1005.17,699.78,24.86,94.17,3.26
2021-02-23,"-2,52666666","-44,21361111",0.0,1006.37,483.95,24.89,89.92,3.54
2021-02-24,"-2,52666666","-44,21361111",0.0,1005.73,178.47,26.17,86.25,4.49
2021-02-25,"-2,52666666","-44,21361111",0.0,1004.13,300.0,26.59,83.67,5.37
2021-02-26,"-2,52666666","-44,21361111",0.0,1003.11,598.2,26.46,85.92,5.52
2021-02-27,"-2,52666666","-44,21361111",0.0,1003.79,,25.73,88.54,3.27
2021-02-28,"-2,52666666","-44,21361111",0.0,1002.15,1470.36,26.02,86.12,4.22
2021-03-01,"-2,52666666","-44,21361111",0.0,1001.17,2111.13,26.11,85.83,4.25
