Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-3,10333333","-60,01638888",0.0,1004.6,90.1,27.42,79.0,3.12
2021-01-02,"-3,10333333","-60,01638888",0.0,1004.5,1392.95,30.75,58.0,4.75
2021-01-03,"-3,10333333","-60,01638888",0.0,,,,,
2021-01-04,"-3,10333333","-60,01638888",5.2,1002.42,494.48,27.1,77.0,4.3
2021-01-05,"-3,10333333","-60,01638888",6.2,1002.96,754.78,26.39,83.14,3.72
2021-01-06,"-3,10333333","-60,01638888",2.2,1003.37,773.6,26.64,76.91,4.32
2021-01-07,"-3,10333333","-60,01638888",10.2,1004.25,340.36,26.06,83.27,2.9
2021-01-08,"-3,10333333","-60,01638888",4.4,1004.56,544.67,26.45,84.0,4.35
2021-01-09,"-3,10333333","-60,01638888",52.4,1005.05,553.0,24.88,85.59,3.8
2021-01-10,"-3,10333333","-60,01638888",20.2,1005.47,254.67,24.28,90.05,3.25
2021-01-11,"-3,10333333","-60,01638888",0.0,1005.33,503.19,25.81,82.59,2.28
2021-01-12,"-3,10333333","-60,01638888",0.0,1004.81,554.48,26.7,81.0,2.81
2021-01-13,"-3,10333333","-60,01638888",13.0,1003.83,440.33,26.28,85.09,3.26
2021-01-14,"-3,10333333","-60,01638888",11.8,1002.86,311.4,26.04,87.36,2.21
2021-01-15,"-3,10333333","-60,01638888",4.6,1003.07,403.46,25.53,87.0,3.0
2021-01-16,"-3,10333333","-60,01638888",1.8,1002.31,629.1,26.51,82.95,2.8
2021-01-17,"-3,10333333","-60,01638888",1.2,1002.01,808.0,27.54,77.76,2.8
2021-01-18,"-3,10333333","-60,01638888",54.6,1002.92,199.11,25.63,88.18,3.05
2021-01-19,"-3,10333333","-60,01638888",4.6,1003.42,573.65,25.89,86.59,3.5
2021-01-20,"-3,10333333","-60,01638888",68.4,1004.72,324.81,24.54,89.5,4.02
2021-01-21,"-3,10333333","-60,01638888",0.6,1005.21,371.55,24.9,84.91,3.15
2021-01-22,"-3,10333333","-60,01638888",0.0,1004.82,901.04,26.51,75.45,4.0
2021-01-23,"-3,10333333","-60,01638888",0.0,1004.3,774.85,26.95,76.95,5.1
2021-01-24,"-3,10333333","-60,01638888",0.0,1003.6,549.15,27.51,77.77,2.86
2021-01-25,"-3,10333333","-60,01638888",9.2,1003.71,514.45,26.67,81.77,3.65
2021-01-26,"-3,10333333","-60,01638888",29.0,1003.74,411.14,25.8,83.95,3.47
2021-01-27,"-3,10333333","-60,01638888",2.4,1004.1,480.58,25.55,85.27,3.21
2021-01-28,"-3,10333333","-60,01638888",47.6,1003.39,248.76,25.5,88.45,2.95
2021-01-29,"-3,10333333","-60,01638888",8.2,1003.48,260.74,25.05,88.86,2.35
2021-01-30,"-3,10333333","-60,01638888",5.4,1004.3,432.11,24.92,89.32,3.05
2021-01-31,"-3,10333333","-60,01638888",0.2,1004.04,824.91,27.23,78.18,3.9
2021-02-01,"-3,10333333","-60,01638888",0.0,1002.93,633.0,27.3,78.14,4.4
2021-02-02,"-3,10333333","-60,01638888",7.0,1003.06,317.12,26.43,86.18,2.9
2021-02-03,"-3,10333333","-60,01638888",0.4,1004.57,429.28,25.99,84.41,3.33
2021-02-04,"-3,10333333","-60,01638888",0.0,1003.96,827.15,28.21,75.73,3.84
2021-02-05,"-3,10333333","-60,01638888",0.0,1002.94,725.47,28.6,73.82,3.6
2021-02-06,"-3,10333333","-60,01638888",5.8,1004.44,517.32,27.14,81.5,3.84
2021-02-07,"-3,10333333","-60,01638888",0.4,1004.86,478.19,26.17,84.82,3.24
2021-02-08,"-3,10333333","-60,01638888",2.6,1004.11,442.98,26.08,83.23,2.72
2021-02-09,"-3,10333333","-60,01638888",0.0,1003.5,398.38,26.7,81.18,2.9
2021-02-10,"-3,10333333","-60,01638888",13.0,1003.36,814.76,26.98,77.05,5.38
2021-02-11,"-3,10333333","-60,01638888",10.4,1003.03,628.32,27.1,77.91,4.75
2021-02-12,"-3,10333333","-60,01638888",5.6,1003.31,571.38,25.88,84.14,4.56
2021-02-13,"-3,10333333","-60,01638888",51.6,1003.46,264.61,25.38,88.91,2.97
2021-02-14,"-3,10333333","-60,01638888",51.6,1004.25,99.09,23.96,94.55,2.65
2021-02-15,"-3,10333333","-60,01638888",8.6,1004.87,198.98,24.65,91.91,2.97
2021-02-16,"-3,10333333","-60,01638888",1.2,1004.53,589.82,26.08,82.77,3.34
2021-02-17,"-3,10333333","-60,01638888",7.2,1003.93,753.1,27.26,73.41,4.55
2021-02-18,"-3,10333333","-60,01638888",1.2,1004.1,825.8,28.11,73.64,3.86
2021-02-19,"-3,10333333","-60,01638888",0.0,1003.79,897.37,28.9,65.91,4.76
2021-02-20,"-3,10333333","-60,01638888",57.4,1006.2,216.49,24.23,86.95,4.6
2021-02-21,"-3,10333333","-60,01638888",0.2,1005.14,765.02,26.02,79.36,3.5
2021-02-22,"-3,10333333","-60,01638888",0.0,1004.5,763.66,27.59,72.41,4.76
2021-02-23,"-3,10333333","-60,01638888",0.0,1004.88,701.47,27.51,74.36,5.25
2021-02-24,"-3,10333333","-60,01638888",0.0,1004.22,539.23,27.75,75.68,2.95
2021-02-25,"-3,10333333","-60,01638888",32.2,1004.31,390.09,25.34,86.64,3.5
2021-02-26,"-3,10333333","-60,01638888",1.2,1003.14,306.57,25.35,84.48,3.63
2021-02-27,"-3,10333333","-60,01638888",0.6,1002.9,671.23,26.49,80.0,3.66
2021-02-28,"-3,10333333","-60,01638888",45.0,1002.51,314.63,25.43,85.82,3.05
2021-03-01,"-3,10333333","-60,01638888",0.0,1001.58,420.26,25.9,83.09,3.17
2021-03-02,"-3,10333333","-60,01638888",50.2,1002.9,396.5,25.0,87.24,3.37
2021-03-03,"-3,10333333","-60,01638888",4.8,1005.79,349.03,24.14,89.95,3.69
2021-03-04,"-3,10333333","-60,01638888",0.6,1005.5,716.17,25.5,84.19,3.04
2021-03-05,"-3,10333333","-60,01638888",0.0,1004.36,432.73,26.16,82.86,2.35
2021-03-06,"-3,10333333","-60,01638888",16.6,1004.61,263.81,25.22,88.68,3.21
2021-03-07,"-3,10333333","-60,01638888",0.2,1004.58,655.99,26.36,81.05,3.3
2021-03-08,"-3,10333333","-60,01638888",15.0,1004.55,241.59,25.81,86.41,3.12
2021-03-09,"-3,10333333","-60,01638888",3.0,1004.93,303.95,24.57,89.68,3.54
2021-03-10,"-3,10333333","-60,01638888",53.4,1005.02,490.22,24.26,89.18,2.87
2021-03-11,"-3,10333333","-60,01638888",6.8,1005.7,419.68,24.54,88.64,3.8
2021-03-12,"-3,10333333","-60,01638888",1.2,1005.7,835.15,26.14,78.95,3.31
2021-03-13,"-3,10333333","-60,01638888",20.4,1006.2,488.56,25.85,83.14,2.73
2021-03-14,"-3,10333333","-60,01638888",0.6,1005.68,560.95,26.43,82.41,2.7
2021-03-15,"-3,10333333","-60,01638888",0.2,1004.7,538.2,27.0,82.23,3.23
2021-03-16,"-3,10333333","-60,01638888",0.0,1003.7,684.47,27.34,80.27,3.93
2021-03-17,"-3,10333333","-60,01638888",0.0,1003.3,589.56,26.9,76.0,3.97
2021-03-18,"-3,10333333","-60,01638888",23.2,1004.57,196.72,24.55,89.95,3.1
2021-03-19,"-3,10333333","-60,01638888",14.8,1003.77,535.33,25.72,85.0,3.1
2021-03-20,"-3,10333333","-60,01638888",12.4,1003.99,773.59,26.84,76.95,4.73
2021-03-21,"-3,10333333","-60,01638888",51.8,1005.34,537.89,25.15,85.82,4.89
2021-03-22,"-3,10333333","-60,01638888",0.0,1004.66,747.33,26.77,76.68,3.85
2021-03-23,"-3,10333333","-60,01638888",14.8,1004.56,354.28,26.25,82.18,4.34
2021-03-24,"-3,10333333","-60,01638888",61.2,1006.19,319.31,25.08,86.55,3.27
2021-03-25,"-3,10333333","-60,01638888",0.0,1005.78,615.89,26.93,77.55,3.54
2021-03-26,"-3,10333333","-60,01638888",0.0,1004.68,918.02,27.82,71.59,4.44
2021-03-27,"-3,10333333","-60,01638888",9.4,1004.0,690.5,27.06,79.41,4.19
2021-03-28,"-3,10333333","-60,01638888",23.4,1003.77,508.0,26.33,83.64,3.7
2021-03-29,"-3,10333333","-60,01638888",0.8,1003.6,517.64,26.43,85.64,2.95
2021-03-30,"-3,10333333","-60,01638888",46.4,1003.93,188.24,25.26,91.86,2.95
2021-03-31,"-3,10333333","-60,01638888",32.6,1003.7,295.68,24.42,89.41,3.23
2021-04-01,"-3,10333333","-60,01638888",0.0,1003.33,392.42,25.96,84.86,2.99
2021-04-02,"-3,10333333","-60,01638888",0.0,1003.57,794.3,27.05,77.59,4.56
2021-04-03,"-3,10333333","-60,01638888",0.0,1003.5,791.15,27.39,74.23,4.79
2021-04-04,"-3,10333333","-60,01638888",0.0,1003.06,829.86,27.87,75.45,3.97
2021-04-05,"-3,10333333","-60,01638888",0.0,1003.23,620.49,27.64,75.18,3.27
2021-04-06,"-3,10333333","-60,01638888",0.0,1004.09,461.89,26.79,78.64,2.76
2021-04-07,"-3,10333333","-60,01638888",0.0,1003.8,691.87,27.74,78.36,3.25
2021-04-08,"-3,10333333","-60,01638888",0.0,1003.69,636.26,28.27,75.95,3.11
2021-04-09,"-3,10333333","-60,01638888",0.2,1004.33,425.64,27.04,80.0,2.64
2021-04-10,"-3,10333333","-60,01638888",0.2,1003.81,532.68,27.32,81.36,2.71
2021-04-11,"-3,10333333","-60,01638888",22.8,1003.9,455.82,26.96,80.45,3.95
2021-04-12,"-3,10333333","-60,01638888",8.6,1004.72,743.56,27.15,79.86,3.6
2021-04-13,"-3,10333333","-60,01638888",0.2,1004.42,423.73,27.94,78.68,2.74
2021-04-14,"-3,10333333","-60,01638888",13.0,1005.0,488.62,26.61,80.18,3.68
2021-04-15,"-3,10333333","-60,01638888",4.8,1003.98,598.72,27.16,81.18,3.15
2021-04-16,"-3,10333333","-60,01638888",0.0,1003.69,520.1,27.18,75.36,3.66
2021-04-17,"-3,10333333","-60,01638888",25.2,1004.63,347.17,25.81,84.27,2.64
2021-04-18,"-3,10333333","-60,01638888",12.2,1005.37,360.98,25.9,85.55,4.05
2021-04-19,"-3,10333333","-60,01638888",4.6,1006.46,351.1,25.6,86.05,2.3
2021-04-20,"-3,10333333","-60,01638888",0.0,1006.08,495.21,26.11,83.36,3.1
2021-04-21,"-3,10333333","-60,01638888",0.0,1005.69,615.71,26.54,78.68,3.18
