Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,",03499999","-51,08888888",0.0,1010.65,580.8,25.75,86.83,3.38
2021-01-02,",03499999","-51,08888888",0.0,1009.5,,27.0,83.0,2.1
2021-01-04,",03499999","-51,08888888",0.2,1006.88,505.2,28.12,77.5,5.48
2021-01-05,",03499999","-51,08888888",0.6,1008.28,1667.88,27.17,80.12,5.14
2021-01-06,",03499999","-51,08888888",0.0,1007.97,1933.14,27.95,76.96,5.35
2021-01-07,",03499999","-51,08888888",0.0,1008.49,1421.26,27.62,78.25,4.59
2021-01-08,",03499999","-51,08888888",11.8,1008.71,1397.94,26.48,84.79,4.78
2021-01-09,",03499999","-51,08888888",0.0,1008.78,1624.97,26.73,82.96,4.41
2021-01-10,",03499999","-51,08888888",5.0,1009.48,1519.25,26.27,83.83,4.55
2021-01-11,",03499999","-51,08888888",0.8,1009.55,933.35,25.94,85.88,3.72
2021-01-12,",03499999","-51,08888888",0.4,1009.26,1633.05,27.27,80.33,4.67
2021-01-13,",03499999","-51,08888888",0.0,1008.63,1529.18,27.74,77.83,5.4
2021-01-14,",03499999","-51,08888888",1.0,1007.72,1588.28,27.75,77.75,6.09
2021-01-15,",03499999","-51,08888888",2.2,1007.54,1873.15,27.64,78.58,5.76
2021-01-16,",03499999","-51,08888888",0.0,1006.98,1644.12,27.1,80.0,4.16
2021-01-17,",03499999","-51,08888888",0.0,1007.18,1887.04,27.06,79.79,4.37
2021-01-18,",03499999","-51,08888888",7.4,1008.1,1553.54,26.38,82.62,5.27
2021-01-19,",03499999","-51,08888888",22.8,1008.43,943.98,25.01,89.88,4.2
2021-01-20,",03499999","-51,08888888",33.6,1009.1,841.66,24.44,90.08,4.25
2021-01-21,",03499999","-51,08888888",8.0,1008.74,1640.52,26.08,85.29,3.59
2021-01-22,",03499999","-51,08888888",0.4,1010.16,1083.54,25.95,84.0,3.23
2021-01-23,",03499999","-51,08888888",0.0,1009.19,1718.74,27.08,81.46,4.39
2021-01-24,",03499999","-51,08888888",1.8,1008.23,1056.12,26.43,84.88,4.98
2021-01-25,",03499999","-51,08888888",2.2,1008.1,1040.92,26.72,83.04,4.15
2021-01-26,",03499999","-51,08888888",0.4,1008.48,904.78,25.55,86.62,4.05
2021-01-27,",03499999","-51,08888888",7.0,1008.62,1353.51,25.08,88.67,3.94
2021-01-28,",03499999","-51,08888888",0.0,1008.53,1491.62,25.74,84.75,4.01
2021-01-29,",03499999","-51,08888888",8.4,1008.16,810.67,24.86,88.54,4.54
