Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-01,"-10,19083333","-48,30194444",0.2,977.89,2249.45,25.77,75.86,2.06
2021-01-03,"-10,19083333","-48,30194444",2.4,976.9,,23.7,84.0,7.7
2021-01-04,"-10,19083333","-48,30194444",9.0,977.5,238.0,24.6,85.4,3.48
2021-01-05,"-10,19083333","-48,30194444",0.2,977.54,1736.96,27.14,71.33,2.95
2021-01-06,"-10,19083333","-48,30194444",0.0,976.6,1785.86,29.44,61.42,2.82
2021-01-07,"-10,19083333","-48,30194444",0.0,977.22,1495.28,29.05,64.21,3.27
2021-01-08,"-10,19083333","-48,30194444",33.6,976.7,1196.41,27.05,74.62,3.94
2021-01-09,"-10,19083333","-48,30194444",42.4,977.32,1053.98,24.68,80.58,5.05
2021-01-10,"-10,19083333","-48,30194444",0.0,978.3,1515.79,25.52,73.04,4.11
2021-01-11,"-10,19083333","-48,30194444",20.0,978.72,1502.5,25.77,75.96,3.21
2021-01-12,"-10,19083333","-48,30194444",0.0,978.13,1287.18,26.71,75.25,3.06
2021-01-13,"-10,19083333","-48,30194444",27.2,977.63,1414.34,25.83,78.83,3.91
2021-01-14,"-10,19083333","-48,30194444",10.6,976.94,1072.33,25.45,80.75,3.12
2021-01-15,"-10,19083333","-48,30194444",2.0,977.16,1291.56,25.55,79.17,4.28
2021-01-16,"-10,19083333","-48,30194444",3.4,977.12,992.28,25.2,79.96,3.53
2021-01-17,"-10,19083333","-48,30194444",25.6,976.89,1030.58,25.52,80.75,3.4
2021-01-18,"-10,19083333","-48,30194444",2.4,977.27,1010.12,25.4,78.04,2.9
2021-01-19,"-10,19083333","-48,30194444",0.0,977.28,1386.3,26.03,76.46,2.72
2021-01-20,"-10,19083333","-48,30194444",2.6,977.65,1012.1,25.74,78.88,3.58
2021-01-21,"-10,19083333","-48,30194444",2.2,977.92,1064.53,25.58,79.83,3.22
2021-01-22,"-10,19083333","-48,30194444",3.4,979.44,1275.16,25.55,77.04,3.5
2021-01-23,"-10,19083333","-48,30194444",0.6,979.01,1733.17,27.13,70.57,3.93
2021-01-24,"-10,19083333","-48,30194444",0.0,977.13,1897.01,28.71,62.88,3.38
2021-01-25,"-10,19083333","-48,30194444",0.2,976.57,1626.43,28.81,62.25,3.18
2021-01-26,"-10,19083333","-48,30194444",8.4,977.02,1362.18,26.78,74.71,4.53
2021-01-27,"-10,19083333","-48,30194444",4.8,977.79,1079.37,25.7,77.96,3.32
2021-01-28,"-10,19083333","-48,30194444",2.0,977.11,1042.46,25.51,77.46,3.63
2021-01-29,"-10,19083333","-48,30194444",7.0,977.32,1207.79,26.1,72.5,2.5
2021-01-30,"-10,19083333","-48,30194444",1.4,978.02,1274.6,26.04,75.79,3.49
2021-01-31,"-10,19083333","-48,30194444",8.4,978.89,1214.22,25.21,78.25,4.29
