Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-20,447195","-54,722615",0.6,951.05,933.71,26.3,72.58,5.08
2023-01-02,"-20,447195","-54,722615",15.0,950.18,543.26,24.92,77.96,5.82
2023-01-03,"-20,447195","-54,722615",1.4,948.97,461.01,22.56,84.0,6.48
2023-01-04,"-20,447195","-54,722615",124.4,948.62,137.74,21.72,92.21,5.34
2023-01-05,"-20,447195","-54,722615",0.0,950.42,987.96,22.69,74.12,6.8
2023-01-06,"-20,447195","-54,722615",0.0,951.72,755.31,22.6,73.17,8.12
2023-01-07,"-20,447195","-54,722615",0.0,952.49,988.1,24.12,69.42,7.93
2023-01-08,"-20,447195","-54,722615",0.0,952.6,1159.48,25.29,64.33,7.76
2023-01-09,"-20,447195","-54,722615",0.0,951.18,1018.91,26.0,64.12,6.14
2023-01-10,"-20,447195","-54,722615",0.0,951.32,850.12,25.03,71.58,5.72
2023-01-11,"-20,447195","-54,722615",2.2,952.12,693.05,22.84,80.96,5.59
2023-01-12,"-20,447195","-54,722615",7.0,950.26,1041.78,23.54,78.92,5.58
2023-01-13,"-20,447195","-54,722615",21.8,949.1,592.71,22.42,87.12,6.08
2023-01-14,"-20,447195","-54,722615",4.2,950.35,691.88,21.84,85.92,6.24
2023-01-15,"-20,447195","-54,722615",0.2,952.9,1118.8,23.8,78.04,4.69
2023-01-16,"-20,447195","-54,722615",0.0,952.18,839.14,25.28,71.67,4.08
2023-01-17,"-20,447195","-54,722615",33.8,952.4,630.89,23.65,80.12,5.04
2023-01-18,"-20,447195","-54,722615",2.8,953.71,978.65,24.97,76.92,4.42
2023-01-19,"-20,447195","-54,722615",36.8,953.75,1242.74,24.68,75.62,6.31
2023-01-20,"-20,447195","-54,722615",15.0,951.32,971.65,24.23,80.12,5.08
2023-01-21,"-20,447195","-54,722615",0.2,948.89,921.17,25.85,73.25,6.05
2023-01-22,"-20,447195","-54,722615",5.0,948.95,948.67,24.75,79.96,6.48
2023-01-23,"-20,447195","-54,722615",30.4,950.19,364.47,22.22,88.79,4.36
2023-01-24,"-20,447195","-54,722615",0.2,949.66,1128.31,23.83,80.71,4.3
2023-01-25,"-20,447195","-54,722615",10.8,949.68,831.36,24.42,79.67,4.14
2023-01-26,"-20,447195","-54,722615",2.2,948.63,947.89,25.75,74.75,4.73
2023-01-27,"-20,447195","-54,722615",3.4,948.7,1063.4,26.05,69.0,5.74
2023-01-28,"-20,447195","-54,722615",0.2,950.99,1103.92,25.31,74.88,5.26
2023-01-29,"-20,447195","-54,722615",0.0,951.87,806.65,25.41,74.96,4.65
2023-01-30,"-20,447195","-54,722615",8.4,950.18,516.22,23.62,83.46,5.24
2023-01-31,"-20,447195","-54,722615",16.4,950.01,427.66,22.64,85.46,5.31
2023-02-01,"-20,447195","-54,722615",7.8,951.63,685.0,23.24,85.67,4.36
2023-02-02,"-20,447195","-54,722615",0.0,951.71,1044.23,25.43,76.58,4.76
2023-02-03,"-20,447195","-54,722615",26.0,951.9,471.58,22.78,84.17,5.46
2023-02-04,"-20,447195","-54,722615",0.0,953.7,656.13,22.33,84.96,3.48
2023-02-05,"-20,447195","-54,722615",0.0,953.44,1107.73,24.72,73.58,3.1
2023-02-06,"-20,447195","-54,722615",0.0,952.09,999.39,25.04,75.5,3.98
2023-02-07,"-20,447195","-54,722615",44.0,952.72,575.85,23.46,84.5,4.23
2023-02-08,"-20,447195","-54,722615",7.8,951.5,1144.49,24.74,78.33,3.95
2023-02-09,"-20,447195","-54,722615",0.0,951.46,967.88,25.68,77.42,4.42
2023-02-10,"-20,447195","-54,722615",20.6,952.12,439.88,22.45,84.33,7.29
2023-02-11,"-20,447195","-54,722615",0.2,951.31,779.0,22.71,81.54,3.23
2023-02-12,"-20,447195","-54,722615",34.6,950.8,658.85,23.61,80.54,4.6
2023-02-13,"-20,447195","-54,722615",0.2,950.82,668.73,24.02,78.21,5.03
2023-02-14,"-20,447195","-54,722615",0.0,950.63,1013.5,25.73,70.04,5.63
2023-02-15,"-20,447195","-54,722615",0.0,949.18,595.4,24.81,77.5,5.18
2023-02-16,"-20,447195","-54,722615",0.0,946.56,781.41,24.07,80.54,8.22
2023-02-17,"-20,447195","-54,722615",9.4,947.65,641.93,22.01,81.88,8.45
2023-02-18,"-20,447195","-54,722615",0.0,953.2,975.76,21.69,74.62,7.13
2023-02-19,"-20,447195","-54,722615",13.6,952.97,731.61,21.38,69.62,7.56
2023-02-20,"-20,447195","-54,722615",12.4,951.85,629.75,23.0,82.46,7.01
2023-02-21,"-20,447195","-54,722615",22.0,952.58,628.46,22.66,85.54,6.7
2023-02-22,"-20,447195","-54,722615",0.0,953.88,1123.98,25.12,72.92,4.92
2023-02-23,"-20,447195","-54,722615",0.0,954.51,884.77,24.78,76.75,5.17
2023-02-24,"-20,447195","-54,722615",21.8,953.22,267.87,21.83,88.46,4.71
2023-02-25,"-20,447195","-54,722615",0.0,951.69,1085.0,23.16,75.38,4.26
2023-02-26,"-20,447195","-54,722615",0.0,953.6,775.02,24.94,73.08,4.6
2023-02-27,"-20,447195","-54,722615",5.4,955.45,949.82,24.98,71.83,7.14
2023-02-28,"-20,447195","-54,722615",0.0,955.19,1164.11,25.96,67.21,6.46
2023-03-01,"-20,447195","-54,722615",0.0,953.71,1103.18,25.74,64.08,7.67
2023-03-02,"-20,447195","-54,722615",16.8,952.07,745.4,24.54,74.08,6.15
2023-03-03,"-20,447195","-54,722615",4.6,951.9,628.21,23.14,81.88,5.65
2023-03-04,"-20,447195","-54,722615",0.0,952.23,985.21,25.34,76.0,4.0
2023-03-05,"-20,447195","-54,722615",0.0,951.6,1075.34,26.36,74.04,4.08
2023-03-06,"-20,447195","-54,722615",0.0,949.16,1026.62,26.48,74.58,3.95
2023-03-07,"-20,447195","-54,722615",0.0,949.7,889.21,25.36,78.0,5.42
2023-03-08,"-20,447195","-54,722615",1.4,951.34,947.28,23.96,79.42,5.08
2023-03-09,"-20,447195","-54,722615",0.6,952.37,859.4,23.35,78.08,3.53
2023-03-10,"-20,447195","-54,722615",0.0,952.1,990.68,24.17,75.62,4.27
2023-03-11,"-20,447195","-54,722615",78.8,951.96,681.11,22.71,83.75,4.82
2023-03-12,"-20,447195","-54,722615",0.8,951.87,825.6,22.48,85.46,3.82
2023-03-13,"-20,447195","-54,722615",18.8,951.91,614.15,22.55,87.17,4.73
2023-03-14,"-20,447195","-54,722615",4.6,952.03,787.5,23.07,84.79,5.72
2023-03-15,"-20,447195","-54,722615",9.0,951.87,973.7,24.0,80.0,5.67
2023-03-16,"-20,447195","-54,722615",6.8,951.19,578.22,23.44,83.38,4.45
