Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-15,559295","-56,062951",0.0,989.42,2065.77,29.73,57.95,
2023-01-02,"-15,559295","-56,062951",25.4,988.39,1586.38,29.4,60.57,
2023-01-03,"-15,559295","-56,062951",0.6,988.38,1185.23,27.44,65.3,
2023-01-04,"-15,559295","-56,062951",0.0,988.92,1278.27,27.24,67.43,
2023-01-05,"-15,559295","-56,062951",40.6,989.04,1076.92,25.38,77.4,
2023-01-06,"-15,559295","-56,062951",0.2,989.19,1675.11,27.44,66.1,
2023-01-07,"-15,559295","-56,062951",0.0,990.41,1978.94,28.61,48.09,
2023-01-08,"-15,559295","-56,062951",0.0,990.52,2221.77,28.92,53.45,
2023-01-09,"-15,559295","-56,062951",0.0,989.67,2135.69,29.01,57.2,
2023-01-10,"-15,559295","-56,062951",0.0,990.48,1758.92,28.87,58.67,
2023-01-11,"-15,559295","-56,062951",13.4,991.34,1188.55,27.27,66.91,
2023-01-12,"-15,559295","-56,062951",0.0,989.53,1826.14,27.13,69.29,
2023-01-13,"-15,559295","-56,062951",0.2,988.81,1513.55,27.41,64.29,
2023-01-14,"-15,559295","-56,062951",0.0,991.22,1422.43,26.51,67.6,
2023-01-15,"-15,559295","-56,062951",0.6,991.7,1444.45,27.16,66.18,
2023-01-16,"-15,559295","-56,062951",0.0,990.08,1491.53,27.71,69.0,
2023-01-17,"-15,559295","-56,062951",41.6,990.15,1298.59,27.18,69.05,
2023-01-18,"-15,559295","-56,062951",3.6,991.7,1547.88,26.5,70.76,
2023-01-19,"-15,559295","-56,062951",0.0,991.81,1489.63,28.48,59.58,
2023-01-20,"-15,559295","-56,062951",2.2,991.05,1905.47,27.57,66.48,
2023-01-21,"-15,559295","-56,062951",1.0,988.66,1667.12,28.6,62.52,
2023-01-22,"-15,559295","-56,062951",1.4,988.74,1537.55,27.75,69.12,
2023-01-23,"-15,559295","-56,062951",0.0,989.28,1591.04,28.24,64.3,
2023-01-24,"-15,559295","-56,062951",2.4,989.42,1209.7,26.82,71.63,
2023-01-25,"-15,559295","-56,062951",6.6,988.43,696.41,26.21,74.86,
2023-01-26,"-15,559295","-56,062951",26.6,987.51,1135.46,25.89,77.41,
2023-01-27,"-15,559295","-56,062951",61.6,987.85,467.79,24.51,83.05,
2023-01-28,"-15,559295","-56,062951",1.4,989.88,1383.79,25.75,73.53,
2023-01-29,"-15,559295","-56,062951",1.2,990.29,1672.59,26.88,68.73,
2023-01-30,"-15,559295","-56,062951",0.2,989.09,1912.59,28.25,62.42,
2023-01-31,"-15,559295","-56,062951",10.0,988.99,1023.72,26.92,70.33,
2023-02-01,"-15,559295","-56,062951",0.0,990.16,1324.75,27.56,72.65,
2023-02-02,"-15,559295","-56,062951",0.0,989.89,1812.78,29.16,63.27,
