Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-7,16527777","-34,81555555",18.0,1007.39,1415.25,25.45,85.74,3.84
2023-01-02,"-7,16527777","-34,81555555",1.8,1007.29,1284.24,27.24,76.7,5.34
2023-01-03,"-7,16527777","-34,81555555",0.0,1007.58,1272.07,27.53,71.83,5.2
2023-01-04,"-7,16527777","-34,81555555",1.0,1007.92,1617.22,27.87,68.65,4.34
2023-01-05,"-7,16527777","-34,81555555",1.4,1008.02,1366.02,27.4,71.91,4.15
2023-01-06,"-7,16527777","-34,81555555",0.2,1008.6,1537.92,27.02,72.38,3.67
2023-01-07,"-7,16527777","-34,81555555",0.0,1009.34,1677.25,27.8,66.96,4.5
2023-01-08,"-7,16527777","-34,81555555",0.0,1008.95,1495.3,27.96,67.32,4.55
2023-01-09,"-7,16527777","-34,81555555",2.0,1009.03,1431.48,27.58,71.27,4.43
2023-01-10,"-7,16527777","-34,81555555",0.0,1009.54,1600.94,27.84,66.33,4.8
2023-01-11,"-7,16527777","-34,81555555",5.4,1009.1,1559.67,27.46,70.52,4.66
2023-01-12,"-7,16527777","-34,81555555",0.2,1007.97,1791.92,28.07,67.41,4.74
2023-01-13,"-7,16527777","-34,81555555",0.6,1007.11,1905.95,28.21,68.35,4.26
2023-01-14,"-7,16527777","-34,81555555",0.0,1006.93,1677.49,28.4,66.55,5.1
2023-01-15,"-7,16527777","-34,81555555",12.4,1007.53,1100.15,26.27,74.88,4.16
2023-01-16,"-7,16527777","-34,81555555",0.0,1007.01,1403.58,26.71,74.87,3.64
2023-01-17,"-7,16527777","-34,81555555",3.8,1007.7,1305.17,27.01,74.3,4.74
2023-01-18,"-7,16527777","-34,81555555",9.0,1007.61,603.16,24.7,89.25,3.47
2023-01-19,"-7,16527777","-34,81555555",13.8,1007.8,1302.04,25.95,86.38,3.82
2023-01-20,"-7,16527777","-34,81555555",0.0,1008.51,1975.17,27.0,74.46,3.37
2023-01-21,"-7,16527777","-34,81555555",0.0,1007.6,1837.15,27.74,70.22,4.01
2023-01-22,"-7,16527777","-34,81555555",0.0,1006.87,1775.23,27.59,72.83,3.72
2023-01-23,"-7,16527777","-34,81555555",0.0,1006.8,1803.47,28.49,70.04,4.67
2023-01-24,"-7,16527777","-34,81555555",0.0,1006.03,1618.11,28.14,67.3,4.76
2023-01-25,"-7,16527777","-34,81555555",0.0,1005.7,1845.79,27.65,64.82,4.88
2023-01-26,"-7,16527777","-34,81555555",0.0,1005.67,1913.15,27.68,69.23,4.04
2023-01-27,"-7,16527777","-34,81555555",0.0,1006.84,1799.26,28.91,65.79,3.83
2023-01-28,"-7,16527777","-34,81555555",0.0,1007.66,1870.71,28.66,63.04,5.0
2023-01-29,"-7,16527777","-34,81555555",0.0,1006.98,1563.15,28.27,64.39,4.16
2023-01-30,"-7,16527777","-34,81555555",0.0,1005.81,1698.13,28.48,66.26,4.87
2023-01-31,"-7,16527777","-34,81555555",0.0,1006.15,1592.58,28.5,63.73,4.76
2023-02-01,"-7,16527777","-34,81555555",0.0,1007.11,1654.31,28.53,64.96,4.66
2023-02-02,"-7,16527777","-34,81555555",0.0,1008.23,1568.8,28.43,67.61,4.17
2023-02-03,"-7,16527777","-34,81555555",0.0,1009.17,1679.88,28.62,64.26,4.65
2023-02-04,"-7,16527777","-34,81555555",0.0,1009.34,1462.38,28.42,67.22,4.39
2023-02-05,"-7,16527777","-34,81555555",2.4,1008.37,1870.8,27.7,75.82,3.99
2023-02-06,"-7,16527777","-34,81555555",3.0,1007.64,654.88,25.83,82.26,3.13
2023-02-07,"-7,16527777","-34,81555555",0.0,1007.13,1927.65,27.35,64.41,4.7
2023-02-08,"-7,16527777","-34,81555555",0.0,1006.95,1752.86,27.02,66.92,3.99
2023-02-09,"-7,16527777","-34,81555555",0.0,1007.1,1588.43,28.16,71.54,4.4
2023-02-10,"-7,16527777","-34,81555555",6.0,1006.86,1471.62,27.86,73.83,4.4
2023-02-11,"-7,16527777","-34,81555555",0.0,1006.53,1634.97,27.77,69.04,4.13
2023-02-12,"-7,16527777","-34,81555555",0.0,1006.37,1710.41,27.92,71.27,4.05
2023-02-13,"-7,16527777","-34,81555555",0.0,1006.5,1761.55,29.08,67.3,5.29
2023-02-14,"-7,16527777","-34,81555555",0.0,1005.98,1208.1,28.73,71.36,4.78
2023-02-15,"-7,16527777","-34,81555555",6.0,1005.74,1276.22,27.78,79.5,4.1
2023-02-16,"-7,16527777","-34,81555555",0.0,1004.48,1182.99,28.5,70.54,4.61
2023-02-17,"-7,16527777","-34,81555555",0.0,1004.43,1289.75,28.5,68.35,4.68
2023-02-18,"-7,16527777","-34,81555555",0.0,1005.66,1706.43,28.43,65.5,4.64
2023-02-19,"-7,16527777","-34,81555555",1.6,1006.43,1561.53,28.5,68.62,4.52
2023-02-20,"-7,16527777","-34,81555555",0.0,1006.57,1259.05,28.4,69.0,4.45
2023-02-21,"-7,16527777","-34,81555555",0.0,1006.6,1710.69,28.83,64.57,5.72
2023-02-22,"-7,16527777","-34,81555555",46.6,1007.23,1550.57,27.34,83.81,5.47
2023-02-23,"-7,16527777","-34,81555555",3.6,1007.68,1392.18,27.09,82.61,4.72
2023-02-24,"-7,16527777","-34,81555555",0.0,1007.55,1655.67,27.43,77.71,3.62
2023-02-25,"-7,16527777","-34,81555555",0.6,1007.67,1390.48,27.53,77.22,3.52
2023-02-26,"-7,16527777","-34,81555555",0.0,1008.68,1741.29,28.6,68.46,4.59
2023-02-27,"-7,16527777","-34,81555555",6.0,1009.07,1588.68,27.97,73.87,4.55
2023-02-28,"-7,16527777","-34,81555555",0.2,1009.52,1793.81,27.78,74.92,4.54
2023-03-01,"-7,16527777","-34,81555555",0.0,1008.79,1766.78,28.54,68.21,4.98
2023-03-02,"-7,16527777","-34,81555555",4.4,1007.22,851.72,27.52,75.0,5.01
2023-03-03,"-7,16527777","-34,81555555",0.0,1007.36,1743.46,28.76,68.41,4.44
2023-03-04,"-7,16527777","-34,81555555",0.0,1006.91,1713.67,28.75,68.48,4.52
2023-03-05,"-7,16527777","-34,81555555",0.0,1007.24,1685.82,28.49,69.71,4.1
2023-03-06,"-7,16527777","-34,81555555",0.0,1007.25,1453.09,28.67,67.08,4.56
2023-03-07,"-7,16527777","-34,81555555",0.0,1006.94,1560.97,28.95,64.95,5.21
2023-03-08,"-7,16527777","-34,81555555",4.2,1006.55,1259.16,27.67,74.08,5.2
2023-03-09,"-7,16527777","-34,81555555",0.2,1007.25,1251.76,28.62,67.96,5.0
2023-03-10,"-7,16527777","-34,81555555",0.0,1007.33,1358.95,28.37,67.33,3.78
2023-03-11,"-7,16527777","-34,81555555",0.0,1006.71,1876.72,28.86,65.0,4.35
2023-03-12,"-7,16527777","-34,81555555",0.0,1006.49,1606.48,28.9,66.48,3.96
2023-03-13,"-7,16527777","-34,81555555",0.2,1006.3,1398.28,28.55,69.5,4.1
2023-03-14,"-7,16527777","-34,81555555",0.0,1006.47,1684.75,28.95,66.78,3.97
2023-03-15,"-7,16527777","-34,81555555",0.2,1005.93,944.73,27.56,74.48,3.29
2023-03-16,"-7,16527777","-34,81555555",10.2,1005.77,663.47,25.79,81.43,3.77
2023-03-17,"-7,16527777","-34,81555555",9.6,1006.46,1413.82,26.05,82.23,3.22
2023-03-18,"-7,16527777","-34,81555555",2.4,1007.37,860.22,25.56,83.47,2.74
2023-03-19,"-7,16527777","-34,81555555",98.2,1008.45,1215.52,24.84,87.33,3.19
2023-03-20,"-7,16527777","-34,81555555",0.0,1007.44,1740.12,27.13,76.96,3.06
2023-03-21,"-7,16527777","-34,81555555",31.4,1007.59,947.79,26.14,84.22,3.23
2023-03-22,"-7,16527777","-34,81555555",5.0,1008.39,826.25,25.52,85.83,4.03
2023-03-23,"-7,16527777","-34,81555555",5.0,1007.47,1707.87,26.41,79.17,4.1
2023-03-24,"-7,16527777","-34,81555555",8.2,1006.5,1613.33,26.65,79.87,3.57
2023-03-25,"-7,16527777","-34,81555555",0.2,1007.0,1522.08,27.18,78.92,2.99
2023-03-26,"-7,16527777","-34,81555555",9.0,1007.38,1275.44,27.25,79.39,4.53
2023-03-27,"-7,16527777","-34,81555555",1.2,1007.1,1746.87,27.59,73.0,4.06
2023-03-28,"-7,16527777","-34,81555555",0.0,1007.13,1665.36,27.78,70.17,3.65
2023-03-29,"-7,16527777","-34,81555555",9.0,1007.32,1290.55,26.83,81.57,3.5
2023-03-30,"-7,16527777","-34,81555555",19.0,1008.16,1152.79,25.98,83.83,4.21
2023-03-31,"-7,16527777","-34,81555555",0.0,1007.65,1837.67,27.09,72.17,3.43
2023-04-01,"-7,16527777","-34,81555555",0.0,1006.62,1745.94,27.28,72.62,3.56
2023-04-02,"-7,16527777","-34,81555555",0.0,1006.52,1358.92,27.21,74.96,3.09
2023-04-03,"-7,16527777","-34,81555555",0.0,1005.65,1869.08,27.89,73.12,3.05
2023-04-04,"-7,16527777","-34,81555555",5.8,1005.16,1231.08,26.84,78.39,3.94
2023-04-05,"-7,16527777","-34,81555555",1.2,1005.13,1425.16,26.64,81.17,3.7
2023-04-06,"-7,16527777","-34,81555555",5.0,1005.34,1719.35,27.48,76.08,4.05
2023-04-07,"-7,16527777","-34,81555555",0.2,1005.83,1713.36,27.83,74.33,3.61
2023-04-08,"-7,16527777","-34,81555555",1.6,1005.86,1353.66,27.5,80.3,3.37
2023-04-09,"-7,16527777","-34,81555555",35.0,1007.38,1208.72,26.29,86.71,4.19
2023-04-10,"-7,16527777","-34,81555555",9.4,1007.7,1359.54,27.35,81.21,4.02
2023-04-11,"-7,16527777","-34,81555555",0.0,1007.79,1555.03,27.64,72.09,3.43
2023-04-12,"-7,16527777","-34,81555555",2.2,1006.49,1281.1,26.8,78.25,4.64
2023-04-13,"-7,16527777","-34,81555555",3.4,1005.59,1512.87,27.72,72.79,4.79
2023-04-14,"-7,16527777","-34,81555555",11.4,1006.21,1124.28,26.07,81.75,3.23
2023-04-15,"-7,16527777","-34,81555555",4.0,1006.81,1116.28,27.0,80.62,3.5
2023-04-16,"-7,16527777","-34,81555555",39.0,1005.94,849.88,26.02,86.78,3.05
2023-04-17,"-7,16527777","-34,81555555",6.8,1004.01,1604.32,26.26,83.75,3.21
2023-04-18,"-7,16527777","-34,81555555",2.0,1003.8,1533.23,27.62,81.29,2.98
2023-04-19,"-7,16527777","-34,81555555",0.0,1006.13,1764.32,27.85,77.96,3.31
2023-04-20,"-7,16527777","-34,81555555",0.0,1007.21,1712.55,28.26,74.96,3.5
2023-04-21,"-7,16527777","-34,81555555",0.0,1006.7,1568.38,27.73,72.79,3.56
2023-04-22,"-7,16527777","-34,81555555",0.0,1005.36,1703.12,28.32,65.21,5.08
2023-04-23,"-7,16527777","-34,81555555",0.4,1005.29,1557.92,28.38,67.83,4.4
2023-04-24,"-7,16527777","-34,81555555",4.6,1006.88,1253.81,26.9,79.17,3.84
2023-04-25,"-7,16527777","-34,81555555",37.2,1007.98,764.99,25.68,89.88,3.75
2023-04-26,"-7,16527777","-34,81555555",14.8,1007.24,1211.28,26.72,84.96,4.25
2023-04-27,"-7,16527777","-34,81555555",0.0,1007.2,1653.44,27.18,77.54,3.01
2023-04-28,"-7,16527777","-34,81555555",1.6,1008.14,1552.56,27.72,78.75,3.17
2023-04-29,"-7,16527777","-34,81555555",0.0,1009.11,1559.58,27.68,77.17,3.0
2023-04-30,"-7,16527777","-34,81555555",2.2,1007.98,1510.29,28.05,77.62,4.11
2023-05-01,"-7,16527777","-34,81555555",0.4,1007.75,1567.11,27.95,72.83,3.43
2023-05-02,"-7,16527777","-34,81555555",0.0,1006.92,1491.57,27.73,74.08,3.51
2023-05-03,"-7,16527777","-34,81555555",0.0,1007.29,927.3,26.68,76.53,2.74
2023-05-04,"-7,16527777","-34,81555555",2.2,1008.63,1557.69,27.83,77.33,3.95
2023-05-05,"-7,16527777","-34,81555555",30.8,1009.28,1316.61,26.9,84.75,3.91
2023-05-06,"-7,16527777","-34,81555555",0.0,1008.19,1541.15,28.11,71.46,4.28
2023-05-07,"-7,16527777","-34,81555555",0.0,1007.42,1558.04,27.39,73.71,4.08
2023-05-08,"-7,16527777","-34,81555555",0.0,1007.98,1638.09,27.55,74.04,4.27
2023-05-09,"-7,16527777","-34,81555555",0.0,1007.95,1481.92,27.6,73.96,4.1
2023-05-10,"-7,16527777","-34,81555555",11.6,1007.48,1478.97,27.43,77.5,3.6
2023-05-11,"-7,16527777","-34,81555555",0.0,1006.49,1564.22,27.8,69.88,3.55
2023-05-12,"-7,16527777","-34,81555555",0.0,1007.79,1494.81,27.61,71.21,3.58
2023-05-13,"-7,16527777","-34,81555555",0.0,1008.94,1319.64,27.46,75.29,3.22
2023-05-14,"-7,16527777","-34,81555555",0.0,1010.59,1624.52,28.67,70.33,4.92
2023-05-15,"-7,16527777","-34,81555555",0.0,1010.16,1441.82,28.58,69.0,4.26
2023-05-16,"-7,16527777","-34,81555555",0.6,1008.58,1581.01,27.58,73.0,3.44
2023-05-17,"-7,16527777","-34,81555555",9.0,1008.25,1008.33,25.83,85.17,4.15
2023-05-18,"-7,16527777","-34,81555555",21.8,1009.02,1263.88,25.83,86.96,4.27
2023-05-19,"-7,16527777","-34,81555555",3.8,1009.16,823.29,25.7,86.67,3.24
2023-05-20,"-7,16527777","-34,81555555",0.8,1008.08,1023.31,26.02,83.5,4.31
2023-05-21,"-7,16527777","-34,81555555",0.0,1007.16,1503.78,26.36,77.54,4.82
2023-05-22,"-7,16527777","-34,81555555",21.2,1007.21,1341.16,26.38,83.71,4.28
2023-05-23,"-7,16527777","-34,81555555",20.0,1007.35,1341.71,27.02,83.0,5.21
2023-05-24,"-7,16527777","-34,81555555",28.6,1007.22,1451.6,26.36,85.54,4.05
2023-05-25,"-7,16527777","-34,81555555",9.6,1007.77,1156.14,26.05,85.42,5.16
2023-05-26,"-7,16527777","-34,81555555",0.2,1008.13,1466.72,27.66,72.79,4.27
2023-05-27,"-7,16527777","-34,81555555",0.0,1008.24,1328.04,27.43,73.79,3.7
