Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-5,03472221","-42,80138888",0.0,1002.15,1136.66,26.06,78.5,2.4
2023-01-02,"-5,03472221","-42,80138888",0.0,1002.1,771.96,27.23,76.75,2.88
2023-01-03,"-5,03472221","-42,80138888",16.2,1002.52,782.38,25.79,82.5,3.63
2023-01-04,"-5,03472221","-42,80138888",0.0,1002.63,818.16,26.82,75.88,3.51
2023-01-05,"-5,03472221","-42,80138888",0.0,1002.24,821.1,27.58,74.12,3.0
2023-01-06,"-5,03472221","-42,80138888",0.0,1003.45,911.93,26.47,75.38,3.05
2023-01-07,"-5,03472221","-42,80138888",0.0,1003.92,940.44,26.29,81.21,2.76
2023-01-08,"-5,03472221","-42,80138888",0.2,1003.85,1084.12,25.79,80.88,2.7
2023-01-09,"-5,03472221","-42,80138888",31.2,1004.1,258.9,24.5,87.25,3.03
2023-01-10,"-5,03472221","-42,80138888",5.0,1003.63,750.49,26.46,78.33,3.42
2023-01-11,"-5,03472221","-42,80138888",5.6,1004.1,1022.25,26.9,77.17,3.13
2023-01-12,"-5,03472221","-42,80138888",5.4,1002.72,879.67,25.87,85.08,2.68
2023-01-13,"-5,03472221","-42,80138888",0.0,1001.51,812.59,27.2,74.79,3.12
2023-01-14,"-5,03472221","-42,80138888",7.4,1001.9,858.58,26.6,78.08,3.89
2023-01-15,"-5,03472221","-42,80138888",15.0,1003.02,301.78,24.12,89.04,2.48
2023-01-16,"-5,03472221","-42,80138888",1.0,1003.36,446.4,23.82,86.75,3.14
2023-01-17,"-5,03472221","-42,80138888",4.0,1002.46,869.95,25.54,77.12,4.26
2023-01-18,"-5,03472221","-42,80138888",12.4,1002.75,489.07,24.65,84.58,3.64
2023-01-19,"-5,03472221","-42,80138888",9.0,1004.88,589.79,23.98,85.25,3.13
2023-01-20,"-5,03472221","-42,80138888",35.0,1004.69,585.27,24.32,83.83,3.15
2023-01-21,"-5,03472221","-42,80138888",7.8,1002.99,668.9,25.8,81.88,2.7
2023-01-22,"-5,03472221","-42,80138888",2.0,1002.32,853.52,27.09,77.96,2.96
2023-01-23,"-5,03472221","-42,80138888",4.0,1003.29,645.76,25.96,83.46,2.07
2023-01-24,"-5,03472221","-42,80138888",0.2,1001.88,669.73,26.31,81.88,2.73
2023-01-25,"-5,03472221","-42,80138888",18.0,1001.48,584.21,24.48,88.12,3.88
2023-01-26,"-5,03472221","-42,80138888",0.0,1001.39,600.35,25.28,81.17,3.11
2023-01-27,"-5,03472221","-42,80138888",11.4,1001.95,787.4,26.17,78.92,3.46
2023-01-28,"-5,03472221","-42,80138888",4.0,1002.72,1003.24,26.18,77.92,3.63
2023-01-29,"-5,03472221","-42,80138888",11.8,1001.82,1071.87,26.62,79.38,2.54
2023-01-30,"-5,03472221","-42,80138888",3.2,1001.15,665.98,25.43,84.92,3.68
2023-01-31,"-5,03472221","-42,80138888",2.6,1001.4,660.0,25.72,85.54,2.73
2023-02-01,"-5,03472221","-42,80138888",13.8,1002.38,469.29,25.1,86.58,3.17
2023-02-02,"-5,03472221","-42,80138888",26.0,1003.63,969.03,26.14,80.58,3.35
2023-02-03,"-5,03472221","-42,80138888",20.4,1004.45,746.06,25.33,80.71,4.01
2023-02-04,"-5,03472221","-42,80138888",0.2,1003.96,747.26,27.06,77.62,2.06
2023-02-05,"-5,03472221","-42,80138888",0.8,1003.72,776.21,26.72,77.71,3.7
2023-02-06,"-5,03472221","-42,80138888",10.6,1002.83,657.66,25.82,80.79,3.8
2023-02-07,"-5,03472221","-42,80138888",11.4,1002.46,672.63,25.67,82.0,4.16
2023-02-08,"-5,03472221","-42,80138888",5.2,1002.45,711.31,25.6,81.12,2.81
2023-02-09,"-5,03472221","-42,80138888",0.4,1002.2,764.44,26.94,78.12,2.84
2023-02-10,"-5,03472221","-42,80138888",17.0,1001.7,717.7,26.3,82.04,2.99
2023-02-11,"-5,03472221","-42,80138888",0.0,1001.45,570.8,25.88,82.83,2.75
2023-02-12,"-5,03472221","-42,80138888",0.2,1001.45,696.18,26.28,80.79,2.52
2023-02-13,"-5,03472221","-42,80138888",0.0,1000.76,744.82,27.31,78.08,2.93
2023-02-14,"-5,03472221","-42,80138888",11.6,1000.82,706.97,26.9,81.38,3.82
