Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-8,7936111","-63,84583333",30.0,1000.72,482.12,25.51,,3.97
2023-01-02,"-8,7936111","-63,84583333",0.2,1000.47,789.32,26.16,,3.8
2023-01-03,"-8,7936111","-63,84583333",0.0,1000.31,543.05,26.03,,4.54
2023-01-04,"-8,7936111","-63,84583333",0.0,999.52,0.0,24.06,,1.84
2023-03-28,"-8,7936111","-63,84583333",0.0,1000.7,1268.42,27.88,,2.95
2023-03-29,"-8,7936111","-63,84583333",0.0,1000.15,787.31,27.08,,2.67
2023-03-30,"-8,7936111","-63,84583333",3.4,1001.4,693.47,26.87,,2.77
2023-03-31,"-8,7936111","-63,84583333",0.2,1001.38,927.59,26.59,,3.82
2023-04-01,"-8,7936111","-63,84583333",2.0,1001.85,632.17,26.7,,2.76
2023-04-02,"-8,7936111","-63,84583333",12.8,1002.78,0.2,24.48,,5.58
2023-04-07,"-8,7936111","-63,84583333",0.2,1001.08,132.15,24.42,,2.88
2023-04-08,"-8,7936111","-63,84583333",1.2,1001.34,837.08,26.46,,2.46
2023-04-09,"-8,7936111","-63,84583333",5.6,1003.02,0.0,25.12,,2.54
2023-04-13,"-8,7936111","-63,84583333",0.0,1001.18,0.0,23.45,,1.1
2023-04-14,"-8,7936111","-63,84583333",0.8,998.37,1124.12,28.48,,4.16
2023-04-15,"-8,7936111","-63,84583333",21.2,1001.26,0.08,24.62,,4.54
2023-04-18,"-8,7936111","-63,84583333",0.0,1000.75,2040.6,30.65,,5.3
2023-04-19,"-8,7936111","-63,84583333",11.4,999.7,868.14,27.62,,4.18
2023-04-20,"-8,7936111","-63,84583333",8.4,1000.9,401.8,25.29,,3.47
2023-04-21,"-8,7936111","-63,84583333",0.0,999.58,886.65,27.14,,3.08
2023-04-22,"-8,7936111","-63,84583333",0.0,999.32,0.0,25.98,,2.7
2023-04-26,"-8,7936111","-63,84583333",0.0,1000.12,947.41,28.1,,2.49
2023-04-27,"-8,7936111","-63,84583333",1.2,1000.08,415.91,26.96,,3.75
2023-04-28,"-8,7936111","-63,84583333",0.0,1001.7,0.0,24.84,,1.54
2023-05-02,"-8,7936111","-63,84583333",0.0,1001.72,0.0,23.82,,1.72
2023-05-03,"-8,7936111","-63,84583333",0.8,998.94,1126.67,29.26,,3.39
2023-05-04,"-8,7936111","-63,84583333",0.0,1000.76,773.57,27.24,,2.84
2023-05-05,"-8,7936111","-63,84583333",0.0,1001.92,0.0,25.98,,2.98
2023-05-07,"-8,7936111","-63,84583333",0.0,1004.6,2615.9,28.85,,4.15
2023-05-08,"-8,7936111","-63,84583333",1.2,1003.02,952.94,26.5,,2.54
2023-05-09,"-8,7936111","-63,84583333",0.0,1002.2,2708.6,31.0,,3.2
2023-05-10,"-8,7936111","-63,84583333",0.0,1002.59,1613.24,28.26,,3.52
