Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2023-01-01,"-30,05361111","-51,17472221",0.0,1005.38,1932.01,28.15,58.04,5.18
2023-01-02,"-30,05361111","-51,17472221",10.0,1001.05,1289.22,27.96,67.25,4.83
2023-01-03,"-30,05361111","-51,17472221",0.2,1002.18,1791.93,25.06,71.0,5.57
2023-01-04,"-30,05361111","-51,17472221",0.0,1004.92,1969.07,24.9,63.83,4.42
2023-01-05,"-30,05361111","-51,17472221",0.0,1008.12,2050.09,25.13,60.42,5.4
2023-01-06,"-30,05361111","-51,17472221",0.0,1012.52,2080.19,24.28,64.54,7.13
2023-01-07,"-30,05361111","-51,17472221",0.0,1015.26,1707.16,23.86,65.0,7.2
2023-01-08,"-30,05361111","-51,17472221",0.0,1013.46,1850.32,24.03,66.33,6.85
2023-01-09,"-30,05361111","-51,17472221",0.0,1009.5,1630.61,24.27,67.7,6.33
2023-01-10,"-30,05361111","-51,17472221",0.6,1006.95,1155.31,24.59,70.38,4.43
2023-01-11,"-30,05361111","-51,17472221",0.2,1005.12,2085.23,25.72,63.71,3.84
2023-01-12,"-30,05361111","-51,17472221",0.0,1001.45,1949.49,28.32,55.09,4.95
2023-01-13,"-30,05361111","-51,17472221",14.6,1000.46,1318.71,26.93,67.96,3.79
2023-01-14,"-30,05361111","-51,17472221",0.0,1003.11,1301.53,24.79,75.62,5.43
2023-01-15,"-30,05361111","-51,17472221",0.0,1008.1,722.52,24.03,78.62,5.79
2023-01-16,"-30,05361111","-51,17472221",0.0,1008.36,1525.53,26.21,72.46,5.5
2023-01-17,"-30,05361111","-51,17472221",0.0,1009.53,1650.35,26.02,72.26,6.97
2023-01-18,"-30,05361111","-51,17472221",0.2,1012.31,633.18,24.06,83.39,7.26
2023-01-19,"-30,05361111","-51,17472221",0.0,1011.01,1489.55,25.75,78.65,7.43
2023-01-20,"-30,05361111","-51,17472221",0.0,1006.03,1548.94,26.52,72.88,6.35
2023-01-21,"-30,05361111","-51,17472221",9.8,1000.78,1445.75,26.39,75.21,5.25
2023-01-22,"-30,05361111","-51,17472221",0.0,999.73,1938.94,26.62,74.65,4.6
2023-01-23,"-30,05361111","-51,17472221",0.0,1002.7,1582.99,27.05,65.75,3.9
2023-01-24,"-30,05361111","-51,17472221",0.0,1002.62,2000.36,27.18,69.33,4.59
2023-01-25,"-30,05361111","-51,17472221",0.0,1003.87,1807.32,28.09,70.96,5.29
2023-01-26,"-30,05361111","-51,17472221",5.2,1004.53,1885.32,28.1,70.96,5.77
2023-01-27,"-30,05361111","-51,17472221",1.6,1004.51,1908.49,27.44,66.96,4.16
2023-01-28,"-30,05361111","-51,17472221",10.8,1004.84,1718.98,27.92,68.67,4.38
2023-01-29,"-30,05361111","-51,17472221",0.0,1006.02,1670.65,26.0,78.54,4.88
2023-01-30,"-30,05361111","-51,17472221",0.0,1003.37,1890.23,26.56,72.33,3.87
2023-01-31,"-30,05361111","-51,17472221",0.0,1001.9,1870.45,27.72,65.59,3.98
2023-02-01,"-30,05361111","-51,17472221",0.0,1004.58,1679.71,27.91,69.12,4.03
2023-02-02,"-30,05361111","-51,17472221",0.0,1005.59,1708.17,27.18,73.62,5.67
2023-02-03,"-30,05361111","-51,17472221",5.4,1002.26,980.97,25.68,82.12,4.86
2023-02-04,"-30,05361111","-51,17472221",8.2,1003.7,1196.65,24.24,78.71,5.75
2023-02-05,"-30,05361111","-51,17472221",0.0,1005.26,1735.45,23.73,69.79,5.63
2023-02-06,"-30,05361111","-51,17472221",0.0,1006.08,1735.39,26.31,63.62,3.47
2023-02-07,"-30,05361111","-51,17472221",0.0,1006.97,1678.58,26.72,52.87,4.45
2023-02-08,"-30,05361111","-51,17472221",0.0,1006.02,2053.44,27.24,66.29,4.65
2023-02-09,"-30,05361111","-51,17472221",0.2,1005.63,1361.2,26.74,72.38,5.22
2023-02-10,"-30,05361111","-51,17472221",0.0,1006.06,1793.31,27.88,65.08,4.44
2023-02-11,"-30,05361111","-51,17472221",0.0,1006.65,2089.93,27.08,64.79,4.8
2023-02-12,"-30,05361111","-51,17472221",0.0,1005.2,2074.91,27.36,62.09,4.16
2023-02-13,"-30,05361111","-51,17472221",0.0,1002.55,2039.79,29.33,59.0,4.82
2023-02-14,"-30,05361111","-51,17472221",41.4,1000.45,1564.15,28.51,65.7,6.44
2023-02-15,"-30,05361111","-51,17472221",25.6,1000.25,736.86,23.73,84.04,4.29
2023-02-16,"-30,05361111","-51,17472221",0.0,997.3,1879.35,25.3,78.83,4.0
2023-02-17,"-30,05361111","-51,17472221",6.8,998.07,1088.19,22.71,77.17,7.18
2023-02-18,"-30,05361111","-51,17472221",0.0,1012.97,2250.22,18.05,51.57,6.07
2023-02-19,"-30,05361111","-51,17472221",0.0,1016.08,2195.66,19.47,56.29,5.18
2023-02-20,"-30,05361111","-51,17472221",13.4,1011.61,392.74,20.43,81.42,4.05
2023-02-21,"-30,05361111","-51,17472221",5.4,1009.38,1495.03,22.31,82.54,3.91
2023-02-22,"-30,05361111","-51,17472221",0.0,1011.61,1740.48,23.14,76.25,4.38
2023-02-23,"-30,05361111","-51,17472221",0.0,1009.7,1258.13,24.39,73.58,4.89
2023-02-24,"-30,05361111","-51,17472221",0.8,1005.65,675.94,23.09,83.62,3.49
2023-02-25,"-30,05361111","-51,17472221",9.2,1002.24,725.66,21.8,89.0,4.75
2023-02-26,"-30,05361111","-51,17472221",0.0,1006.18,1055.82,22.22,82.0,2.25
2023-02-27,"-30,05361111","-51,17472221",0.0,1012.46,1651.06,24.7,78.22,3.62
2023-02-28,"-30,05361111","-51,17472221",0.0,1012.48,1819.05,25.54,67.75,3.67
2023-03-01,"-30,05361111","-51,17472221",0.0,1008.35,1822.58,26.15,69.54,4.63
2023-03-02,"-30,05361111","-51,17472221",0.0,1005.73,1395.72,25.9,73.67,3.65
2023-03-03,"-30,05361111","-51,17472221",0.2,1005.38,591.55,25.05,78.43,2.46
2023-03-04,"-30,05361111","-51,17472221",9.6,1003.64,1115.31,24.66,87.04,4.07
2023-03-05,"-30,05361111","-51,17472221",4.2,1005.24,1170.19,24.05,83.5,5.52
2023-03-06,"-30,05361111","-51,17472221",7.2,1004.69,624.45,23.61,85.46,6.02
2023-03-07,"-30,05361111","-51,17472221",5.0,1001.51,933.37,24.3,86.79,4.6
2023-03-08,"-30,05361111","-51,17472221",0.0,1003.18,1828.43,26.43,75.96,3.98
2023-03-09,"-30,05361111","-51,17472221",3.2,1007.0,1444.11,26.46,75.46,3.52
2023-03-10,"-30,05361111","-51,17472221",0.0,1008.5,1256.18,26.58,79.04,4.97
2023-03-11,"-30,05361111","-51,17472221",0.0,1008.77,1641.02,26.73,77.65,4.56
2023-03-12,"-30,05361111","-51,17472221",0.0,1010.39,1768.57,26.45,77.33,6.54
2023-03-13,"-30,05361111","-51,17472221",0.0,1010.01,1745.59,26.83,74.82,6.1
2023-03-14,"-30,05361111","-51,17472221",0.0,1009.27,1464.54,27.15,71.62,5.08
2023-03-15,"-30,05361111","-51,17472221",0.0,1008.75,1730.05,27.8,67.96,4.76
2023-03-16,"-30,05361111","-51,17472221",0.0,1008.03,1722.27,27.39,65.17,5.08
2023-03-17,"-30,05361111","-51,17472221",0.0,1007.97,1724.59,27.22,69.46,4.08
2023-03-18,"-30,05361111","-51,17472221",0.0,1007.96,1717.28,27.8,67.25,4.21
2023-03-19,"-30,05361111","-51,17472221",0.0,1006.88,1706.16,26.3,66.96,3.39
2023-03-20,"-30,05361111","-51,17472221",23.2,1006.52,1174.91,25.73,72.83,3.77
2023-03-21,"-30,05361111","-51,17472221",0.0,1010.2,886.93,24.77,82.96,4.08
2023-03-22,"-30,05361111","-51,17472221",0.0,1012.07,1093.79,24.84,76.17,6.83
2023-03-23,"-30,05361111","-51,17472221",0.0,1010.07,1627.22,26.32,71.71,6.18
2023-03-24,"-30,05361111","-51,17472221",0.0,1010.14,1264.52,25.52,77.5,4.06
2023-03-25,"-30,05361111","-51,17472221",4.6,1007.24,702.27,24.05,82.0,3.82
2023-03-26,"-30,05361111","-51,17472221",0.6,1006.65,934.6,23.61,77.54,6.88
2023-03-27,"-30,05361111","-51,17472221",0.0,1011.98,1400.25,22.26,69.0,4.44
2023-03-28,"-30,05361111","-51,17472221",0.0,1008.58,1695.05,23.23,64.92,3.87
2023-03-29,"-30,05361111","-51,17472221",6.4,1005.02,1157.44,25.25,74.17,3.88
2023-03-30,"-30,05361111","-51,17472221",25.4,1007.83,742.58,22.86,83.96,4.22
2023-03-31,"-30,05361111","-51,17472221",0.2,1008.12,1399.05,24.47,80.96,4.47
2023-04-01,"-30,05361111","-51,17472221",0.0,1011.39,1726.21,19.62,59.88,7.15
2023-04-02,"-30,05361111","-51,17472221",0.0,1011.85,1361.05,19.66,71.83,3.32
2023-04-03,"-30,05361111","-51,17472221",0.0,1008.65,1573.96,21.34,68.96,3.94
2023-04-04,"-30,05361111","-51,17472221",0.0,1007.75,977.58,21.72,79.67,3.52
2023-04-05,"-30,05361111","-51,17472221",0.0,1011.07,1025.66,22.12,75.29,5.17
2023-04-06,"-30,05361111","-51,17472221",0.0,1012.05,495.94,21.31,68.67,6.45
2023-04-07,"-30,05361111","-51,17472221",0.0,1011.24,900.45,20.42,78.58,5.99
2023-04-08,"-30,05361111","-51,17472221",0.0,1012.27,773.16,21.08,75.12,4.96
2023-04-09,"-30,05361111","-51,17472221",0.0,1012.07,1430.97,22.61,73.04,4.09
2023-04-10,"-30,05361111","-51,17472221",0.0,1011.36,1476.52,24.3,71.88,4.21
2023-04-11,"-30,05361111","-51,17472221",0.0,1008.64,1611.81,25.22,65.62,3.81
2023-04-12,"-30,05361111","-51,17472221",0.0,1004.72,1393.92,25.16,69.29,4.24
2023-04-13,"-30,05361111","-51,17472221",10.4,1006.2,291.79,20.42,83.21,4.6
2023-04-14,"-30,05361111","-51,17472221",0.0,1010.75,658.8,19.02,70.17,5.39
2023-04-15,"-30,05361111","-51,17472221",0.0,1011.77,962.41,20.5,76.54,4.78
2023-04-16,"-30,05361111","-51,17472221",13.0,1007.79,703.03,20.93,85.67,4.42
2023-04-17,"-30,05361111","-51,17472221",0.2,1002.64,354.83,19.65,83.71,4.19
2023-04-18,"-30,05361111","-51,17472221",0.0,999.75,1357.38,19.19,73.12,3.06
2023-04-19,"-30,05361111","-51,17472221",0.4,1000.56,730.76,16.25,54.92,7.32
2023-04-20,"-30,05361111","-51,17472221",0.0,1010.9,1495.15,14.72,72.5,5.4
2023-04-21,"-30,05361111","-51,17472221",0.0,1014.35,1420.13,17.26,73.08,3.28
2023-04-22,"-30,05361111","-51,17472221",0.0,1013.85,1319.65,20.1,69.42,3.63
2023-04-23,"-30,05361111","-51,17472221",0.2,1014.74,1208.26,20.42,72.79,3.76
2023-04-24,"-30,05361111","-51,17472221",0.0,1014.02,1245.34,22.16,73.88,3.93
2023-04-25,"-30,05361111","-51,17472221",0.0,1011.4,734.65,22.32,71.38,3.49
2023-04-26,"-30,05361111","-51,17472221",11.0,1007.76,886.2,20.38,81.79,3.89
2023-04-27,"-30,05361111","-51,17472221",0.0,1008.42,913.22,19.72,80.12,3.8
2023-04-28,"-30,05361111","-51,17472221",0.0,1011.5,1391.03,18.98,75.83,2.5
2023-04-29,"-30,05361111","-51,17472221",0.0,1011.4,1440.12,19.92,70.04,3.79
2023-04-30,"-30,05361111","-51,17472221",0.0,1009.36,1423.15,21.63,70.5,3.8
2023-05-01,"-30,05361111","-51,17472221",0.0,1009.1,902.88,20.85,76.04,4.01
