Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2024-01-01,"2,81694443","-60,69083333",0.0,1001.72,1969.62,30.2,49.42,8.22
2024-01-02,"2,81694443","-60,69083333",0.0,1001.42,1837.75,30.41,47.54,7.2
2024-01-03,"2,81694443","-60,69083333",0.0,1001.78,1916.57,29.99,46.54,7.16
2024-01-04,"2,81694443","-60,69083333",0.0,1001.95,1791.07,29.4,47.12,7.72
2024-01-05,"2,81694443","-60,69083333",0.0,1001.75,1861.73,29.5,46.21,5.62
2024-01-06,"2,81694443","-60,69083333",0.0,1001.91,1595.76,29.74,51.29,6.34
2024-01-07,"2,81694443","-60,69083333",0.0,1002.04,1387.45,29.17,49.96,8.05
2024-01-08,"2,81694443","-60,69083333",0.0,1001.25,1738.78,29.18,46.0,7.16
2024-01-09,"2,81694443","-60,69083333",0.2,1001.71,1160.4,28.4,54.83,5.93
2024-01-10,"2,81694443","-60,69083333",0.0,1001.75,1554.68,29.01,58.71,5.95
2024-01-11,"2,81694443","-60,69083333",3.4,1001.78,1155.08,28.91,57.21,6.49
2024-01-12,"2,81694443","-60,69083333",0.0,1001.29,1797.92,30.08,49.83,5.59
2024-01-13,"2,81694443","-60,69083333",0.0,1001.41,1680.64,29.84,49.58,6.27
2024-01-14,"2,81694443","-60,69083333",0.0,1002.44,1635.86,29.8,47.46,6.63
2024-01-15,"2,81694443","-60,69083333",0.0,1002.63,1390.54,29.64,52.5,6.93
2024-01-16,"2,81694443","-60,69083333",0.0,1002.24,1019.41,28.5,58.38,7.11
2024-01-17,"2,81694443","-60,69083333",0.0,1002.4,1381.23,29.28,55.08,6.92
2024-01-18,"2,81694443","-60,69083333",0.2,1002.38,1398.5,29.55,54.67,7.35
2024-01-19,"2,81694443","-60,69083333",0.4,1002.68,1504.31,29.39,51.92,6.85
2024-01-20,"2,81694443","-60,69083333",0.0,1002.61,1142.32,28.6,52.5,6.75
2024-01-21,"2,81694443","-60,69083333",0.0,1003.17,1526.13,29.14,55.12,9.0
2024-01-22,"2,81694443","-60,69083333",0.0,1003.64,1783.17,29.49,48.21,7.98
2024-01-23,"2,81694443","-60,69083333",0.0,1003.47,1865.13,29.44,42.96,7.78
2024-01-24,"2,81694443","-60,69083333",0.0,1002.4,1645.74,29.63,45.92,7.77
2024-01-25,"2,81694443","-60,69083333",0.0,1001.78,1705.72,29.92,46.25,7.57
2024-01-26,"2,81694443","-60,69083333",0.0,1002.25,1754.34,29.93,48.79,7.54
2024-01-27,"2,81694443","-60,69083333",0.0,1002.77,1753.67,29.85,43.79,8.38
2024-01-28,"2,81694443","-60,69083333",0.0,1002.91,1754.4,29.99,46.46,7.66
2024-01-29,"2,81694443","-60,69083333",0.0,1002.69,1698.51,30.46,45.46,5.79
2024-01-30,"2,81694443","-60,69083333",0.0,1002.3,1255.61,29.87,54.17,7.26
2024-01-31,"2,81694443","-60,69083333",0.0,1001.75,1512.79,29.58,56.75,5.98
2024-02-01,"2,81694443","-60,69083333",0.0,1002.03,1172.48,29.93,51.5,7.98
2024-02-02,"2,81694443","-60,69083333",0.0,1001.79,1784.47,29.7,46.67,5.18
2024-02-03,"2,81694443","-60,69083333",0.0,1000.7,1823.49,30.5,45.62,4.96
2024-02-04,"2,81694443","-60,69083333",0.0,999.41,1769.21,31.62,41.92,5.8
2024-02-05,"2,81694443","-60,69083333",0.0,999.68,1560.77,31.15,44.67,5.56
2024-02-06,"2,81694443","-60,69083333",5.8,1000.7,1334.42,30.59,54.46,5.69
2024-02-07,"2,81694443","-60,69083333",0.4,1001.91,1013.82,29.58,58.62,5.22
2024-02-08,"2,81694443","-60,69083333",0.0,1001.66,1493.97,30.07,53.54,5.07
2024-02-09,"2,81694443","-60,69083333",0.0,1001.75,1704.15,30.41,51.75,6.28
2024-02-10,"2,81694443","-60,69083333",0.0,1001.76,1650.41,30.38,51.38,8.86
2024-02-11,"2,81694443","-60,69083333",0.0,1001.35,1710.87,30.31,48.25,9.13
2024-02-12,"2,81694443","-60,69083333",0.0,1001.72,1530.7,30.08,46.12,7.0
2024-02-13,"2,81694443","-60,69083333",0.0,1002.93,1160.18,29.16,55.62,7.85
2024-02-14,"2,81694443","-60,69083333",0.6,1003.56,1061.67,28.96,59.62,5.75
2024-02-15,"2,81694443","-60,69083333",0.0,1003.31,1875.92,30.02,52.46,7.13
2024-02-16,"2,81694443","-60,69083333",0.0,1003.26,1676.99,30.07,44.79,6.67
2024-02-17,"2,81694443","-60,69083333",0.0,1002.67,1452.33,29.68,46.5,7.69
2024-02-18,"2,81694443","-60,69083333",0.0,1002.45,1675.46,30.11,47.5,8.25
2024-02-19,"2,81694443","-60,69083333",0.0,1002.7,1751.25,30.33,43.79,7.8
2024-02-20,"2,81694443","-60,69083333",0.0,1002.09,1844.75,29.76,42.08,7.34
2024-02-21,"2,81694443","-60,69083333",0.0,1000.55,1915.21,29.96,41.25,7.55
2024-02-22,"2,81694443","-60,69083333",0.0,1000.03,1870.46,30.21,39.25,6.77
2024-02-23,"2,81694443","-60,69083333",0.0,1000.48,1753.74,30.97,40.38,7.77
2024-02-24,"2,81694443","-60,69083333",0.0,1001.16,1710.75,31.33,45.38,7.31
2024-02-25,"2,81694443","-60,69083333",0.0,1001.89,1734.16,31.51,44.21,8.77
2024-02-26,"2,81694443","-60,69083333",0.0,1002.4,1595.78,30.73,45.04,7.03
2024-02-27,"2,81694443","-60,69083333",0.0,1002.14,1295.92,29.74,52.5,4.82
2024-02-28,"2,81694443","-60,69083333",0.0,1001.65,1811.88,30.74,40.75,6.5
2024-02-29,"2,81694443","-60,69083333",0.0,1001.87,1620.12,31.1,40.54,7.42
2024-03-01,"2,81694443","-60,69083333",0.0,1001.56,1423.82,31.13,42.88,7.98
2024-03-02,"2,81694443","-60,69083333",0.0,1002.02,1491.45,30.6,44.88,7.38
2024-03-03,"2,81694443","-60,69083333",0.0,1002.07,1390.22,30.65,48.21,4.64
2024-03-04,"2,81694443","-60,69083333",0.0,1001.55,1499.79,30.77,46.67,5.92
2024-03-05,"2,81694443","-60,69083333",0.0,1000.87,1717.48,31.38,45.46,5.98
2024-03-06,"2,81694443","-60,69083333",0.0,1000.38,1605.58,31.11,47.5,7.25
2024-03-07,"2,81694443","-60,69083333",0.0,1001.37,1437.59,30.77,50.71,7.99
2024-03-08,"2,81694443","-60,69083333",0.0,1001.47,1491.4,31.27,48.62,7.5
