Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2024-01-01,"-20,27083332","-40,30583333",2.2,1014.15,466.7,23.53,82.17,5.77
2024-01-02,"-20,27083332","-40,30583333",1.8,1012.72,801.53,24.55,81.29,3.06
2024-01-03,"-20,27083332","-40,30583333",2.2,1012.17,609.92,25.88,82.17,4.12
2024-01-04,"-20,27083332","-40,30583333",10.399999999999999,1010.05,751.65,26.98,80.75,4.05
2024-01-05,"-20,27083332","-40,30583333",39.0,1008.85,507.36,25.18,86.75,2.75
2024-01-06,"-20,27083332","-40,30583333",0.2,1011.26,1226.07,25.94,75.46,3.82
2024-01-07,"-20,27083332","-40,30583333",0.2,1013.05,1861.01,26.52,69.79,3.81
2024-01-08,"-20,27083332","-40,30583333",0.0,1012.52,1652.21,28.02,71.71,4.36
2024-01-09,"-20,27083332","-40,30583333",0.0,1012.25,1426.47,28.55,70.75,4.52
2024-01-10,"-20,27083332","-40,30583333",0.0,1012.98,1931.15,28.6,64.12,5.98
2024-01-11,"-20,27083332","-40,30583333",0.0,1013.26,2206.44,27.74,65.17,6.57
2024-01-12,"-20,27083332","-40,30583333",0.0,1010.92,2120.05,28.51,61.29,7.3
2024-01-13,"-20,27083332","-40,30583333",0.0,1012.18,1976.35,28.95,60.0,7.0
2024-01-14,"-20,27083332","-40,30583333",0.0,1014.38,1843.85,28.94,61.17,6.22
2024-01-15,"-20,27083332","-40,30583333",0.0,1014.85,1943.83,29.0,62.12,6.9
2024-01-16,"-20,27083332","-40,30583333",0.0,1014.89,2032.11,29.04,62.29,7.43
2024-01-17,"-20,27083332","-40,30583333",0.0,1014.64,2178.89,28.8,58.54,7.26
2024-01-18,"-20,27083332","-40,30583333",0.0,1013.43,2148.25,28.62,58.78,7.06
2024-01-19,"-20,27083332","-40,30583333",0.0,1011.95,1798.28,29.18,58.78,7.05
2024-01-20,"-20,27083332","-40,30583333",0.0,1008.45,1593.24,29.25,61.79,7.52
2024-01-21,"-20,27083332","-40,30583333",33.0,1008.94,886.88,26.32,76.92,5.06
2024-01-22,"-20,27083332","-40,30583333",11.6,1011.5,1321.77,25.9,79.79,4.36
2024-01-23,"-20,27083332","-40,30583333",3.6,1011.93,1615.44,25.6,79.25,5.06
2024-01-24,"-20,27083332","-40,30583333",9.0,1009.18,731.76,24.02,86.0,3.43
2024-01-25,"-20,27083332","-40,30583333",2.8,1007.48,860.99,25.41,84.65,2.62
2024-01-26,"-20,27083332","-40,30583333",4.0,1009.02,1032.73,25.89,83.35,3.32
2024-01-27,"-20,27083332","-40,30583333",4.0,1011.37,1006.53,26.09,78.5,3.85
2024-01-28,"-20,27083332","-40,30583333",4.8,1013.02,705.24,25.86,86.33,3.12
2024-01-29,"-20,27083332","-40,30583333",14.8,1012.51,1956.34,27.62,78.25,5.29
2024-01-30,"-20,27083332","-40,30583333",0.4,1011.68,1631.01,26.95,81.0,3.32
2024-01-31,"-20,27083332","-40,30583333",8.0,1012.43,1198.25,26.71,81.0,3.82
2024-02-01,"-20,27083332","-40,30583333",0.0,1014.68,1652.79,27.62,76.83,4.53
2024-02-02,"-20,27083332","-40,30583333",0.0,1016.57,1647.03,27.07,73.75,3.85
2024-02-03,"-20,27083332","-40,30583333",17.4,1017.2,1263.99,26.73,80.12,3.66
2024-02-04,"-20,27083332","-40,30583333",0.4,1016.26,1727.19,27.3,74.09,4.13
2024-02-05,"-20,27083332","-40,30583333",0.0,1014.91,1368.66,27.17,75.67,3.98
2024-02-06,"-20,27083332","-40,30583333",0.2,1015.17,896.87,27.61,76.13,4.44
2024-02-07,"-20,27083332","-40,30583333",0.2,1014.06,1365.97,26.25,79.25,3.14
2024-02-08,"-20,27083332","-40,30583333",0.0,1013.12,1088.31,27.35,77.46,3.46
2024-02-09,"-20,27083332","-40,30583333",0.0,1015.13,1989.46,27.26,72.12,4.34
2024-02-10,"-20,27083332","-40,30583333",35.199999999999996,1017.33,1099.16,24.88,84.92,3.86
2024-02-11,"-20,27083332","-40,30583333",0.2,1018.81,1485.25,26.48,75.88,4.13
2024-02-12,"-20,27083332","-40,30583333",0.0,1018.44,1748.1,27.05,78.42,3.88
2024-02-13,"-20,27083332","-40,30583333",0.0,1016.83,1997.48,27.92,73.33,4.47
2024-02-14,"-20,27083332","-40,30583333",0.0,1014.09,1575.71,28.18,70.38,5.22
2024-02-15,"-20,27083332","-40,30583333",16.4,1013.48,550.54,26.57,79.42,3.82
2024-02-16,"-20,27083332","-40,30583333",11.0,1012.64,880.1,24.72,89.33,2.69
2024-02-17,"-20,27083332","-40,30583333",0.2,1011.05,1827.02,26.81,78.75,3.42
2024-02-18,"-20,27083332","-40,30583333",1.4,1009.63,670.1,26.33,88.5,2.78
2024-02-19,"-20,27083332","-40,30583333",42.6,1008.34,1235.54,26.53,86.17,3.32
2024-02-20,"-20,27083332","-40,30583333",13.8,1007.68,970.59,26.02,89.0,4.71
2024-02-21,"-20,27083332","-40,30583333",38.199999999999996,1009.94,657.57,25.61,92.67,6.21
2024-02-22,"-20,27083332","-40,30583333",44.0,1012.67,413.95,25.35,98.0,5.04
2024-02-23,"-20,27083332","-40,30583333",12.6,1015.22,1529.96,27.49,77.38,5.51
2024-02-24,"-20,27083332","-40,30583333",0.0,1017.2,2082.38,28.14,77.62,5.65
2024-02-25,"-20,27083332","-40,30583333",0.0,1017.14,2159.52,27.11,76.67,3.56
2024-02-26,"-20,27083332","-40,30583333",0.0,1015.97,1955.66,26.12,73.12,3.57
2024-02-27,"-20,27083332","-40,30583333",0.0,1013.55,2116.58,26.27,72.7,3.52
2024-02-28,"-20,27083332","-40,30583333",0.0,1011.11,1986.19,28.72,67.89,3.94
2024-02-29,"-20,27083332","-40,30583333",0.0,1011.3,1127.06,27.54,80.42,3.08
2024-03-01,"-20,27083332","-40,30583333",0.0,1010.34,1760.8,28.0,79.52,3.22
2024-03-02,"-20,27083332","-40,30583333",33.4,1011.99,787.54,25.65,72.79,5.34
2024-03-03,"-20,27083332","-40,30583333",0.0,1013.66,1950.38,26.01,71.92,3.88
2024-03-04,"-20,27083332","-40,30583333",0.0,1013.55,1666.46,28.59,66.86,4.16
2024-03-05,"-20,27083332","-40,30583333",0.0,1012.42,2027.64,33.0,56.9,6.13
2024-03-06,"-20,27083332","-40,30583333",0.0,1013.44,1443.45,29.75,66.62,4.6
2024-03-07,"-20,27083332","-40,30583333",0.0,1016.52,2101.68,28.73,70.0,5.04
2024-03-08,"-20,27083332","-40,30583333",0.2,1015.89,1675.93,28.73,71.71,5.27
2024-03-09,"-20,27083332","-40,30583333",0.0,1013.25,2437.29,30.91,59.5,6.79
2024-03-10,"-20,27083332","-40,30583333",0.0,1010.77,1303.87,31.41,58.0,6.07
2024-03-11,"-20,27083332","-40,30583333",3.8,1013.22,1289.19,29.23,67.9,6.44
2024-03-12,"-20,27083332","-40,30583333",0.0,1015.98,1836.68,29.86,52.33,5.11
2024-03-13,"-20,27083332","-40,30583333",0.0,1015.91,1608.88,28.89,61.4,4.59
2024-03-14,"-20,27083332","-40,30583333",0.0,1014.14,1951.45,30.4,58.0,5.71
2024-03-15,"-20,27083332","-40,30583333",0.0,1011.56,2447.53,31.14,58.11,6.01
2024-03-16,"-20,27083332","-40,30583333",0.0,1009.69,2544.81,32.52,54.67,6.46
2024-03-17,"-20,27083332","-40,30583333",0.0,1009.48,2613.04,34.33,51.62,6.57
2024-03-18,"-20,27083332","-40,30583333",0.0,1009.8,2499.12,33.32,53.33,5.92
2024-03-19,"-20,27083332","-40,30583333",0.0,1010.0,2781.43,33.2,49.14,7.02
2024-03-20,"-20,27083332","-40,30583333",0.0,1009.89,2307.3,32.26,53.0,7.01
2024-03-21,"-20,27083332","-40,30583333",0.0,1008.92,2803.46,34.32,43.2,8.16
2024-03-22,"-20,27083332","-40,30583333",0.0,1010.22,2057.46,33.72,49.4,6.62
2024-03-23,"-20,27083332","-40,30583333",0.0,1014.22,953.12,28.72,62.5,6.26
2024-03-24,"-20,27083332","-40,30583333",0.0,1013.44,1995.56,29.59,61.0,6.14
2024-03-25,"-20,27083332","-40,30583333",0.0,1011.53,1750.6,30.72,55.83,4.76
2024-03-26,"-20,27083332","-40,30583333",0.0,1014.07,2009.87,29.73,62.71,5.58
2024-03-27,"-20,27083332","-40,30583333",0.0,1016.18,2030.58,29.27,58.22,6.18
2024-03-28,"-20,27083332","-40,30583333",0.0,1017.17,2025.21,29.6,59.11,4.88
2024-03-29,"-20,27083332","-40,30583333",0.0,1016.5,2383.0,30.2,61.0,5.48
2024-03-30,"-20,27083332","-40,30583333",0.0,1012.38,2545.13,33.75,47.0,6.38
2024-03-31,"-20,27083332","-40,30583333",0.0,1012.55,2722.88,29.92,61.25,5.67
2024-04-01,"-20,27083332","-40,30583333",0.0,1012.81,2395.52,29.51,54.25,6.03
2024-04-02,"-20,27083332","-40,30583333",0.0,1011.86,1978.3,29.69,60.4,4.96
2024-04-03,"-20,27083332","-40,30583333",0.0,1012.13,1106.17,30.14,65.43,3.4
2024-04-04,"-20,27083332","-40,30583333",0.0,1014.65,2149.8,30.28,57.62,5.46
2024-04-05,"-20,27083332","-40,30583333",0.0,1014.21,2130.12,29.78,58.56,4.99
2024-04-06,"-20,27083332","-40,30583333",0.0,1014.18,2438.5,29.46,59.0,6.82
2024-04-07,"-20,27083332","-40,30583333",0.0,1016.69,2095.02,28.79,52.89,5.29
2024-04-08,"-20,27083332","-40,30583333",0.0,1014.46,2038.0,29.26,60.8,6.15
2024-04-09,"-20,27083332","-40,30583333",0.0,1014.1,1910.11,29.94,58.38,5.4
2024-04-10,"-20,27083332","-40,30583333",0.2,1012.56,2211.46,29.92,63.5,5.59
2024-04-11,"-20,27083332","-40,30583333",0.0,1013.29,2168.39,30.66,58.43,5.01
2024-04-12,"-20,27083332","-40,30583333",0.0,1016.1,2086.84,29.7,65.33,5.3
2024-04-13,"-20,27083332","-40,30583333",0.2,1016.8,2156.62,29.16,60.5,4.89
2024-04-14,"-20,27083332","-40,30583333",0.2,1015.75,1626.77,27.65,76.0,4.74
2024-04-15,"-20,27083332","-40,30583333",0.0,1016.94,2197.84,29.19,57.86,4.27
2024-04-16,"-20,27083332","-40,30583333",0.2,1018.5,1826.94,28.41,65.29,4.63
2024-04-17,"-20,27083332","-40,30583333",0.2,1013.92,1418.99,28.4,62.58,5.75
2024-04-18,"-20,27083332","-40,30583333",0.0,1013.24,1753.14,28.64,61.7,4.68
2024-04-19,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-20,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-21,"-20,27083332","-40,30583333",0.0,1017.4,2071.59,27.94,49.43,5.75
2024-04-22,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-23,"-20,27083332","-40,30583333",0.0,1013.98,1667.82,29.62,59.0,5.22
2024-04-24,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-25,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-26,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-27,"-20,27083332","-40,30583333",0.2,1015.75,1320.72,28.45,58.75,4.73
2024-04-28,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-29,"-20,27083332","-40,30583333",0.0,,,,,
2024-04-30,"-20,27083332","-40,30583333",0.0,,,,,
2024-05-01,"-20,27083332","-40,30583333",0.0,,,,,
2024-05-02,"-20,27083332","-40,30583333",0.0,,,,,
2024-05-03,"-20,27083332","-40,30583333",0.0,,,,,
