Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2024-01-01,"-25,4486111","-49,23055554",0.0,912.48,1427.73,20.13,77.92,6.48
2024-01-02,"-25,4486111","-49,23055554",0.0,910.68,1696.2,21.05,74.17,6.61
2024-01-03,"-25,4486111","-49,23055554",0.0,909.91,1324.21,21.35,77.83,5.76
2024-01-04,"-25,4486111","-49,23055554",0.4,910.94,879.43,20.28,83.21,5.65
2024-01-05,"-25,4486111","-49,23055554",0.0,911.09,1285.49,20.37,78.29,5.34
2024-01-06,"-25,4486111","-49,23055554",0.0,911.04,1243.01,21.45,80.88,5.33
2024-01-07,"-25,4486111","-49,23055554",0.0,910.35,1583.63,23.55,72.71,6.06
2024-01-08,"-25,4486111","-49,23055554",0.0,909.35,1860.47,27.12,63.25,6.01
2024-01-09,"-25,4486111","-49,23055554",40.2,911.13,1416.54,24.88,72.04,7.22
2024-01-10,"-25,4486111","-49,23055554",0.2,911.09,1578.68,24.58,72.5,5.02
2024-01-11,"-25,4486111","-49,23055554",2.8,909.47,1342.76,24.91,74.42,6.28
2024-01-12,"-25,4486111","-49,23055554",9.0,910.01,679.35,21.25,89.83,5.43
2024-01-13,"-25,4486111","-49,23055554",0.2,913.19,472.49,19.32,84.5,5.86
2024-01-14,"-25,4486111","-49,23055554",0.0,912.83,1768.38,22.44,74.67,5.05
2024-01-15,"-25,4486111","-49,23055554",0.0,911.48,1396.03,25.53,75.12,5.77
2024-01-16,"-25,4486111","-49,23055554",0.0,911.02,1584.27,25.83,70.83,5.49
2024-01-17,"-25,4486111","-49,23055554",11.8,911.91,626.74,24.29,81.67,4.9
2024-01-18,"-25,4486111","-49,23055554",12.2,911.54,975.05,23.05,84.42,5.25
