Data,latitude,longitude,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",RADIACAO GLOBAL (KJ/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (0C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2019-01-01,"-15,789343","-47,925756",0.04,888.0,121.0,21.0,82.21,3.25
2019-01-02,"-15,789343","-47,925756",0.0,889.2,,22.5,71.04,2.0
2019-01-03,"-15,789343","-47,925756",0.0,888.0,1602.0,27.0,56.21,7.0
2019-01-04,"-15,789343","-47,925756",0.0,886.67,2342.0,24.17,61.38,6.0
2019-01-05,"-15,789343","-47,925756",0.0,888.33,1033.67,21.0,77.25,4.83
2019-01-06,"-15,789343","-47,925756",0.0,887.0,2739.0,27.0,68.62,5.5
2019-01-07,"-15,789343","-47,925756",0.0,887.33,,20.67,65.75,2.0
2019-01-08,"-15,789343","-47,925756",0.0,888.67,1091.0,25.0,63.25,5.5
2019-01-09,"-15,789343","-47,925756",0.0,888.0,,20.0,60.67,7.0
2019-01-10,"-15,789343","-47,925756",0.09,887.0,963.5,19.67,68.38,5.75
2019-01-11,"-15,789343","-47,925756",0.06,888.0,413.0,,82.33,3.0
2019-01-12,"-15,789343","-47,925756",0.0,888.0,156.0,19.0,78.79,7.0
2019-01-13,"-15,789343","-47,925756",0.0,889.0,171.0,22.33,71.46,3.25
2019-01-14,"-15,789343","-47,925756",0.0,890.0,2026.33,27.33,62.46,6.0
2019-01-15,"-15,789343","-47,925756",0.0,888.67,2973.0,26.0,59.75,5.0
2019-01-16,"-15,789343","-47,925756",0.0,,922.0,26.0,63.29,3.5
2019-01-17,"-15,789343","-47,925756",0.0,887.5,,22.67,67.21,6.0
2019-01-18,"-15,789343","-47,925756",0.0,887.5,1312.33,24.0,67.79,4.0
2019-01-19,"-15,789343","-47,925756",0.0,888.0,1010.0,19.0,65.92,6.5
2019-01-20,"-15,789343","-47,925756",0.0,886.0,,24.6,65.17,3.33
2019-01-21,"-15,789343","-47,925756",0.0,887.5,2756.0,,58.17,3.33
2019-01-22,"-15,789343","-47,925756",0.0,887.4,,25.0,54.08,4.5
2019-01-23,"-15,789343","-47,925756",0.0,888.33,3485.0,25.0,51.96,6.5
2019-01-24,"-15,789343","-47,925756",0.0,887.33,2801.0,28.5,52.08,
2019-01-25,"-15,789343","-47,925756",0.0,887.5,,21.0,68.33,5.67
2019-01-26,"-15,789343","-47,925756",0.06,887.5,,20.5,80.79,4.5
2019-01-27,"-15,789343","-47,925756",0.0,888.0,1686.67,21.0,81.5,3.0
2019-01-28,"-15,789343","-47,925756",0.0,888.5,260.0,24.0,65.75,9.5
2019-01-29,"-15,789343","-47,925756",0.0,890.0,2185.67,23.0,54.92,5.67
2019-01-30,"-15,789343","-47,925756",0.0,888.0,946.0,22.5,56.92,5.83
2019-01-31,"-15,789343","-47,925756",0.0,887.5,3211.5,29.5,45.67,6.0
2019-02-01,"-15,789343","-47,925756",0.0,886.0,2243.5,24.6,49.17,6.6
2019-02-02,"-15,789343","-47,925756",0.0,888.0,,25.0,48.54,6.0
2019-02-03,"-15,789343","-47,925756",0.0,,,27.67,53.5,5.86
2019-02-04,"-15,789343","-47,925756",0.23,888.0,2554.0,24.5,65.12,5.0
2019-02-05,"-15,789343","-47,925756",0.0,887.0,3376.0,20.0,75.67,5.2
2019-02-06,"-15,789343","-47,925756",0.0,886.67,1215.5,20.5,83.67,3.0
2019-02-07,"-15,789343","-47,925756",0.0,885.33,,23.5,81.71,1.0
2019-02-08,"-15,789343","-47,925756",0.0,885.5,195.0,22.0,85.38,3.0
2019-02-09,"-15,789343","-47,925756",0.0,884.0,,19.0,83.75,3.33
2019-02-10,"-15,789343","-47,925756",0.18,886.5,,21.62,87.21,1.0
2019-02-11,"-15,789343","-47,925756",0.0,888.0,2193.0,27.0,75.75,
2019-02-12,"-15,789343","-47,925756",0.0,887.33,,25.2,74.75,3.33
2019-02-13,"-15,789343","-47,925756",0.0,887.0,1486.0,21.67,69.71,3.5
2019-02-14,"-15,789343","-47,925756",0.0,887.0,2279.0,28.0,68.33,3.0
2019-02-15,"-15,789343","-47,925756",0.0,888.0,66.0,27.0,71.54,
2019-02-16,"-15,789343","-47,925756",0.24,886.0,1419.0,24.0,79.12,8.0
2019-02-17,"-15,789343","-47,925756",0.0,885.0,,20.5,88.62,5.5
2019-02-18,"-15,789343","-47,925756",0.0,888.0,785.0,19.0,90.96,7.0
2019-02-19,"-15,789343","-47,925756",0.0,886.75,456.0,18.0,83.33,5.0
2019-02-20,"-15,789343","-47,925756",0.0,884.5,736.67,23.0,77.62,9.0
2019-02-21,"-15,789343","-47,925756",0.0,887.0,317.5,21.83,77.83,4.8
2019-02-22,"-15,789343","-47,925756",0.0,888.5,1415.0,20.0,73.46,6.67
2019-02-23,"-15,789343","-47,925756",0.0,885.0,3007.0,23.75,74.71,5.6
2019-02-24,"-15,789343","-47,925756",0.0,885.5,,29.0,74.33,5.83
2019-02-25,"-15,789343","-47,925756",0.0,885.25,3823.0,22.5,79.04,5.0
2019-02-26,"-15,789343","-47,925756",0.0,886.5,1315.0,22.0,75.17,4.5
2019-02-27,"-15,789343","-47,925756",0.0,886.5,735.0,23.5,77.21,4.5
2019-02-28,"-15,789343","-47,925756",0.0,887.0,,24.0,84.54,2.5
2019-03-01,"-15,789343","-47,925756",0.0,888.0,2472.5,21.25,81.79,6.0
2019-03-02,"-15,789343","-47,925756",0.0,888.0,2289.0,23.0,83.5,3.5
2019-03-03,"-15,789343","-47,925756",0.0,890.0,693.0,18.67,86.54,5.25
2019-03-04,"-15,789343","-47,925756",0.0,889.0,,19.0,87.62,4.0
2019-03-05,"-15,789343","-47,925756",0.0,888.0,,20.0,87.79,2.67
2019-03-06,"-15,789343","-47,925756",0.0,889.67,,21.0,84.46,2.5
2019-03-07,"-15,789343","-47,925756",0.0,889.5,1200.0,21.0,78.17,1.0
2019-03-08,"-15,789343","-47,925756",0.0,889.0,345.0,25.33,75.62,2.5
2019-03-09,"-15,789343","-47,925756",0.0,886.0,,27.0,70.38,7.0
2019-03-10,"-15,789343","-47,925756",0.0,886.0,3135.0,24.33,72.29,2.0
2019-03-11,"-15,789343","-47,925756",0.0,887.67,1219.0,24.0,78.17,3.0
2019-03-12,"-15,789343","-47,925756",0.0,886.29,1676.5,19.0,73.88,4.4
2019-03-13,"-15,789343","-47,925756",0.0,887.5,1327.0,20.75,76.67,5.5
2019-03-14,"-15,789343","-47,925756",0.0,888.0,3848.0,21.67,73.46,4.5
2019-03-15,"-15,789343","-47,925756",0.0,885.0,3484.0,24.0,71.58,2.33
2019-03-16,"-15,789343","-47,925756",0.0,885.67,1844.0,25.5,71.42,2.0
2019-03-17,"-15,789343","-47,925756",0.0,886.33,407.5,21.0,87.17,3.0
2019-03-18,"-15,789343","-47,925756",0.0,888.0,1199.0,19.0,79.04,2.0
2019-03-19,"-15,789343","-47,925756",0.0,884.5,956.0,22.0,77.79,6.5
2019-03-20,"-15,789343","-47,925756",0.7,886.0,101.0,22.8,77.21,3.0
2019-03-21,"-15,789343","-47,925756",0.0,884.0,1257.5,20.0,84.29,7.0
2019-03-22,"-15,789343","-47,925756",0.0,885.33,,20.0,85.0,4.0
2019-03-23,"-15,789343","-47,925756",0.0,886.4,24.0,20.0,85.33,6.0
2019-03-24,"-15,789343","-47,925756",0.0,886.67,,20.0,82.29,6.33
2019-03-25,"-15,789343","-47,925756",0.0,886.33,,20.5,84.42,7.0
2019-03-26,"-15,789343","-47,925756",0.56,887.0,1133.0,20.67,86.25,6.33
2019-03-27,"-15,789343","-47,925756",0.06,887.0,1319.0,21.2,85.54,6.75
2019-03-28,"-15,789343","-47,925756",0.67,889.67,0.0,25.0,85.33,
2019-03-29,"-15,789343","-47,925756",0.0,,2916.0,23.0,76.58,6.67
2019-03-30,"-15,789343","-47,925756",0.0,889.0,697.0,21.33,71.12,6.0
2019-03-31,"-15,789343","-47,925756",0.0,887.25,1549.5,21.0,68.92,5.75
