latitude,longitude,confidence
-30.6477,-52.2907,39.0
-30.5733,-53.1109,59.0
-29.7817,-52.4129,23.0
-27.8869,-51.0626,20.0
-27.2273,-52.0376,31.0
-27.101,-52.6755,23.0
-23.4368,-45.0821,48.0
-23.4022,-48.3399,25.0
-22.9238,-45.3907,50.0
-22.9182,-43.7424,58.0
-22.911749999999998,-43.74005,57.5
-22.910975,-43.730025,67.25
-22.90865,-43.72195,68.0
-22.903133333333333,-43.73163333333333,86.0
-22.7849,-45.1368,51.0
-22.6979,-48.0429,92.0
-22.4669,-42.6505,40.0
-22.4387,-44.3775,65.0
-22.4257,-44.3483,59.0
-22.1225,-47.1887,19.0
-21.9206,-47.1511,40.0
-21.8884,-54.0013,51.0
-21.4281,-54.549,46.0
-20.9393,-49.1255,21.0
-20.3769,-40.6945,0.0
-20.2488,-40.2448,18.0
-20.2408,-40.2423,72.0
-20.0245,-48.2929,55.0
-18.4432,-56.7293,67.0
-18.2255,-56.388,64.0
-17.7033,-40.5885,31.0
-17.6375,-54.7823,37.0
-17.6158,-57.4749,70.0
-17.6222,-57.1816,69.0
-17.6136,-57.4826,62.0
-17.5485,-40.5928,57.0
-17.5286,-57.6614,0.0
-17.3184,-43.0804,42.0
-16.3441,-43.6886,76.0
-16.2419,-43.8299,59.0
-15.7473,-43.0244,25.0
-15.5347,-40.638,71.0
-14.9845,-43.1719,20.0
-14.6708,-40.2348,72.0
-14.2305,-43.3372,76.0
-14.2318,-43.328,69.0
-13.9513,-44.3581,29.0
-13.95,-44.3486,67.0
-13.7827,-45.8529,37.0
-13.6118,-41.1463,64.0
-13.3373,-44.1169,54.0
-13.2704,-45.5736,84.0
-13.2689,-45.5637,100.0
-13.2674,-45.5538,100.0
-13.2578,-43.4128,0.0
-13.1188,-45.3287,52.0
-13.1202,-45.3007,79.0
-12.9261,-45.8357,95.0
-12.9245,-45.8458,94.0
-12.9239,-45.8391,77.0
-12.9167,-45.8343,70.0
-12.9216,-45.8249,48.0
-12.9173,-45.8103,51.0
-12.6397,-44.4581,73.0
-12.6433,-44.4415,59.0
-12.6323,-44.4598,91.0
-12.5579,-51.9284,42.0
-12.5533,-51.9481,40.0
-12.5167,-44.4663,55.0
-12.518,-44.4571,93.0
-12.4421,-63.9599,85.0
-12.4331,-63.9612,55.0
-12.4107,-44.7203,44.0
-12.3739,-63.8657,45.0
-12.3722,-63.8642,51.0
-12.2958,-44.7708,50.0
-12.158,-43.0784,71.0
-12.0795,-45.3291,39.0
-11.9573,-63.6733,72.0
-11.4227,-45.0926,100.0
-11.3014,-44.2161,45.0
-11.3018,-43.8064,80.0
-11.2931,-43.8204,69.0
-11.2914,-43.8078,94.0
-11.247,-45.4151,59.0
-11.1311,-43.61,45.0
-10.9271,-45.1338,83.0
-10.9251,-45.1186,72.0
-10.8782,-44.674,64.0
-10.8337,-40.6126,55.0
-10.8219,-45.2025,48.0
-10.8206,-45.1931,79.0
-10.7855,-44.3901,69.0
-10.7805,-44.3835,30.0
-10.6436,-44.7162,12.0
-10.4868,-44.9078,99.0
-10.4855,-44.8986,85.0
-10.4065,-44.8602,63.0
-10.4078,-44.7462,36.0
-10.3994,-44.8626,94.0
-10.039,-44.0709,29.0
-9.8619,-53.8826,59.0
-9.7422,-44.7305,37.0
-9.6906,-44.6078,58.0
-9.6386,-44.652,41.0
-9.4886,-48.882,71.0
-9.4159,-45.4242,64.0
-9.3045,-50.1429,27.0
-9.2202,-47.3054,49.0
-9.0522,-46.1747,25.0
-8.9847,-44.4622,27.0
-8.9714,-45.3396,63.0
-8.9697,-45.3328,48.0
-8.9259,-46.4336,18.0
-8.8698,-46.3726,54.0
-8.7324,-37.1469,73.0
-8.6632,-45.5865,53.0
-8.6635,-37.1755,92.0
-8.5262,-46.1225,37.0
-8.4909,-35.0631,0.0
-8.4894,-35.0528,59.0
-8.4464,-45.2395,35.0
-8.4484,-44.3288,46.0
-8.425,-46.0036,36.0
-8.4126,-45.9991,21.0
-8.3813,-45.4639,47.0
-8.3258,-36.8824,73.0
-8.3181,-36.8927,88.0
-8.3168,-36.8837,69.0
-8.3245,-36.8734,66.0
-7.9555,-37.5641,59.0
-7.95,-47.1305,44.0
-7.6801,-42.8118,60.0
-7.6657,-37.7904,74.0
-7.4421,-61.4238,46.0
-7.2967,-38.1045,52.0
-7.2097,-38.4005,82.0
-7.2085,-38.3914,93.0
-6.8077,-43.7605,47.0
-6.8139,-38.3349,67.0
-6.7681,-59.4061,53.0
-6.7249,-44.7105,50.0
-6.7172,-38.0423,78.0
-6.7159,-38.0333,92.0
-6.6873,-59.1525,52.0
-6.6862,-59.1389,58.0
-6.6839,-59.1319,43.0
-6.6761,-44.0599,64.0
-6.6745,-44.0488,21.0
-6.639,-37.816,41.0
-6.5771,-51.1002,94.0
-6.5785,-51.0904,48.0
-6.5795,-38.1112,72.0
-6.5678,-51.0986,46.0
-6.5694,-38.1677,80.0
-6.3865,-39.0401,64.0
-6.3944,-39.0286,65.0
-6.385,-39.0301,87.0
-6.0662,-39.4872,75.0
-5.963,-39.537,41.0
-5.9038,-44.7422,76.0
-5.8936,-44.7437,76.0
-5.8544,-39.3553,52.0
-5.8225,-39.5109,87.0
-5.8228,-39.1972,62.0
-5.7786,-48.1133,66.0
-5.76755,-48.078450000000004,30.0
-5.7557,-46.003,42.0
-5.7343,-41.3485,72.0
-5.6429,-39.6759,49.0
-5.6054,-39.7966,57.0
-5.5486,-40.5505,36.0
-5.5512,-40.5435,47.0
-5.5351,-38.085,100.0
-5.544,-38.0837,100.0
-5.5428,-38.0748,87.0
-5.5338,-38.0761,96.0
-5.4869,-39.7394,39.0
-5.4855,-39.7298,33.0
-5.4665,-39.596,49.0
-5.4536,-46.836,68.0
-5.4216,-44.0584,77.0
-5.2592,-38.9204,74.0
-5.2462,-40.8514,71.0
-5.1879,-48.0611,56.0
-4.809,-38.9638,72.0
-4.8074,-38.9533,79.0
-4.7911,-47.3675,62.0
-4.7559,-41.2169,59.0
-4.6807,-37.7482,76.0
-4.6487,-38.5293,73.0
-4.5523,-38.0348,35.0
-4.5237,-38.2812,97.0
-4.5225,-38.2723,81.0
-4.4575,-48.2193,97.0
-4.4639,-48.1682,74.0
-4.4603,-48.162,32.0
-4.123,-43.7053,39.0
-3.8734,-47.1299,33.0
-3.794,-43.0213,71.0
-3.7715,-43.5421,66.0
-3.7398,-40.3622,100.0
-3.7281,-38.5318,32.0
-3.6892,-41.4053,73.0
-3.6438,-42.9835,75.0
-3.5694,-43.6186,75.0
-3.568,-43.6088,90.0
-3.56,-43.6199,18.0
-3.5586,-43.6101,86.0
-3.5237,-43.588,65.0
-3.513,-43.5796,89.0
-3.4762,-39.572,49.0
-3.336,-41.7427,35.0
-3.3001,-42.1913,33.0
-3.2916,-58.6593,0.0
-3.2899,-42.1927,47.0
-3.278,-39.8209,60.0
-3.2613,-41.4374,71.0
-3.2626,-41.4286,84.0
-3.1784,-39.5217,42.0
-3.171,-41.7452,74.0
-3.1697,-41.7363,60.0
-3.0754,-59.9425,22.0
-3.0711,-59.9479,29.0
-3.0642,-41.6391,76.0
-3.0483,-41.2125,78.0
-2.8977,-40.3208,67.0
-2.8773,-54.5395,59.0
-2.7328,-49.3204,57.0
-2.5991,-49.2265,69.0
-2.3598,-47.2786,47.0
-2.2284,-45.2318,62.0
-2.1973,-44.6602,78.0
-2.1686,-44.9693,67.0
-2.1639,-44.9362,63.0
-1.8142,-47.7902,35.0
-1.7605,-53.4159,45.0
-1.7237,-45.7939,57.0
-1.6502,-45.5517,58.0
-1.1264,-47.9666,79.0
-0.8935,-47.2492,67.0
3.9469,-59.7592,64.0
