latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-12.9469,-56.8037,303.7,2.7,1.6,2024-01-01,0121,Terra,MODIS,57,61.03,284.7,19.9,N,0
-12.9416,-56.8109,303.4,2.7,1.6,2024-01-01,0121,Terra,MODIS,55,61.03,284.9,20.9,N,0
-2.2628,-53.7761,303.2,1.1,1.1,2024-01-01,0124,Terra,MODIS,49,61.03,290.8,3.6,N,0
-2.6667,-54.272,302.8,1.2,1.1,2024-01-01,0124,Terra,MODIS,51,61.03,289.2,4.3,N,0
-2.2642,-53.7862,309.2,1.1,1.1,2024-01-01,0124,Terra,MODIS,75,61.03,291.1,8.3,N,0
3.2004,-60.7592,304.7,3,1.7,2024-01-01,0125,Terra,MODIS,58,61.03,290.6,16.6,N,0
-12.5523,-41.4641,313.3,2.4,1.5,2024-01-01,0410,Aqua,MODIS,87,61.03,287,47.1,N,0
-12.5484,-41.4862,321.5,2.4,1.5,2024-01-01,0410,Aqua,MODIS,100,61.03,287.8,75.1,N,0
-16.187,-39.191,302.6,1.4,1.2,2024-01-01,0411,Aqua,MODIS,50,61.03,291.2,6.8,N,0
-2.2667,-56.1197,302.4,1,1,2024-01-01,0546,Aqua,MODIS,39,61.03,287.1,5.8,N,0
-8.7389,-35.1547,317.8,1,1,2024-01-01,1208,Terra,MODIS,67,61.03,296.6,8.2,D,0
-11.521,-38.7502,326.6,1.4,1.2,2024-01-01,1209,Terra,MODIS,73,61.03,295.7,25,D,0
-10.4522,-37.1301,320.7,1.2,1.1,2024-01-01,1209,Terra,MODIS,55,61.03,300.5,8.9,D,0
-10.4859,-38.0311,324.5,1.3,1.1,2024-01-01,1209,Terra,MODIS,55,61.03,299.7,12.4,D,0
-16.4604,-39.1067,319.8,1.3,1.1,2024-01-01,1211,Terra,MODIS,44,61.03,298.4,12.8,D,0
-16.4622,-39.0952,322.1,1.3,1.1,2024-01-01,1211,Terra,MODIS,62,61.03,299.8,15.8,D,0
2.8686,-59.9362,322.2,1.3,1.1,2024-01-01,1344,Terra,MODIS,73,61.03,302.6,9.8,D,0
